FILE_PATH	UNIQUE_ID	GENOME	NAME	BACKGROUND	ENRICHED_REGION	ENRICHED_MACS	COLOR	FASTQ_FILE
/data/projects/p300_internal_mm/	01_0EWN_0229Kronos_MM1S-No-Treatment-1_H3K18Ac_hs-dm_i02	hg19	01_0EWN_0229Kronos_MM1S-No-Treatment-1_H3K18Ac_hs-dm_i02	35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77	NA	01_0EWN_0229Kronos_MM1S-No-Treatment-1_H3K18Ac_hs-dm_i02_peaks.bed	48,18,59	NA
/data/projects/p300_internal_mm/	02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04	hg19	02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04	36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78	NA	02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04_peaks.bed	55,36,102	NA
/data/projects/p300_internal_mm/	03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05	hg19	03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05	37_0EXP_0229Kronos_MM1S-KB-1hr-1_Input_hs_i80	NA	03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05_peaks.bed	61,53,138	NA
/data/projects/p300_internal_mm/	04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06	hg19	04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06	38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81	NA	04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06_peaks.bed	65,69,171	NA
/data/projects/p300_internal_mm/	05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07	hg19	05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07	39_0EXR_0229Kronos_MM1S-KB-3hr-1_Input_hs_i82	NA	05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07_peaks.bed	68,85,198	NA
/data/projects/p300_internal_mm/	06_0EWS_0229Kronos_MM1S-KB-3hr-2_H3K18Ac_hs-dm_i13	hg19	06_0EWS_0229Kronos_MM1S-KB-3hr-2_H3K18Ac_hs-dm_i13	40_0EXS_0229Kronos_MM1S-KB-3hr-2_Input_hs_i84	NA	06_0EWS_0229Kronos_MM1S-KB-3hr-2_H3K18Ac_hs-dm_i13_peaks.bed	70,101,220	NA
/data/projects/p300_internal_mm/	07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14	hg19	07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14	41_0EXT_0229Kronos_MM1S-KB-6hr-1_Input_hs_i85	NA	07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14_peaks.bed	71,117,237	NA
/data/projects/p300_internal_mm/	08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16	hg19	08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16	42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86	NA	08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16_peaks.bed	70,132,249	NA
/data/projects/p300_internal_mm/	09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17	hg19	09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17	43_0EXV_0229Kronos_MM1S-KB-24hr-1_Input_hs_i87	NA	09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17_peaks.bed	67,146,254	NA
/data/projects/p300_internal_mm/	10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19	hg19	10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19	44_0EXW_0229Kronos_MM1S-KB-24hr-2_Input_hs_i90	NA	10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19_peaks.bed	59,161,253	NA
