GENE,p300H3K27ac_34_DMSO_compare,IRF4H3K27ac_32_DMSO_compare,tot_rank,LOG2_FOLD_CHANGE,percentage,p_value_adj,H3K27ac_1Hr,H3k27ac_12_DMSO_compare,label
FOXO3,104127.72185000003,99824.57885,2,-1.17499207604963,5,1,-2.004223853287681,253061.6158913899,NA
SNN,58138.0821,67647.25295,4,-0.284352120260608,0,0.32923253904750704,-1.2709659054862268,134119.85081720533,NA
TXNDC11,53314.6066,64865.2993,6,-0.61469816128962,0,1,-1.1938895718048623,126075.56309381005,NA
CCDC88C,43741.55715,51346.80989999999,21,-1.56179000835089,0,1,-1.5423560776937566,156554.72959557816,NA
INPP4A,48155.416300000004,43858.194650000005,21,-0.629161406272315,0,1,-1.7918170841896526,134778.38106301375,NA
ANKRD12,45370.08715,44434.24435,24,-1.0282016169222,5,1,-1.4866150470384751,129738.87400221979,NA
IGLL5,49899.77894999999,43325.390550000004,24,-0.414092859955781,0,1,-1.0576019432282602,136554.84365627042,NA
TXNDC5,47124.68725,42435.659700000004,34,-0.195314594765908,0,1,-1.259049774813324,134853.84798441723,NA
NDUFV2,45857.385800000004,42971.406050000005,35,-0.352286433471258,10,1,-1.4758434303476942,128426.39906432151,NA
ZC3H7A,36798.81285,44301.0881,36,0.0274998944750719,0,1,-1.1847897515882537,81591.36683309585,NA
ID1,40462.9437,43550.693,37,-0.72493899163075,0,1,-1.3808096727847945,89285.82768884275,NA
RASA2,48480.095600000015,40009.21710000001,37,0.209202261076046,5,1,-1.0228223830620105,147812.74126122915,NA
ZBTB38,47590.4458,39955.483250000005,40,-0.842801276792979,20,0.004539037171321205,-1.0198268149226775,146907.2068803923,NA
CELF2,41055.58765,41301.66765,47,-0.13386294599558,0,1,-1.3102384082737695,115161.05488301686,NA
IRF1,36626.32185000001,42209.145000000004,54,-1.20428441132589,10,1,-1.722624175872693,89928.51399276659,NA
BTG2,35832.808000000005,42275.402350000004,56,-0.362076036413512,0,1,-1.437450087282097,100513.8516035426,NA
SCYL1,31609.609149999997,48485.0416,63,0.489488240271378,65,1,-1.3291451761432143,70710.24187177193,NA
SELPLG,36653.19775000001,38188.34635,64,-0.991019583755525,0,1,-1.314852069616289,95499.53727554317,NA
IRF4,38564.534400000004,37589.41804999999,66,-2.01399451779953,100,9.364558857798134e-10,-1.424916703572225,86065.64879064623,IRF4
PCBP2,33990.212,37013.034799999994,87,0.165628044493969,100,1,-1.672185789274775,69542.54764917523,NA
CLPTM1L,34960.945,35610.3202,93,-0.22800191396369,0,1,-0.5186887336016185,94900.23944282645,NA
