GENE	H3k27me3_30_DMSO_compare_TSS_SIGNAL	H3k27me3_30_DMSO_compare_DISTAL_SIGNAL
A4GALT	2009.0641	3036.8063999999995
AAAS	0.0	1166.2264999999998
AADACL3	0.0	751.6898
AADACL4	0.0	366.9932
AANAT	0.0	59657.03960000001
AARS2	0.0	23736.5101
AATF	0.0	44692.412000000004
AATK	6114.5567999999985	264857.9936
ABCA17P	342.2925	106114.9257
ABCA2	3497.6516	182394.59019999995
ABCA3	455.08000000000004	106114.9257
ABCA4	0.0	1151.3006
ABCA7	0.0	17917.735700000005
ABCB6	0.0	24464.0391
ABCB8	0.0	43487.183099999995
ABCC1	0.0	0.0
ABCC10	0.0	827.044
ABCC3	7472.400000000001	231093.774
ABCC8	335.9867	255.18
ABCD1	0.0	71584.33109999997
ABCD4	0.0	1517.6808
ABCF1	0.0	16762.7092
ABCF2	0.0	146550.95100000003
ABCF3	0.0	24253.766499999998
ABCG1	1512.1719	116593.03759999997
ABCG4	2132.7846	8861.652600000001
ABHD11	0.0	20134.915800000002
ABHD14A	0.0	6873.518400000001
ABHD14B	0.0	6873.518400000001
ABHD15	0.0	1324.356
ABHD8	0.0	37859.341499999995
ABI3	5667.687600000001	30272.622100000004
ABL1	0.0	252023.08159999998
ABLIM2	788.732	98861.80279999998
ABO	3483.8091999999997	221256.8473000001
ABP1	0.0	0.0
ABR	8627.645199999999	372467.50159999996
ABTB2	596.7873999999999	933.461
ACAD8	0.0	934.9259
ACADVL	0.0	156161.7302
ACAN	1304.7550999999999	841.6553
ACAP1	0.0	108532.3905
ACAP3	0.0	83435.2105
ACBD3	0.0	0.0
ACBD4	0.0	3032.157
ACCN2	1824.4632000000001	28855.091799999995
ACCN3	436.4557	43487.183099999995
ACCN4	5909.2	252574.036
ACE	21288.593	104113.87039999999
ACER1	3612.0	49857.79920000001
ACHE	2973.5442000000003	87966.17470000003
ACIN1	0.0	510.6843
ACLY	0.0	1815.3987000000002
ACN9	0.0	139.9882
ACOT11	0.0	545.1222
ACOT7	0.0	184004.30009999993
ACOX1	0.0	18078.7634
ACOX3	0.0	38151.683099999995
ACP1	0.0	1126.5902
ACP2	0.0	20929.1517
ACP5	0.0	10552.3814
ACPT	0.0	42781.581000000006
ACR	0.0	48084.10579999999
ACRBP	0.0	44853.119999999995
ACSBG1	1819.5421000000001	1953.3106
ACSBG2	0.0	73816.58180000001
ACSF3	0.0	41745.03680000001
ACSL3	0.0	2043.4569000000001
ACSL6	3499.2000000000003	1050.049
ACTA2	0.0	746.4586999999999
ACTB	0.0	101146.84410000003
ACTG1	0.0	616264.8992999996
ACTL6B	2539.3712	231655.43139999997
ACTL8	0.0	180934.9587999999
ACTL9	0.0	203323.31780000005
ACTN3	1624.4279999999999	55529.233299999985
ACTN4	0.0	4262.4884
ACTR1A	0.0	77314.14140000001
ACTR3C	0.0	0.0
ACTR5	0.0	45769.1945
ACTRT2	6376.200000000001	400415.3164999997
ACVR1B	538.1410000000001	38098.6493
ACVRL1	0.0	82276.23939999999
ACY1	0.0	6873.518400000001
ACY3	0.0	21157.892100000005
ADA	0.0	52529.186799999996
ADAD2	0.0	1356.1444
ADAM11	2974.4212	6507.3705
ADAM15	0.0	75093.59340000001
ADAM21P1	0.0	73.6934
ADAM33	4656.7062000000005	30019.8269
ADAM8	0.0	206097.84430000003
ADAMTS10	0.0	62064.108
ADAMTS13	2269.1328	251265.06959999996
ADAMTS15	0.0	5773.28
ADAMTS4	0.0	0.0
ADAMTS7	1196.3616000000002	34585.0868
ADAMTS8	2360.982	5773.28
ADAMTSL2	16969.2781	429626.33830000024
ADAMTSL4	1520.7134999999998	1505.6601999999998
ADAMTSL5	3543.6582	173964.41700000002
ADAP1	0.0	72483.0408
ADAP2	401.7226	453.07529999999997
ADAR	0.0	3896.9496
ADARB1	1279.508	160932.12020000003
ADAT3	0.0	14514.547199999999
ADCK2	0.0	3161.9187
ADCK4	0.0	599.5668000000001
ADCK5	0.0	15723.3465
ADCY6	0.0	554.2917
ADCY9	0.0	11892.1591
ADIPOQ	0.0	1804.3454000000002
ADIPOR1	0.0	188.23409999999998
ADM2	0.0	3333.8127
ADNP	0.0	266.3934
ADO	0.0	1933.9845999999998
ADORA1	7558.200000000001	13767.778499999999
ADPRHL1	0.0	74667.8643
ADPRHL2	0.0	2023.647
ADRA2B	1675.1652	21590.3709
ADRA2C	0.0	502953.82840000035
ADRM1	0.0	47737.37800000001
ADSSL1	1846.1514	51286.6188
AEBP1	995.904	2784.894
AEN	0.0	1047.5828000000001
AES	1242.4645	169752.35869999992
AFAP1	0.0	43204.31090000002
AFAP1-AS1	0.0	93353.31810000003
AFG3L1P	0.0	11614.997800000003
AFMID	0.0	6156.252699999999
AGAP2	0.0	2495.4552
AGAP3	0.0	92411.43620000001
AGAP9	0.0	1044.2459
AGBL5	0.0	278.1375
AGER	0.0	78485.23670000001
AGFG2	0.0	93642.66140000001
AGPAT1	0.0	80203.395
AGPAT2	4225.1995	503897.52689999994
AGPAT3	0.0	39482.798800000004
AGPAT5	0.0	1079.5653
AGPAT6	0.0	634.59
AGRN	2913.1779	271894.0954
AGRP	0.0	11335.3211
AGTRAP	0.0	108637.33939999998
AGXT	0.0	3970.890400000001
AGXT2L2	0.0	5022.8609
AHCYL1	0.0	636.9664
AHCYL2	0.0	0.0
AHDC1	0.0	478.002
AHNAK	323.80920000000003	70.69590000000001
AHNAK2	103.5675	31205.8218
AHRR	0.0	1928.7838000000002
AHSP	0.0	779.0432000000001
AICDA	0.0	0.0
AIF1	0.0	8619.525000000001
AIF1L	5683.599899999999	414909.79049999994
AIFM3	1412.0715	49975.270300000004
AIM1	2653.6641	1404.1753
AIM1L	0.0	9553.976999999999
AIM2	0.0	1409.7468000000001
AIP	0.0	46396.19129999999
AIPL1	66.5652	48681.904200000004
AIRE	24289.8	200809.90670000005
AJAP1	99.7157	12383.524000000001
AK1	0.0	1224.7566
AKAP8	0.0	4728.594599999999
AKAP8L	0.0	9475.534499999996
AKIRIN1	0.0	0.0
AKR1D1	0.0	14110.1413
AKT1	0.0	48276.697499999995
AKT2	0.0	2971.6506
ALDH16A1	0.0	184936.18460000004
ALDH1A3	203.05890000000002	0.0
ALDH3A1	255.944	2968.0642000000003
ALDH3A2	0.0	2516.2954
ALDH3B2	0.0	12070.169000000002
ALDH4A1	0.0	161055.90079999997
ALDOA	0.0	53396.89260000001
ALDOC	0.0	139170.2341
ALG1	0.0	63648.0261
ALG12	0.0	14250.4752
ALG1L2	0.0	1184.2449
ALG3	0.0	25334.113299999997
ALKBH3	0.0	2429.9928
ALKBH4	0.0	17040.1596
ALKBH5	0.0	178.2415
ALKBH6	0.0	29237.8333
ALKBH7	0.0	49857.79920000001
ALLC	0.0	1428.912
ALMS1	0.0	2647.7318
ALOX12	0.0	50988.475000000006
ALOX12B	8258.784000000001	174535.76859999998
ALOX15	5307.1392	100310.51269999998
ALOX15B	3339.8328	176343.90379999997
ALOXE3	2394.5508	159198.41929999995
ALPI	0.0	13737.665299999997
ALPL	2885.3326	180159.9906
ALPP	145.23600000000002	3186.7933000000003
ALPPL2	0.0	11642.149300000001
ALS2CL	211.094	822.2611999999999
ALX3	0.0	636.9664
ALX4	1181.7290000000003	31858.264499999994
AMAC1	0.0	752.328
AMAC1L3	0.0	81765.3153
AMBP	0.0	5942.4183
AMDHD2	0.0	6973.0157
AMFR	0.0	5802.9415
AMH	0.0	20685.0093
AMHR2	0.0	1166.2264999999998
AMICA1	908.4003	52515.4199
AMIGO3	0.0	10086.348199999999
AMOTL2	0.0	6640.0807
AMPD3	1174.2982	412.29089999999997
AMZ1	3662.3392	125547.55000000006
AMZ2	0.0	4714.4882
ANAPC11	0.0	71437.52810000001
ANAPC2	0.0	69637.81129999999
ANGPT4	125.1696	2904.3999
ANGPTL4	4540.6048	45262.93450000001
ANGPTL6	0.0	29564.220199999996
ANK1	0.0	634.59
ANKLE1	668.5938	35044.097499999996
ANKRD11	0.0	2539.4815999999996
ANKRD13B	0.0	1324.356
ANKRD13D	0.0	885.5571000000001
ANKRD16	0.0	235.78879999999998
ANKRD2	0.0	572.76
ANKRD22	0.0	746.4586999999999
ANKRD23	0.0	14913.268
ANKRD24	1589.8165999999999	246385.08999999994
ANKRD30BL	0.0	17734.867100000003
ANKRD33	0.0	69888.2668
ANKRD34A	677.1204	13953.314699999999
ANKRD35	1214.972	12620.5712
ANKRD39	0.0	15105.6309
ANKRD40	0.0	60757.65060000002
ANKRD53	0.0	15440.067700000001
ANKRD54	0.0	20657.1784
ANKRD7	0.0	813.0770000000001
ANKRD9	0.0	3090.9732
ANKS3	0.0	738.3752
ANKZF1	0.0	24464.0391
ANO1	1337.687	320668.0304
ANO7	0.0	2594.1132
ANO8	0.0	39728.601299999995
ANO9	806.1642	108581.20029999998
ANP32E	0.0	673.8178
ANXA9	0.0	16.0826
AOC2	0.0	18661.2768
AOC3	0.0	18661.2768
AP1B1	0.0	14795.666
AP1M1	0.0	4680.0931
AP1M2	0.0	25239.574100000005
AP1S1	79.3296	212623.36530000006
AP2A1	0.0	34362.43349999999
AP2A2	0.0	33199.729799999994
AP2M1	0.0	12822.007
AP4M1	0.0	30483.8679
APBA3	0.0	329516.08299999987
APC2	5444.200000000001	175577.6837
APCDD1L	0.0	53762.6049
APEH	0.0	10086.348199999999
APH1A	0.0	673.8178
APLP1	3283.5096000000003	159362.7666
APOA1BP	0.0	141051.724
APOA2	0.0	0.0
APOB	0.0	243.807
APOB48R	0.0	1185.8839
APOBEC3G	0.0	134.442
APOBEC3H	0.0	134.442
APOC1	1199.7323	198694.73889999997
APOC1P1	3397.2531999999997	177553.3965
APOC2	0.0	161374.9183
APOC4	0.0	161699.5546
APOD	0.0	18923.407700000003
APOE	1878.4	207728.01449999996
APOL6	0.0	7630.4284
APOM	0.0	8619.525000000001
APPL1	0.0	145.4532
APRT	0.0	10143.307600000002
AQP12A	4314.0	56929.88819999998
AQP12B	357.5181	56929.88819999998
AQP2	0.0	42328.01399999999
AQP5	2474.6922	44576.4241
AQP6	5723.200000000001	44576.4241
