GENE	H3k27me3_30_DMSO_compare_TSS_SIGNAL	H3k27me3_30_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
TMEM200B	10228.2087	2040.6577	-8187.551	0.166328137699829	-2.32544739319764
KIF26B	5643.2	947.2944	-4695.9056	0.143736469907326	-2.57462871985453
CADM3	4530.2114	1409.7468	-3120.4646	0.237332781230683	-1.68414230630378
MT1G	12629.7008	10669.3586	-1960.3422	0.457930872522691	-0.243347012211294
PTRF	4013.4852	2299.9576	-1713.5276	0.364295309684282	-0.803248312423119
HELT	5018.4	3812.3112	-1206.0888	0.431710551240765	-0.396561576117946
GGTA1	3360.6288	2268.5485	-1092.0803	0.402998232086241	-0.566961693973919
SORBS3	11928	11533.8922	-394.1078	0.491601107944738	-0.0484727191219518
LOC641518	3154.6584	2790.9674	-363.691	0.469415246415272	-0.176718519383494
MAP6	4814.4	4453.4868	-360.9132	0.480528829937802	-0.112420693836235
EGR4	2847.568	2647.7318	-199.8362	0.481817534322695	-0.104973301103269
CRABP1	8314.2	8131.6461	-182.553899999999	0.494449847733891	-0.0320300241904821
NCRNA00114	14865.9	15075.9356	210.035600000003	0.503507393514645	0.0202407289212354
KCNJ9	2993.542	3208.1248	214.5828	0.517300413495288	0.0998767538097027
D4S234E	2717.6474	3251.7904	534.143	0.544739807825789	0.258875982509697
WHAMML1	4652.4	5503.238	850.838	0.541889933453713	0.242305581710387
GDF7	3134.8861	3992.1784	857.2923	0.56014343633343	0.348763165923452
SLC26A10	9842.4	10829.6103	987.210299999997	0.523877946210195	0.137899274357492
LOC440461	3644	4714.4882	1070.4882	0.564035993973169	0.371578202768066
NPR1	9387.6	10549.9021	1162.3021	0.529148638936068	0.16840133529357
PLXND1	2394.9536	3657.1354	1262.1818	0.604276539885649	0.610716335949963
FAM138E	2846.5464	4138.4507	1291.9043	0.592477082059204	0.539878154658345
LOC441617	2743.5502	4068.2185	1324.6683	0.597233799204016	0.568353193298853
ICAM5	3812	5271.3609	1459.3609	0.580331548865354	0.467627349297724
SLC6A7	1859.0273	3325.7835	1466.7562	0.641447417907708	0.839146299391985
TRIM7	3336.9362	4858.5166	1521.5804	0.592830770741551	0.541991794676414
GH2	2971.773	4582.236	1610.463	0.60659657673164	0.624727844743853
HAND1	2092.8512	3817.674	1724.8228	0.645911128168441	0.867224172131563
OTOP1	2596.7808	4323.582	1726.8012	0.624762331824569	0.735502813279214
RFX4	2009.7528	3775.5525	1765.7997	0.652610761959269	0.909669717858785
EPHA10	2689.5258	4628.4532	1938.9274	0.632476972125774	0.783178305972547
CHRNB2	1957.0049	3896.9496	1939.9447	0.665695232171688	0.993697904747904
TNFRSF10C	3292.6	5238.0545	1945.4545	0.614027270709416	0.669803813036049
HPCA	3220.8	5247.5698	2026.7698	0.619667057997397	0.704230374130127
SFRP5	8243.2	10421.107	2177.907	0.558344169971058	0.338232134838986
BCAT1	1744.704	4036.9005	2292.1965	0.698231866257887	1.21026573334023
MIR129-2	2083.3923	4477.7013	2394.309	0.682462646166182	1.10382376909961
CAMKV	4296	6723.1152	2427.1152	0.610132036735581	0.646135876913221
TMEM51	1595.5604	4077.0916	2481.5312	0.718727607475304	1.35347714728713
FNDC5	2637.3774	5247.5698	2610.1924	0.665517430478165	0.992545420629306
LHX9	5595.2	8223.0472	2627.8472	0.595086126408276	0.555483408778837
C1orf126	1440.593	4077.0916	2636.4986	0.738913492808197	1.50087757100895
SMAD6	2158.0182	4836.0468	2678.0286	0.691450079460228	1.1641211740022
CLIP2	2413.008	5094.6246	2681.6166	0.678592689791453	1.07814314597012
NTN3	4211.6	6973.0157	2761.4157	0.623447053259058	0.727414308127489
RNF39	2200.3072	4965.9338	2765.6266	0.69296215407771	1.17436006695068
TUBB4	2911.2	6009.1351	3097.9351	0.673644547277153	1.04554340124423
BMP7	1173.8986	4278.1274	3104.2288	0.784685803039091	1.86567165020781
FAM138C	2046.418	5194.675	3148.257	0.717388245117139	1.34393263195505
