Tf	In_Degree	Out_Degree	Total_Connections
AIRE	86	89	175
ARF1	95	42	137
ARGFX	75	75	150
ARID3B	92	85	177
ARID5A	99	90	189
ATF3	89	100	189
ATF4	98	99	197
ATF5	92	97	189
BARX2	93	81	174
BCL6B	90	100	190
BCLAF1	73	99	172
BHLHE41	99	67	166
CAMTA2	96	28	124
CTCF	94	100	194
CTCFL	95	100	195
DDIT3	86	94	180
E2F2	90	97	187
ETV6	95	100	195
FIZ1	93	100	193
FLI1	99	100	199
FOXH1	89	91	180
FOXO3	100	100	200
FOXP2	85	96	181
FOXR1	95	99	194
GZF1	97	47	144
HES1	89	99	188
HES5	79	76	155
HINFP	94	93	187
HIVEP2	92	99	191
IKZF1	94	99	193
IKZF3	97	100	197
IRF1	98	100	198
IRF2	98	94	192
IRF3	93	99	192
IRF4	98	95	193
IRF5	88	97	185
JUNB	93	97	190
KLF1	98	100	198
KLF13	99	89	188
KLF16	93	99	192
KLF3	93	98	191
KLF6	91	98	189
KLF9	93	99	192
LHX8	95	92	187
MAZ	94	100	194
MEF2C	99	99	198
MEF2D	98	98	196
MEIS1	93	100	193
MNT	94	71	165
MXI1	96	99	195
MYBL2	89	83	172
MYC	97	91	188
MYNN	91	79	170
NFE2L1	90	82	172
NFE2L3	95	99	194
NFIL3	95	80	175
NFIX	98	98	196
NFKB1	89	100	189
NFKB2	86	96	182
NR3C1	96	97	193
NR4A2	92	100	192
POU5F1	91	99	190
PRDM1	100	100	200
PRDM10	74	82	156
RARA	97	100	197
RARG	95	99	194
RREB1	93	99	192
RUNX1	85	98	183
RUNX2	96	100	196
SIN3A	90	100	190
SMAD7	99	93	192
SOX15	96	100	196
SP3	80	100	180
STAT2	91	99	190
TCF3	94	100	194
USF1	95	95	190
XBP1	98	81	179
ZBED6	87	92	179
ZBTB38	99	95	194
ZBTB7B	100	100	200
ZFP62	97	100	197
ZFP91	93	94	187
ZNF114	91	80	171
ZNF217	99	71	170
ZNF334	93	97	190
ZNF443	84	100	184
ZNF490	89	89	178
ZNF524	93	99	192
ZNF580	93	97	190
ZNF581	93	92	185
ZNF592	96	55	151
ZNF672	92	99	191
ZNF689	86	99	185
ZNF692	92	97	189
ZNF709	84	99	183
ZNF710	90	96	186
ZNF740	95	100	195
ZNF775	99	99	198
ZNF784	93	100	193
ZNF791	89	97	186
