GENE	H3k27me3_24_DMSO_compare_TSS_SIGNAL	H3k27me3_24_DMSO_compare_DISTAL_SIGNAL
A4GALT	3027.5114999999996	4474.602800000001
AAAS	0.0	1117.8156
AADACL3	0.0	850.9875999999999
AADACL4	0.0	761.5146
AANAT	0.0	83285.2477
AARS2	0.0	34372.8928
AATF	0.0	60873.02629999999
AATK	12885.5984	406817.52440000005
ABCA17P	440.5777	145558.433
ABCA2	4005.2061999999996	296025.3066999999
ABCA3	592.1102	145558.433
ABCA4	0.0	1553.5362
ABCA7	0.0	25607.0923
ABCB6	0.0	30198.7146
ABCB8	0.0	61382.34880000001
ABCC1	0.0	0.0
ABCC10	0.0	1037.2676
ABCC3	12817.2	314031.28560000006
ABCC8	515.3621999999999	241.81619999999998
ABCD1	0.0	110420.40729999999
ABCD4	0.0	2739.0993000000003
ABCF1	0.0	16766.2208
ABCF2	0.0	180441.4752
ABCF3	0.0	31289.932700000005
ABCG1	2133.8745	140997.2585
ABCG4	2974.2998	12089.936799999998
ABHD11	0.0	26083.738899999997
ABHD14A	0.0	9767.9209
ABHD14B	0.0	9767.9209
ABHD15	0.0	1602.6384
ABHD8	0.0	53101.2811
ABI3	6206.583299999999	38907.189699999995
ABL1	0.0	348518.9663
ABLIM2	1119.6471999999999	133352.47479999997
ABO	6374.641199999999	274629.2046999999
ABP1	0.0	0.0
ABR	11549.1056	448540.7598999998
ABTB2	689.6538	1131.2639
ACAD8	0.0	1626.6858
ACADVL	0.0	188402.6542
ACAN	1402.5023999999999	1231.5083
ACAP1	0.0	140526.8009
ACAP3	0.0	141106.5383
ACBD3	0.0	0.0
ACBD4	0.0	3971.4147000000003
ACCN2	2236.1839999999997	38157.6129
ACCN3	846.0242000000001	61382.34880000001
ACCN4	10586.800000000001	353763.92350000015
ACE	32821.23	141229.3122
ACER1	5298.8	56093.8389
ACHE	5266.8631000000005	117636.25760000001
ACIN1	0.0	587.6871
ACLY	0.0	3206.6474
ACN9	0.0	99.0641
ACOT11	0.0	561.9426
ACOT7	0.0	264130.24710000004
ACOX1	0.0	28736.327400000002
ACOX3	0.0	55072.15650000001
ACP1	0.0	1396.2849999999999
ACP2	0.0	26607.173
ACP5	0.0	12045.427399999999
ACPT	0.0	50129.5646
ACR	0.0	59490.145399999994
ACRBP	0.0	51794.382000000005
ACSBG1	2483.3952999999997	2513.2807
ACSBG2	0.0	89742.40899999999
ACSF3	0.0	65153.4289
ACSL3	0.0	2512.496
ACSL6	4770.0	1357.7284000000002
ACTA2	0.0	703.4453000000001
ACTB	0.0	140616.74479999996
ACTG1	0.0	995732.4651000003
