KB528_24	CCS1477_6	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	45.2238438209517	34.9252372121632	-0.372813705364227	0.102825041443392
LOC100133331	1.86492786030192	1.18377407195056	-0.655726061718568	0.0468000236043641
LOC100288069	13.8141634228435	8.35799783498041	-0.724918906016696	0.0606455892796622
LINC00115	4.51318343494413	2.26735175189871	-0.993137192060502	0.0138273449195062
LINC01128	4.32438696227211	7.7046503016475	0.833233850661169	0.000412166527988243
NOC2L	74.1988056815447	110.138011126109	0.56984459138281	0.00179703433614368
KLHL17	17.280612881957	12.7812872168345	-0.435121246745515	0.0677273413498814
PLEKHN1	5.63389657414523	5.3781469383447	-0.0670239071175427	0.624445742675404
ISG15	14.1467336087715	22.0637440610338	0.641208644473247	0.00472523844070255
AGRN	0.6409940041977	0.983561037698242	0.617703723793363	0.0201252358088911
C1orf159	14.2018003013819	12.5097618088852	-0.183019505346098	0.210687987522406
SDF4	225.811789487161	210.599649659065	-0.100617773865437	0.114421910535776
B3GALT6	27.8159808658247	18.0836622167178	-0.621227104735553	0.00459639085029746
UBE2J2	72.565756823826	80.7855106853429	0.154807648055711	0.0995068908458377
SCNN1D	0.990132924071033	0.927218404305828	-0.0947130155458388	0.825232715612891
ACAP3	17.9385955922483	31.6327429584024	0.818351714686413	0.00971618816459227
PUSL1	26.4513620455426	40.3242548275385	0.608305861170144	0.000512804422704694
CPSF3L	81.4791840009164	77.933319753924	-0.0641912593950019	0.506357213918758
CPTP	55.8606228230044	56.3145082472854	0.0116749910264547	0.861989392725069
TAS1R3	0.816043592337712	0.473167552439391	-0.786295077801894	0.0275796300354149
DVL1	29.253352488034	23.352810784283	-0.325005764046791	0.0220476228706399
AURKAIP1	174.949095280596	217.144913705789	0.311722956272389	0.0307426511156459
CCNL2	106.022695295855	118.674054705798	0.162631435869642	0.446932768945524
LOC148413	88.0801742774197	69.2039847958861	-0.347962212185264	0.00688571554807469
MRPL20	189.660309908995	188.888832514702	-0.00588038923927785	0.949090345793569
ATAD3C	25.6916605257408	16.7585762211455	-0.616400553335776	0.0339307094616413
ATAD3B	23.9271164370906	29.5832581101464	0.306134408582898	0.199481404801743
ATAD3A	21.7540427946714	36.3407798646148	0.740305841928465	0.00167928606505237
SSU72	259.146709394903	132.899186513534	-0.963436800928673	0.0058903312856073
MIB2	24.5850712779436	9.53574252427738	-1.36636535082163	0.0100064856034675
CDK11B	38.8615685209325	42.7349125280609	0.137071037610461	0.0838196978520812
SLC35E2B	82.3408521198575	42.4449054716211	-0.956016976712842	0.00432681585538423
CDK11A	20.652696448179	17.0638086089267	-0.275390465123964	0.0925746616391079
SLC35E2	21.4362276298126	11.6663873565995	-0.877693159562831	0.0172672981735986
NADK	62.7200750605919	45.403829269951	-0.466113309288466	0.0156275166980688
GNB1	245.359953585908	181.167636724813	-0.437574539375667	0.00295402208395043
TMEM52	0.852042906769891	11.6277679479482	3.77050429236646	4.28549206748114e-05
FAAP20	12.8071333589691	7.36122603842247	-0.798929613681996	0.000201065114056108
SKI	13.1530897065731	40.6609275901137	1.6282413940731	0.000683741431507534
MORN1	1.88882437621222	1.10628719122969	-0.77176260887194	0.00850425112224973
RER1	118.072081642826	97.6168446483508	-0.274465853059514	0.0362789662097894
PEX10	43.6569388782996	26.1394976163414	-0.739979561731511	0.00290128612989001
PANK4	23.4323517188807	31.9094505565602	0.44548201400809	0.0129131598439457
LOC115110	30.916228708945	4.66647948637466	-2.72795788531238	0.00840144423115004
TNFRSF14	51.0802481283305	26.75431953709	-0.932993696870799	0.0102819807493741
FAM213B	6.47967177052722	11.8392146774755	0.869580746860067	0.000531814682947184
TPRG1L	105.925477982306	122.646265513602	0.211453666796539	0.0373867013627409
WRAP73	41.0953313114262	51.4369810194129	0.32383146536571	0.017697087828364
TP73	1.59446661228102	11.432808157183	2.84203401236921	0.000112829605268446
TP73-AS1	3.20391647592315	2.13425886734472	-0.586101364745872	0.024026248149955
LRRC47	77.7193704540648	80.1647808435073	0.0446943353318482	0.582330808428411
CEP104	39.2706688549253	33.3745457875467	-0.234703967573704	0.0701712020778712
DFFB	8.57903739234545	5.71370283168075	-0.586389775751886	0.0156974836036298
C1orf174	26.0609866154318	47.3337113359248	0.860976342758513	0.000209779703401125
LINC01134	4.59610947871126	2.2586152820979	-1.02497461086971	0.00191957037090037
NPHP4	11.6256924205597	13.4671424424716	0.212127116616302	0.133708469284696
KCNAB2	45.3476541792658	44.2420466050996	-0.0356097973502363	0.728897696038836
RPL22	518.521670175223	446.382146441119	-0.216124957635828	0.0992223099515946
RNF207	6.1045492723647	1.6699701822906	-1.87006243490174	0.0416406891019073
ICMT	39.4776522964629	74.4583850813739	0.915398129639045	1.62184547093782e-05
LINC00337	1.03108595779963	1.16730956064577	0.17902259249866	0.52029361167093
GPR153	0.458991258442888	1.81227050446563	1.98125972940459	0.00292007079113203
ACOT7	17.6839258365592	69.7455301117359	1.97966217071048	3.022452500355e-06
PLEKHG5	0.920462133657144	0.528711847758296	-0.799876716587679	0.0186418884844357
NOL9	17.0003379957332	16.002863643668	-0.0872333375968584	0.430731520246521
ZBTB48	34.7276780716626	23.1860670275508	-0.582827832506364	0.0330180494466284
KLHL21	31.8216330996608	40.5376772090177	0.349255548096866	0.017081065360596
PHF13	20.2026480074951	23.1037330831247	0.193581577287889	0.0612438794831258
THAP3	20.6389595141882	18.0591716943947	-0.19263851763952	0.0290508234754375
DNAJC11	44.469764172929	42.226984267782	-0.0746595363670055	0.413931698674895
CAMTA1	4.41459852153673	6.13233236974692	0.474153652267786	0.0151146809975904
VAMP3	68.7148880601594	64.7883578923342	-0.0848881212371757	0.358615028313738
PER3	1.11646115276891	0.369909341801523	-1.5936894132165	0.00278580248002143
PARK7	400.308166010007	360.029345066324	-0.152996544296442	0.150350200835461
ERRFI1	2.33846934676264	2.13083570345634	-0.134145158223063	0.348314058943348
RERE	11.9250956788906	10.7065151376423	-0.155511867631095	0.184166090548208
ENO1	194.035204281219	512.284048296361	1.40062554143541	3.73464892401612e-05
H6PD	12.7181848612907	4.43226710972322	-1.5207760510914	0.00372347540376848
SLC25A33	11.6396601601699	17.7680674399705	0.610237836953686	0.00141949809191403
TMEM201	3.637438809475	15.2789384884963	2.07054943121744	0.000131223023302972
PIK3CD	4.5861210863482	2.05223640961372	-1.16007751323363	7.35851291416811e-05
CLSTN1	123.920106234724	97.13121831918	-0.351403323432034	0.0244869495446211
CTNNBIP1	33.2152336862823	35.9082423786963	0.112469973755137	0.105805225539417
LZIC	49.5278111726877	28.7671318880172	-0.783817473955085	0.00107251518856823
NMNAT1	15.3275783702761	11.5320917106734	-0.410475565962088	0.00822937715479028
UBE4B	50.0511130939503	51.7858129630302	0.0491547632780867	0.48396534945611
KIF1B	14.5458705068068	16.3591857606501	0.169491305353326	0.0931476435523787
RNU6-2	2.02040228938302	2.22821453986963	0.141245565171415	0.715426409360349
PGD	90.7685106985496	203.60139759088	1.16548367319457	0.000207655279530598
APITD1	4.97391326337439	5.29134544388413	0.0892532571130742	0.379927498194316
DFFA	40.4605272945305	21.7949366099257	-0.892522114029333	0.000797768668522007
PEX14	30.642039796143	28.7141155046167	-0.0937522162304762	0.103462505631073
TARDBP	119.504032074308	125.756085068337	0.0735689149935003	0.252332608855397
SRM	58.6282804264562	174.66123520811	1.5748908000293	7.15816417658608e-05
EXOSC10	99.3059942480525	91.8486411993741	-0.112622425070543	0.14590562670064
MTOR	35.3124191481445	40.3080369143024	0.190891863431848	0.0994175306759242
UBIAD1	16.2317707011256	23.6535227566382	0.543234672373885	0.00296561101611303
PTCHD2	0.25807073176208	1.7787397494196	2.78501700542621	0.00444661910147482
FBXO2	8.90457691003965	7.24414442543286	-0.297731755712683	0.0268112084906544
FBXO44	20.810398735736	17.1655665038469	-0.277787137572235	0.133576869528317
FBXO6	14.5371241009205	15.3547139661532	0.0789397502964882	0.440095600246639
MAD2L2	55.7901254506905	86.3587063639959	0.630331836781604	0.00176742992408187
AGTRAP	48.116289684743	49.2306390410696	0.0330310681334107	0.781936448485791
C1orf167	1.33732835249372	0.939687196698653	-0.50910123482128	0.0124922098647325
MTHFR	27.8150029965904	22.866164661991	-0.282648857976125	0.0608726197260057
CLCN6	8.74568882271254	6.05840947503723	-0.529632927181643	0.0686547729518
NPPA-AS1	2.16563905910484	0.528325207009909	-2.03529466380445	0.00447302976924288
KIAA2013	134.14686069155	135.848901721333	0.0181896090464299	0.784660631019596
PLOD1	50.0527300119222	41.4201877355661	-0.273114667177063	0.0453313627193382
MFN2	66.2510073902162	72.4015622535738	0.12807843571463	0.0327546668557489
MIIP	29.2270555089545	28.1550355275762	-0.0539115202300762	0.648076320345002
TNFRSF1B	1.27342405281132	9.25155689291458	2.86098324951852	0.00175565434501447
VPS13D	13.2676589225773	11.1153197504976	-0.255364379269303	0.0859594325921262
DHRS3	0.476062187886034	0.376667341980354	-0.337859091373955	0.337110169044257
PRDM2	20.220338298199	28.5592086002687	0.498148867043147	0.00360725300854501
KAZN	1.72830130353641	2.29027416890388	0.406165562024024	0.034295580887962
TMEM51	0.440653545474571	1.23834262480572	1.4906938167228	0.00603968790748194
EFHD2	32.0380296489796	51.0607693485606	0.672429851264995	0.000382577401958103
CASP9	24.585575885488	27.4115710858235	0.156972869329209	0.00990475841310856
DNAJC16	25.7985461775845	22.4400679841286	-0.201212721193672	0.138160942336661
AGMAT	3.65388885507009	5.90821384711998	0.69328929486421	0.00579510804321666
DDI2	8.35969968220183	11.7771353540413	0.49446564340054	0.0366012338668683
RSC1A1	9.40480088533028	14.0571947197942	0.579839411175563	0.000686215468777028
PLEKHM2	87.8056905056447	63.6564892855601	-0.464006847681676	0.0245674826676587
SLC25A34	2.29442112085107	1.06017793536649	-1.11382378928413	0.0298468441905055
UQCRHL	26.4146251301962	23.8427883286006	-0.147783971987405	0.311463692790366
FLJ37453	3.87184086208864	2.67880315853945	-0.531431082882636	0.0549613484005122
SPEN	22.5106126447756	32.5123846364673	0.530384053615184	0.0200458352957663
ZBTB17	31.2986901728396	29.1024957858409	-0.104959400920257	0.268399238855366
ARHGEF19	3.5025204241442	5.76058925399944	0.717822929898461	0.00276229647794267
RSG1	10.1554851536503	10.0535120218355	-0.0145595923348515	0.832854895486319
FBXO42	20.3199440594223	23.0232707424393	0.180196370441319	0.0676305169019116
SZRD1	95.2848064188512	115.746609908552	0.280651845624543	0.0252141171126113
NECAP2	160.439626631732	121.671737530594	-0.399036422746735	0.0240937929822082
CROCCP3	5.49265936482734	2.95512540853491	-0.894285467553868	0.0360263234435051
NBPF1	24.4878739533165	13.557621287864	-0.852963447089794	0.00215494338924291
CROCCP2	155.364332306849	132.625483184718	-0.228297328511086	0.14029090782244
MST1P2	10.3454086583698	3.89964364785912	-1.40757643419406	0.0072767533455445
MST1L	2.44003282867393	0.913231598673599	-1.41784787407069	0.029226086210522
CROCC	22.6907081968139	14.0729264904125	-0.689179266679689	0.0113833414563925
ATP13A2	41.7239617661745	36.3003068477326	-0.200894407460825	0.083056169728346
SDHB	147.68579134292	161.053955999091	0.125013065376188	0.124554934870499
RCC2	57.2386999022726	152.094400464044	1.40990423077779	3.67494471308431e-06
ALDH4A1	13.3297796939807	30.823423118175	1.20937415363173	0.00023095583806173
IFFO2	9.71945256334369	16.6827656819562	0.779411516580976	0.000736192976288659
UBR4	38.7137389071914	52.6465139662414	0.443492357735659	0.0189020123873009
EMC1	41.4422948755768	29.7622844193462	-0.47761862927937	0.0189120058228428
MRTO4	23.8435733248152	36.118742102561	0.599147187391584	0.00054267068407745
AKR7A3	0.757941611459495	0.989553121513798	0.384690442881247	0.355831265794121
LOC100506730	4.99116511690102	5.23515703336686	0.0688561811461634	0.669552280432569
AKR7A2	58.746100528051	49.6004944252777	-0.244138589384908	0.00687420385378671
PQLC2	15.0117078033462	12.3639691654017	-0.279946152786457	0.0805305776684649
CAPZB	155.895702409142	117.606882480701	-0.406608666976376	0.0349960146348474
MINOS1	37.065423503977	33.8858512473763	-0.129390981611341	0.116438077439746
RPS14P3	2.01549734591235	2.35888691638325	0.226970374912947	0.613205495046752
TMCO4	35.324529433832	14.3236302026675	-1.30227316444147	0.000131461685614526
OTUD3	4.61294177525177	11.2500106163199	1.28616737500118	0.00148739595889509
MUL1	57.2578272213396	62.4005862613562	0.12408665842569	0.136972087288958
