JQ1_0	JQ1_24	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	31.9145098738609	28.2556929539069	-0.175670920965196	0.032032872626052
LOC100133331	0.747742776670771	1.11791030253333	0.58019046186101	0.244077749846531
LOC100288069	5.93345025491116	8.10988662173871	0.450810480684082	0.0592205878206121
LINC00115	2.87172230365375	3.17381994543858	0.144304037803938	0.538480974795528
LINC01128	4.87598312045849	6.36937737228349	0.385459219473944	0.00247211574787962
NOC2L	96.5380740320228	89.3219632755705	-0.112083083200658	0.280683263865084
KLHL17	9.26107410645057	9.03674074657857	-0.0353769939833821	0.694954360794513
PLEKHN1	4.31916088920105	11.3322411558066	1.39161024523158	0.00200353229447091
ISG15	12.6659559084462	7.52438869699546	-0.751309679304633	0.0192976184365416
AGRN	0.353765745952748	0.644148525380666	0.864599014899518	0.068799418747238
C1orf159	18.0333827763431	6.50105429585425	-1.4719244403505	0.00157764445808294
SDF4	194.683587489226	186.028668226772	-0.0656062977732361	0.492926273561133
B3GALT6	20.9247349080994	12.6584218849611	-0.725111789260432	0.00724292520921648
UBE2J2	68.0984207618832	69.0821932913041	0.0206925459643408	0.727835985387894
SCNN1D	0.254724438756219	0.523064131944009	1.03805046232776	0.00979690624995841
ACAP3	22.2664431547207	31.725801314456	0.510785483209895	0.0146694293505179
PUSL1	40.8351965987909	24.3333395900018	-0.7468788392742	0.00646659029112688
CPSF3L	73.533397367063	70.5121071456881	-0.0605286474547508	0.224944805421108
CPTP	43.2422451947299	35.73909112058	-0.274938485932366	0.0343019187339409
TAS1R3	0.566520355069644	0.733709927246248	0.373082012259762	0.508087465032092
DVL1	32.2482984765221	17.2438528785349	-0.90314088246876	0.000173837531460161
AURKAIP1	225.114211349784	182.582277441944	-0.302110401027352	0.219377001577008
CCNL2	65.5197361076956	147.897899208794	1.17460010866555	0.000308222716450102
LOC148413	73.4757095415654	115.415537821715	0.651498169039614	0.00182174247641162
MRPL20	227.719774127025	210.810230027509	-0.111314695241288	0.237951157237912
ATAD3C	27.3519839488596	17.732006396558	-0.625289693211471	0.00178526934450973
ATAD3B	35.1610229546662	27.3946139547173	-0.360084770726768	0.00795056779812803
ATAD3A	51.5274386619325	28.0107813776149	-0.879358651627361	0.000670315702028072
SSU72	234.767536347175	216.233151091767	-0.118645204192029	0.298508074136067
MIB2	10.3305418952473	18.3406724214598	0.828130599537269	0.000432106311828696
CDK11B	28.1182082102247	33.2388297031761	0.241364923742631	0.00498882687891054
SLC35E2B	45.7572884292237	77.5498410605544	0.761122263706722	0.00754155800419102
CDK11A	9.61188541983794	17.9440571911297	0.900614767903924	0.00343341908745934
SLC35E2	9.41691553303669	20.4582972071053	1.11935957686778	0.0073487203646431
NADK	58.5676208459896	63.2561635779675	0.111102770536271	0.0622786617270526
GNB1	186.321187538743	181.81479678408	-0.0353221235129784	0.312515875511894
TMEM52	2.48618984722665	1.90734750566194	-0.382368749056032	0.316841198215676
FAAP20	7.82647008654652	5.59848457539338	-0.483325401991842	0.106282413498908
SKI	11.6055948649828	19.9027401397986	0.778146597235936	0.0012151830179224
MORN1	0.817360185598868	1.38286468294394	0.758616116657191	0.00914810398682827
RER1	94.1989329792357	110.622879357784	0.231867175790203	0.0084609696370219
PEX10	24.2950188374743	15.0111685395849	-0.694624263607624	0.00301271322576487
PANK4	22.3198904658504	23.1722336922923	0.0540671725902181	0.421935532518902
LOC115110	14.0383592588558	14.6454520649588	0.0610783962458831	0.38500613577949
TNFRSF14	46.7978684714547	33.371492262177	-0.487826619583564	0.0202796552375211
