KB528_0	Lenalidomide_0	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	33.0696110135168	35.0583560044595	0.0842522695160336	0.207310766914444
LOC100133331	0.902304972804705	0.822181536834463	-0.134158162139522	0.300580230135662
LOC100288069	6.41405156228677	6.53975427998785	0.028000478368374	0.739838358069556
LINC00115	3.24680450572929	3.24276478415904	-0.00179613985718472	0.991825308053357
LINC01128	4.87270788534556	5.03857350926163	0.0482916075647405	0.511663198828966
NOC2L	93.1980079350242	96.0408303654564	0.0433487588504147	0.483551096905271
KLHL17	10.1635163329879	9.96755867915277	-0.0280875278459296	0.366815399575464
PLEKHN1	4.02902643413473	4.48868667470003	0.155862123913179	0.354872309653817
ISG15	13.6982708120135	12.5734495816588	-0.123613273616784	0.354628866343463
AGRN	0.33118685645474	0.362884598128154	0.131865407066122	0.570677817787217
C1orf159	17.8178295865053	15.8828084911355	-0.165855570145401	0.248676619369372
SDF4	192.552139553325	184.024212636233	-0.0653535551758727	0.179046960719778
B3GALT6	20.1057176109378	18.2451912166106	-0.140089558561371	0.159042586987718
UBE2J2	66.910583673123	66.3951585168046	-0.0111563839686867	0.455710658772358
SCNN1D	0.340265623968376	0.17710624357884	-0.94204633470153	0.175258234127045
ACAP3	25.0016921325944	23.5608507334896	-0.085634107998113	0.238074995072527
PUSL1	42.039481893297	39.6116342867165	-0.0858206644048399	0.0932199165613029
CPSF3L	73.4889041171943	73.6280614658132	0.00272927973786397	0.942280488851644
CPTP	45.0832037028479	40.4656171992164	-0.155893439709071	0.0432673548159674
TAS1R3	0.525580633811205	0.674836686827659	0.360626289115235	0.350961637636634
DVL1	30.1495131629851	31.724363698327	0.0734565214413771	0.544987732772296
AURKAIP1	215.392424276387	212.243798356606	-0.021245109034424	0.803984371489011
CCNL2	75.2253974234395	80.9538366618739	0.105879632608039	0.288621168460636
LOC148413	69.7236130962913	72.5798760052943	0.0579222598902766	0.426921179313718
MRPL20	218.455238770389	218.817842304952	0.00239267617271688	0.9567227394798
ATAD3C	26.4266090439646	25.8327137849835	-0.0327921062456528	0.648006855486032
ATAD3B	37.9227965409042	38.5608606993244	0.0240718968390236	0.825442875680893
ATAD3A	50.3678922234583	49.3092079028117	-0.0306472811563374	0.674386855892468
SSU72	237.461432834646	226.238552590676	-0.0698484226234217	0.151727023581561
MIB2	10.6781714628293	10.6390191034253	-0.00529947678513961	0.971687603391568
CDK11B	26.4490369224417	27.3247164246632	0.0469913326624959	0.362784530280505
SLC35E2B	47.5335514680435	47.0920811942828	-0.0134617138684068	0.698681961441997
CDK11A	10.7474649333504	10.7510523139118	0.000481474711413636	0.996366508627081
SLC35E2	10.1020692469144	10.0736458888083	-0.00406491315301842	0.966244329668312
NADK	58.5477491902216	58.1871188410069	-0.00891389659912683	0.823377417902675
GNB1	180.777601296634	180.921590003948	0.00114864401113458	0.945681210130177
TMEM52	2.47781032129569	2.02734242011056	-0.289475970062962	0.225281718716648
FAAP20	8.47751942626591	7.29959803632221	-0.215825163253494	0.0218379543125635
SKI	11.9081881027378	11.0978512398235	-0.101673546048648	0.0787020718094796
