CCS1477_0	Lenalidomide_24	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	35.2881986478804	29.357709405279	-0.265446378645153	0.0518973232761255
LOC100133331	0.731086563764384	0.69996761650111	-0.0627540591798586	0.711401164708101
LOC100288069	6.35170462560157	4.02427947238298	-0.658413325311981	0.164019296519182
LINC00115	2.93897376046328	3.43147682126425	0.223517131204286	0.265304216593912
LINC01128	5.06886577633135	5.21726489809434	0.0416307238678101	0.660134644605573
NOC2L	102.067565807618	118.164635725754	0.211273839538176	0.028104966755218
KLHL17	10.5675784091031	8.55416506661223	-0.304945865130709	0.104577039616192
PLEKHN1	4.49454773621316	3.94074606722679	-0.189707163418191	0.206718095080562
ISG15	13.2211808765026	8.91367225155455	-0.568759219504579	0.0642113488415141
AGRN	0.403236680424605	0.193280553581164	-1.0609303877097	0.0595630490996843
C1orf159	20.4613721284083	18.8347500082685	-0.119506009999497	0.231018967198187
SDF4	204.856571528676	196.186354873144	-0.0623894703991403	0.228390903865159
B3GALT6	22.1748160819421	18.8932984024894	-0.23104754864175	0.0351187886249889
UBE2J2	66.3676240075756	67.0221554225317	0.0141584581576402	0.627091426986318
SCNN1D	0.339641359594991	0.165970517859165	-1.03308516131714	0.161696241855465
ACAP3	27.4547251364211	23.1621215823077	-0.245287061773582	0.0204802123534583
PUSL1	43.7000916480426	49.833960518137	0.189492930371589	0.00578962131139264
CPSF3L	75.1947511591423	74.1588614603761	-0.0200128657079809	0.753294490516945
CPTP	45.7391216552149	45.3098991329355	-0.0136023822388886	0.820889935783528
TAS1R3	0.655345834010818	0.296601265311263	-1.1437316830249	0.00592463405568545
DVL1	33.5262203661701	25.1499202825392	-0.414736020549176	0.0107688237651421
AURKAIP1	235.03149246414	260.003576337453	0.14567738749532	0.192792463644566
CCNL2	75.7080937718285	54.9447799131426	-0.462465120624988	0.000846208247975315
LOC148413	78.2692732648801	74.6240021872442	-0.0688063134878866	0.217895111063679
MRPL20	218.858980268412	276.648791182167	0.338054037771162	0.00141436003621066
ATAD3C	28.0209013051513	17.3618753839693	-0.690580569151975	6.81104223961451e-05
ATAD3B	40.0111845596424	41.0502342495999	0.0369871133096861	0.640198249512776
ATAD3A	54.8054821550767	69.2401421332483	0.337288474004264	0.00226965490717218
SSU72	240.98841030195	196.055608793356	-0.297700850215771	0.00269359450660379
MIB2	11.4270772748659	8.06623415663008	-0.502489258097458	0.00133060672491765
CDK11B	28.8413792767981	29.7890215521689	0.0466405777099447	0.307367686282267
SLC35E2B	47.7356840062972	35.5551554580133	-0.425009367706047	0.0129253587014691
CDK11A	11.6355032758376	10.9739666485627	-0.0844485172800506	0.229409668756622
SLC35E2	10.1828514958353	6.90196226785732	-0.56106312285986	0.00599894989573785
NADK	60.9495774793264	58.7105236762139	-0.053997094636428	0.265477403547206
GNB1	190.596082851866	144.666592628354	-0.397786665554149	0.000100851432491948
TMEM52	2.16665193566843	1.75760743125816	-0.301854533936694	0.568873471895732
FAAP20	8.06598548346643	6.38985265538239	-0.33606814507184	0.00822614129074659
SKI	12.1835984592138	9.94661043469614	-0.292663421327019	0.0226495780486702
MORN1	0.871679366228481	0.863763633685216	-0.0131609822773934	0.956674644908919
RER1	97.7384839228083	95.236547451224	-0.0374114058263647	0.491145833150212
PEX10	24.6881226225141	27.7077688808418	0.166473412318678	0.0561319442858518
