GNE781_0	GNE781_24	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	34.4344129481236	33.7517381238947	-0.0288892825898785	0.623569335781482
LOC100133331	0.710462812232232	0.937802268944666	0.400524633127279	0.252558600700999
LOC100288069	5.36811805780707	7.46344088955806	0.475424513081079	0.394680585405935
LINC00115	3.0033722088186	3.34184790780963	0.154062796212205	0.606908468238279
LINC01128	4.63293866020875	4.95778973273526	0.0977695045575423	0.663397529265485
NOC2L	107.261958628848	118.792966336049	0.147310914846003	0.388836560669779
KLHL17	10.7092433402195	11.9085158199661	0.153137068378658	0.0935205988605032
PLEKHN1	4.42248049260808	5.38902004326252	0.285167173264001	0.172143561884064
ISG15	18.9875584098274	19.2473022686704	0.0196018468578912	0.962658845281645
AGRN	0.509241851737855	0.297654778412506	-0.774710936230571	0.0269178966269552
C1orf159	17.156131024785	20.4467129667347	0.253144693486448	0.168351052470102
SDF4	219.501738282872	208.100469439246	-0.0769521452759445	0.673877658538895
B3GALT6	26.4506792816275	25.803407936395	-0.0357431533043871	0.896296391558793
UBE2J2	73.9324369529138	81.6682182346856	0.143567284519216	0.442541568419876
SCNN1D	0.455419755481163	0.357719734752129	-0.348367163543757	0.529963651152455
ACAP3	26.8449386469321	23.791388397119	-0.17421064191839	0.356878667608113
PUSL1	51.6218552390626	41.0007131560154	-0.332332987593482	0.3575996387238
CPSF3L	70.8517717197341	80.8317329388529	0.190117848071405	0.16655898321249
CPTP	48.2568342839939	51.5972127561998	0.096559858579629	0.373663761737563
TAS1R3	0.610530163877226	0.389684622914506	-0.647755571419769	0.278049552844594
DVL1	34.3873053694838	28.7259782634139	-0.25952004428028	0.107448228203837
AURKAIP1	317.065779574328	251.004264159595	-0.337070304512431	0.529351429546056
CCNL2	69.101418794903	72.0502757761155	0.0602886199719731	0.609638295759948
LOC148413	79.7638261927938	71.9310570800826	-0.149119810336042	0.227507481362729
MRPL20	255.953403846104	258.806824692675	0.0159944690415659	0.954315997840332
ATAD3C	31.6340793536486	20.7839337342108	-0.606010873586545	0.056416795382799
ATAD3B	44.0752690387478	39.1478612597851	-0.171035884062759	0.505396142269705
ATAD3A	56.2927659161805	55.4033998042023	-0.0229750267181681	0.859663302144398
SSU72	277.613207670909	246.211107390948	-0.173180358924377	0.480774949254025
MIB2	12.2095603431046	12.0881709334314	-0.0144152846532272	0.908771047337709
CDK11B	28.473012248349	34.196533578096	0.264254961590457	0.0480368105872844
SLC35E2B	40.6740521325562	48.3948162144973	0.250743796500701	0.396182241251364
CDK11A	10.8681419853863	14.7470610403972	0.440322147991666	0.00249568670168094
SLC35E2	9.16058877949246	11.3051500962603	0.303467913689666	0.219563168833501
NADK	60.945477444038	65.2171611146961	0.0977324749896928	0.296755900874981
GNB1	172.080477415148	216.694936146457	0.332582007636116	0.0779569722602729
TMEM52	2.51045060821521	1.27265254813798	-0.98010774385831	0.0979113213223169
FAAP20	10.5817932566363	9.77111924760834	-0.114988403810106	0.774614381175595
SKI	11.3981198765632	13.6175005873366	0.256666058386525	0.229482162846271
MORN1	0.726135364885998	1.16628194430493	0.68360617374683	0.0267932271720265
RER1	97.5765930244027	110.492872296334	0.179346290617068	0.0265740202371259
PEX10	23.9282189536606	32.6293301183009	0.447456352215593	0.00619321661205312
PANK4	23.7816207920417	24.1887074124146	0.0244866345247215	0.841314459787718
LOC115110	15.4653276905245	12.8329566031123	-0.26918380933092	0.144143922612702
TNFRSF14	51.1702145709195	36.2208561564383	-0.498483635146015	0.00231611354792645
FAM213B	8.54639418151125	8.40659242426001	-0.0237947305323811	0.814254718206439
TPRG1L	57.4455751865864	77.0529550329041	0.423654514272892	0.0359179368334329
WRAP73	37.9609043113022	41.9353991408376	0.143654226789028	0.307318442513173
TP73	7.82964787367883	7.03161174293092	-0.155092013079704	0.417629927337513
TP73-AS1	1.69882252068829	1.69515569827215	-0.00311734974862891	0.98511526382824
LRRC47	62.4838821155677	72.1122061274247	0.206759388287189	0.143364695053373
CEP104	23.8816874742503	27.9547205331228	0.227187141548003	0.17998333511097
DFFB	7.73688234311995	7.20521412945419	-0.102711028528498	0.674058266051524
C1orf174	31.7504969642166	29.922102044451	-0.0855676444499581	0.268023214693058
LINC01134	2.34358578979325	2.45141400297045	0.0648965445488403	0.817359127423471
NPHP4	8.08228433804944	9.87539169658077	0.289074865216145	0.123784087094006
KCNAB2	66.639694459779	63.8715254060942	-0.0612088800616318	0.635001716114825
RPL22	556.303149556399	535.9694923239	-0.0537203895214566	0.577290473216378
RNF207	1.69431067751288	1.47865329364765	-0.196414621876671	0.420710249890223
ICMT	46.7907187079928	56.4144337477235	0.269841937572017	0.120159125966499
LINC00337	0.642538223340903	0.798332028617409	0.313206612366947	0.383324490123972
GPR153	0.458885785154735	0.595950972004019	0.377058529938259	0.128833691909777
ACOT7	45.6271959938935	54.8212776040408	0.26484195430775	0.117557873944055
PLEKHG5	0.59180663197864	0.549629713681425	-0.106665863741548	0.637687671500145
NOL9	11.8558501480196	15.9527480453528	0.428205848372005	0.00994758794940199
ZBTB48	17.9690066737396	21.4654302167141	0.256504429105852	0.035010372265514
KLHL21	30.545053416559	33.4338119317527	0.130369088783223	0.322011892469996
PHF13	16.9201139465178	18.3168784133133	0.114434374231939	0.0351784778606672
THAP3	11.4133662651707	13.7522953195601	0.268948067245633	0.0789946502147345
DNAJC11	48.5941090427379	53.0250635906628	0.125893016242981	0.278966374896677
CAMTA1	6.63379604476777	6.34388875045315	-0.0644671858732488	0.388343301183206
VAMP3	38.7820824180385	47.8433208780425	0.302927261119746	0.020526798774091
PER3	0.221207090349939	0.487292714130221	1.13939102289089	0.00331256511240401
PARK7	424.014913609812	502.096530326957	0.24384974679704	0.276580871768844
ERRFI1	1.02770170294388	1.31947594460755	0.360543475361418	0.0663712212233601
RERE	9.56892936389927	11.4929331718336	0.264317622314587	0.41271491128897
ENO1	560.804073014998	623.412492036643	0.152690236790335	0.027795923479688
H6PD	2.27353699200463	3.45005168670625	0.60167949777658	0.07620583230019
SLC25A33	16.5637296250984	15.4191848134805	-0.103301064059001	0.191705008032776
TMEM201	9.34662488472412	8.36588174671761	-0.159927888926487	0.214470109100291
PIK3CD	2.52641791555769	2.33822778632738	-0.111677825205883	0.245340375639043
CLSTN1	69.5196269550856	78.2781758926639	0.171189796782078	0.352416506783551
CTNNBIP1	20.5656335591512	26.906181349059	0.387702134301919	0.0303935875417963
LZIC	26.3719923532965	37.1250248635062	0.493385423965545	0.0229897214936834
NMNAT1	7.62676970528716	9.88219079513578	0.37375877271437	0.0184086041718617
UBE4B	37.2405106547252	42.3495611932181	0.185474165324528	0.309274846403783
KIF1B	11.8599787345846	12.9616634441887	0.128149456309892	0.67592280706179
RNU6-2	2.65022112372916	2.31791018525588	-0.193288071679918	0.55199201367027
PGD	134.090662096826	129.22124362364	-0.0533655085927355	0.382945076786926
APITD1	4.78811949120555	6.65804453339772	0.475639363912076	0.121761846358335
DFFA	24.4553598330094	31.3561199984238	0.358596359169041	0.0104759664202596
PEX14	22.6806149020253	24.3485331470963	0.102375106996505	0.189165010839154
TARDBP	99.9734315785136	136.613375103092	0.450482089517149	0.00396358943200455
SRM	233.842598458075	226.827605603269	-0.0439415342673955	0.625921157858244
EXOSC10	65.0342974010988	98.8696400517805	0.604326821155233	0.0607422606682188
MTOR	19.5114660551821	29.9564133070317	0.618542716265284	0.107513195611777
UBIAD1	23.8608571779797	27.8467619731693	0.222863709087724	0.435416572616956
PTCHD2	0.846319739813321	1.05473516596104	0.31760607530578	0.357953523814252
FBXO2	5.32256231532097	4.9608117209467	-0.101544732246783	0.739251992045537
FBXO44	12.869079704391	13.8715809527281	0.108223334867613	0.202394465997488
FBXO6	8.65174072613229	11.3769937300882	0.395057051979998	0.0270373255095776
MAD2L2	77.7447488199877	70.2491545916455	-0.146264369920661	0.161219981673294
AGTRAP	83.212934381378	72.9746421096883	-0.189412563881876	0.121201105968815
C1orf167	3.02690228293792	1.50283781125577	-1.01015278197706	0.00346150350091831
MTHFR	14.1920473213866	16.6135598752096	0.227278515086661	0.178734608134771
CLCN6	5.75893666308178	6.6147560336688	0.199885492482616	0.361595346183289
NPPA-AS1	1.18356329168635	1.74494524029479	0.560044905595047	0.501610635729063
KIAA2013	101.567487694062	107.457483331926	0.081327293980382	0.20725014558591
PLOD1	26.3529810758078	42.5850856173098	0.692382080112171	0.00180017827016741
MFN2	58.6327117140467	68.9040123023012	0.232882212240881	0.101866052958716
MIIP	33.7396326005572	33.4224299679228	-0.0136276359075234	0.938405093982104
TNFRSF1B	9.6951021906385	5.52854721289252	-0.810355685010628	0.00228629817904989
VPS13D	5.08737965270795	8.14773898909903	0.679477003327058	0.111939708078474
DHRS3	0.794869335469835	1.28772859773894	0.696038934736918	0.00491960609558592
PRDM2	13.8883694481772	15.9837810628751	0.202731496211018	0.590051087759296
KAZN	2.59788248048137	1.91268223541946	-0.441738958952856	0.19098355662417
TMEM51	1.62795265257199	0.858706128356631	-0.922822347771615	0.00993913013331926
EFHD2	35.6826885586274	40.6908641168903	0.189480596921147	0.296467635259327
CASP9	7.89550342987681	11.5243379226991	0.54558070702852	0.000982294324694717
DNAJC16	11.4834547799321	15.3019382046088	0.414157662080081	0.167681446210161
AGMAT	16.191362941623	16.1183778203113	-0.00651787660253478	0.930568117392123
DDI2	5.19478624736996	7.52461149386241	0.534552708436098	0.372660572725753
