KB528_6	KB528_24	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	40.0858091276294	45.2238438209517	0.173992024646829	0.334437005840672
LOC100133331	1.28167034745702	1.86492786030192	0.541094584093962	0.180589929777489
LOC100288069	10.2441702254238	13.8141634228435	0.431345064844544	0.144372936846005
LINC00115	2.49490626419651	4.51318343494413	0.855159803725976	0.0154129909341604
LINC01128	6.06810737425211	4.32438696227211	-0.488750987502297	0.00228577946185214
NOC2L	110.195027398658	74.1988056815447	-0.570591252855318	0.000798927413389307
KLHL17	14.8396133804223	17.280612881957	0.219700880067198	0.31618996823285
PLEKHN1	2.49408206819119	5.63389657414523	1.17562414120008	0.0155966580492182
ISG15	21.9693539672288	14.1467336087715	-0.635023464010344	0.0901624240736577
AGRN	0.537330193013224	0.6409940041977	0.254501955552185	0.273181690234186
C1orf159	16.7012145420633	14.2018003013819	-0.233879196274566	0.0420891210450778
SDF4	238.687953054796	225.811789487161	-0.0800049429868572	0.270183151301292
B3GALT6	22.5543965852654	27.8159808658247	0.3025052907032	0.0240972471002774
UBE2J2	80.0104061822672	72.565756823826	-0.140898736610921	0.131652698435924
SCNN1D	0.486588291171296	0.990132924071033	1.02492061318574	0.0709565462004694
ACAP3	26.7900970280927	17.9385955922483	-0.578632859850148	0.00651020821579689
PUSL1	42.8440483718013	26.4513620455426	-0.69575279589206	0.00130736020466426
CPSF3L	82.4569457517588	81.4791840009164	-0.0172094919895809	0.852229346272692
CPTP	58.7528614958958	55.8606228230044	-0.0728274591580576	0.312994596199732
TAS1R3	0.228150188347353	0.816043592337712	1.83866237697932	0.00514067327864131
DVL1	29.3260092540236	29.253352488034	-0.00357878975170595	0.95916766773024
AURKAIP1	278.168595841867	174.949095280596	-0.669024350439887	0.0269384871987721
CCNL2	85.5919166638665	106.022695295855	0.308826662750603	0.209627533195193
LOC148413	61.1256313495396	88.0801742774197	0.527039862118906	0.00213760666445045
MRPL20	238.671290593048	189.660309908995	-0.331607238788933	0.0431484955779008
ATAD3C	20.0040743466055	25.6916605257408	0.361006266722731	0.0604349259214347
ATAD3B	26.9437709200389	23.9271164370906	-0.171305235785511	0.371545247033183
ATAD3A	44.8833235849565	21.7540427946714	-1.04489597278844	0.000190346029076523
SSU72	179.006905164829	259.146709394903	0.533753834408701	0.00558419822241304
MIB2	10.2084130975744	24.5850712779436	1.26802392182955	0.0198321121236637
CDK11B	48.0305562895319	38.8615685209325	-0.305608386159212	0.00582778972053298
SLC35E2B	38.2647720261674	82.3408521198575	1.10559157433889	0.00273669364858337
CDK11A	17.7226430633812	20.652696448179	0.220736378431627	0.171223377565356
SLC35E2	8.24664129047587	21.4362276298126	1.37817248091747	0.00613352565126332
NADK	44.7609660126388	62.7200750605919	0.486686113709882	0.023664490921396
GNB1	188.453608763478	245.359953585908	0.38069037687259	0.0087118643916577
TMEM52	5.53949760966744	0.852042906769891	-2.70075715279054	0.00561738136642673
FAAP20	9.29097059464475	12.8071333589691	0.46304636827654	0.00347712697674861
SKI	21.1192441028402	13.1530897065731	-0.683156465456221	0.00162815242669606
MORN1	1.2075874020171	1.88882437621222	0.645360954159005	0.0113789300081781
RER1	109.511345235339	118.072081642826	0.108587538277603	0.181792192319874
PEX10	34.9221277122542	43.6569388782996	0.322069514285111	0.0261202697924912
PANK4	32.1446073108121	23.4323517188807	-0.456074973101233	0.0127979005982004
LOC115110	4.84022865777111	30.916228708945	2.67521723527601	0.0059678462145468
TNFRSF14	30.333105262386	51.0802481283305	0.751872335937441	0.00798296887852781
FAM213B	12.8998524577986	6.47967177052722	-0.993361924925041	0.000207556421269023
TPRG1L	110.798644520809	105.925477982306	-0.0648905931826108	0.337762308559961
WRAP73	61.6700287946604	41.0953313114262	-0.585595015962666	0.00191335273999167
TP73	20.951161248676	1.59446661228102	-3.7158844162604	0.00244340441689876
TP73-AS1	2.9708671713322	3.20391647592315	0.108952434950359	0.688367243753761
LRRC47	77.8244777788393	77.7193704540648	-0.00194977610515006	0.980157010398513
CEP104	37.4090491076714	39.2706688549253	0.0700648752720823	0.43010305716757
DFFB	8.25297185919362	8.57903739234545	0.0559020586398796	0.616881773596646
C1orf174	46.308561804401	26.0609866154318	-0.829387249839155	6.64945274788757e-05
LINC01134	2.60714446746991	4.59610947871126	0.817942635278953	0.0131712723957011
NPHP4	12.5962252281995	11.6256924205597	-0.115674814093658	0.396383902554734
KCNAB2	47.5169949366245	45.3476541792658	-0.0674156778023061	0.488297105932908
RPL22	447.182410324108	518.521670175223	0.213540842061135	0.105757245517202
RNF207	1.64277971400323	6.1045492723647	1.89374574086818	0.0372297607842924
ICMT	85.3190792284431	39.4776522964629	-1.11183219960451	8.19107923055762e-05
LINC00337	2.35885624217613	1.03108595779963	-1.19392288800316	0.0142744889571067
GPR153	1.60928647296091	0.458991258442888	-1.8098825838706	0.000311583041546365
ACOT7	74.9766730642717	17.6839258365592	-2.08400322142526	0.000217075607669219
PLEKHG5	1.16295195625246	0.920462133657144	-0.337361219840557	0.0679620863504167
NOL9	18.4080887181179	17.0003379957332	-0.114776411898623	0.296997982763068
ZBTB48	25.7738740715035	34.7276780716626	0.430176548851893	0.0535148474987153
KLHL21	26.5745689033353	31.8216330996608	0.259961588958522	0.0705660692762986
PHF13	27.9108771160442	20.2026480074951	-0.466283059948002	0.00294099309556773
