KB528_24	JQ1_0	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	45.2238438209517	31.9145098738609	-0.502871127997466	0.072251619807506
LOC100133331	1.86492786030192	0.747742776670771	-1.31850585096623	0.0171371606266102
LOC100288069	13.8141634228435	5.93345025491116	-1.21920502630883	0.0275427056462386
LINC00115	4.51318343494413	2.87172230365375	-0.65222917010253	0.0246014705467339
LINC01128	4.32438696227211	4.87598312045849	0.173197505104157	0.0772390116170132
NOC2L	74.1988056815447	96.5380740320228	0.379702079672346	0.00750202883198107
KLHL17	17.280612881957	9.26107410645057	-0.899902952502081	0.0228462449480274
PLEKHN1	5.63389657414523	4.31916088920105	-0.383382021183303	0.0922722978696961
ISG15	14.1467336087715	12.6659559084462	-0.159513020005159	0.287681431788379
AGRN	0.6409940041977	0.353765745952748	-0.857516498987961	0.0428078793389497
C1orf159	14.2018003013819	18.0333827763431	0.344596223251774	0.0183468604916363
SDF4	225.811789487161	194.683587489226	-0.213989545328887	0.0241123958981661
B3GALT6	27.8159808658247	20.9247349080994	-0.410704634137537	0.0181863508278584
UBE2J2	72.565756823826	68.0984207618832	-0.0916675712591291	0.284993395248756
SCNN1D	0.990132924071033	0.254724438756219	-1.95868483693687	0.0303287365500045
ACAP3	17.9385955922483	22.2664431547207	0.311804173710611	0.0231646045840092
PUSL1	26.4513620455426	40.8351965987909	0.626471161336263	0.00533268819330009
CPSF3L	81.4791840009164	73.533397367063	-0.148031890638408	0.198923168620607
CPTP	55.8606228230044	43.2422451947299	-0.36939022750731	0.0131900843097213
TAS1R3	0.816043592337712	0.566520355069644	-0.526518428774628	0.0717468937946347
DVL1	29.253352488034	32.2482984765221	0.140621071657032	0.129985849996855
AURKAIP1	174.949095280596	225.114211349784	0.363721932351805	0.0169231933645424
CCNL2	106.022695295855	65.5197361076956	-0.694371670810237	0.0377186547792887
LOC148413	88.0801742774197	73.4757095415654	-0.261549937666527	0.0224721710606424
MRPL20	189.660309908995	227.719774127025	0.263841775374945	0.0633935509122549
ATAD3C	25.6916605257408	27.3519839488596	0.0903453424857327	0.455677862982484
ATAD3B	23.9271164370906	35.1610229546662	0.555330502260179	0.0470499248711303
ATAD3A	21.7540427946714	51.5274386619325	1.24405734257503	0.000315701140647519
SSU72	259.146709394903	234.767536347175	-0.142536148336469	0.130917089052424
MIB2	24.5850712779436	10.3305418952473	-1.25086660419109	0.0202327617097075
CDK11B	38.8615685209325	28.1182082102247	-0.466839467989239	0.00634540890286076
SLC35E2B	82.3408521198575	45.7572884292237	-0.847606818003784	0.0138083106768022
CDK11A	20.652696448179	9.61188541983794	-1.1034387986669	0.0131129415683778
SLC35E2	21.4362276298126	9.41691553303669	-1.18672454686008	0.0157191700337378
NADK	62.7200750605919	58.5676208459896	-0.0988239960230422	0.28046628345514
GNB1	245.359953585908	186.321187538743	-0.397108058939307	0.00258075160303074
TMEM52	0.852042906769891	2.48618984722665	1.54493847787602	0.022261533582589
FAAP20	12.8071333589691	7.82647008654652	-0.710513919570138	0.000190148869525919
SKI	13.1530897065731	11.6055948649828	-0.180581260991053	0.112852013785242
MORN1	1.88882437621222	0.817360185598868	-1.20844469037288	0.00444787551551086
RER1	118.072081642826	94.1989329792357	-0.325885254022634	0.0253072728248767
PEX10	43.6569388782996	24.2950188374743	-0.845550424428772	0.00186601677425377
PANK4	23.4323517188807	22.3198904658504	-0.0701718060961218	0.19840507301572
LOC115110	30.916228708945	14.0383592588558	-1.13899001431268	0.0188637996775196
TNFRSF14	51.0802481283305	46.7978684714547	-0.126322713047352	0.242722893685097
FAM213B	6.47967177052722	8.72307971149564	0.428916838220437	0.0175444205828058
TPRG1L	105.925477982306	63.4782569499054	-0.738715219938508	0.00774387938952258
WRAP73	41.0953313114262	40.3081280901665	-0.0279037179954563	0.759267009742457
TP73	1.59446661228102	8.11117598134754	2.34683720738927	0.000693602459966627
TP73-AS1	3.20391647592315	1.51550081456564	-1.08004191053352	0.00656561167936891
LRRC47	77.7193704540648	55.9802138681333	-0.473357216159802	0.0208455115740986
CEP104	39.2706688549253	24.6357073565998	-0.672701274229615	0.0154897831267111
DFFB	8.57903739234545	8.58546755773646	0.00108092463868229	0.991068830256011
C1orf174	26.0609866154318	32.1407574245054	0.302512225347872	0.00495185241047065
LINC01134	4.59610947871126	2.16288703353452	-1.08745484714013	0.00149316428207809
NPHP4	11.6256924205597	7.83216053676874	-0.569834403534286	0.0350388810618368
KCNAB2	45.3476541792658	68.0588697348918	0.585755269926027	0.00765189512932227
RPL22	518.521670175223	576.64114737834	0.15326950314922	0.159599073805396
RNF207	6.1045492723647	1.78385777951801	-1.77488417914927	0.0454204655622397
ICMT	39.4776522964629	50.3967995643432	0.352295922203659	0.000136070707961745
LINC00337	1.03108595779963	0.468025048268355	-1.13950696114313	0.0824364324030707
GPR153	0.458991258442888	0.479133963317663	0.061962404693893	0.765829285191097
ACOT7	17.6839258365592	41.9514002666312	1.24628037718931	3.56646527038903e-05
PLEKHG5	0.920462133657144	0.655972644095285	-0.488722720969028	0.0697381149011641
NOL9	17.0003379957332	12.0058936794498	-0.501820632823084	0.0265682124977856
ZBTB48	34.7276780716626	17.2466893080448	-1.00976650660119	0.0197115402154394
KLHL21	31.8216330996608	30.3231486970956	-0.0695883093389135	0.466460271379559
