KB528_0	GNE781_6	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	33.0696110135168	29.6632250485867	-0.156830616525223	0.0844183796023359
LOC100133331	0.902304972804705	0.863692899513721	-0.063096707630936	0.550685335104278
LOC100288069	6.41405156228677	6.01168318705064	-0.0934669697000786	0.441412231326682
LINC00115	3.24680450572929	1.92598752037513	-0.753422165589346	0.0581397481204771
LINC01128	4.87270788534556	6.44196085224119	0.402776156704505	0.00522042924715618
NOC2L	93.1980079350242	112.670088086812	0.273733532984407	0.0172794903225131
KLHL17	10.1635163329879	10.0921369342699	-0.0101679397313171	0.923706531303598
PLEKHN1	4.02902643413473	3.12625802114239	-0.365994416948729	0.136209080192514
ISG15	13.6982708120135	21.5656686281413	0.654742659030014	0.00499313789877048
AGRN	0.33118685645474	0.437301102455969	0.400981566622961	0.104578006950303
C1orf159	17.8178295865053	14.9028012840867	-0.257738070959434	0.127596764075146
SDF4	192.552139553325	203.709203546846	0.081262008684031	0.112668512327669
B3GALT6	20.1057176109378	21.6620844898997	0.107566247113002	0.164473844986607
UBE2J2	66.910583673123	72.456655576884	0.114883786852726	0.0793437266299551
SCNN1D	0.340265623968376	0.34263090306186	0.00999387148434597	0.980393817942702
ACAP3	25.0016921325944	23.0872002364044	-0.11493251141973	0.155736264464004
PUSL1	42.039481893297	49.410628753903	0.2330765250835	0.00373972709801074
CPSF3L	73.4889041171943	69.7979814227207	-0.0743411240367293	0.113393449325703
CPTP	45.0832037028479	49.1382111300847	0.124255297583453	0.0697607772539134
TAS1R3	0.525580633811205	0.157572863793187	-1.73789301300243	0.0485807533138221
DVL1	30.1495131629851	28.3212438023344	-0.0902500799218163	0.483702464902473
AURKAIP1	215.392424276387	256.094166531615	0.249706882028379	0.0438829155051698
CCNL2	75.2253974234395	61.7323766473914	-0.285192488442165	0.0616078288103519
LOC148413	69.7236130962913	66.2001287942006	-0.0748133084051217	0.3464411110355
MRPL20	218.455238770389	249.929939430791	0.19418603064642	0.0184719891540235
ATAD3C	26.4266090439646	19.7396195479791	-0.420897131792949	0.0116007540965702
ATAD3B	37.9227965409042	29.3080627416368	-0.371767747561531	0.0476611057281808
ATAD3A	50.3678922234583	53.1155986678813	0.0766312463091023	0.320619738772804
SSU72	237.461432834646	180.552332281145	-0.395276161572819	0.000399102974337496
MIB2	10.6781714628293	7.88087472041947	-0.438236947662697	0.0756618396279535
CDK11B	26.4490369224417	38.7153179470772	0.549689299189267	0.00310339359731219
SLC35E2B	47.5335514680435	32.5027922422792	-0.548382534415732	0.000521824011995761
CDK11A	10.7474649333504	12.7968025692641	0.25178697790133	0.0584601713515384
SLC35E2	10.1020692469144	7.25037198887384	-0.478523914887259	0.00578805136090695
NADK	58.5477491902216	49.9084588543618	-0.230329353920387	0.0240216504489955
