GENE	H3k27me3_29_DMSO_compare_TSS_SIGNAL	H3k27me3_29_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
TMEM200B	12122.8221	2096.0585	-10026.7636	0.147413749293316	-2.5319746987629
CHST3	5913.9158	497.5824	-5416.3334	0.0776078202751426	-3.5711063412018
KIF26B	6193.2	1267.6122	-4925.5878	0.169902708447748	-2.28857158648981
LMO2	4461.1827	364.2645	-4096.9182	0.075488236613593	-3.61436792558447
CADM3	5050.0138	1879.09	-3170.9238	0.271188028674069	-1.42625316322563
PLAU	3158.8752	289.5168	-2869.3584	0.0839570443267471	-3.44769196853826
TGIF1	2636.9827	89.8122	-2547.1705	0.0329369106565367	-4.87583286362757
BATF3	2545.9005	35.88	-2510.0205	0.0138973859319179	-6.14885233581824
ACSL6	3550.8	1194.0254	-2356.7746	0.251647911006378	-1.57231057559183
PDE4DIP	2648.9674	299.1168	-2349.8506	0.101461416875407	-3.14664924170881
PTRF	3970.8126	1900.68	-2070.1326	0.323713258192644	-1.06291861624125
GRIN2A	2075.0695	44.8308	-2030.2387	0.0211475983092224	-5.53252560268773
KIAA1614	2275.3225	246.964	-2028.3585	0.0979127470253677	-3.20369838447363
PTPN5	2197.062	182.2048	-2014.8572	0.0765802305147115	-3.59194271138854
C17orf102	4414.7238	2439.5559	-1975.1679	0.35591717974392	-0.855704639266606
MEGF11	2123.083	186.4342	-1936.6488	0.0807243176192842	-3.50942233188738
DLX5	2037.4578	139.3099	-1898.1479	0.0639985148621968	-3.87040048721335
SPHK1	2295.0749	441.0156	-1854.0593	0.16118458070009	-2.37963964280191
C1orf95	2890.6852	1145.589	-1745.0962	0.28382338345596	-1.3353219607374
C21orf63	2099	355.7326	-1743.2674	0.144917047176544	-2.56083706979064
PRDM14	1759.1132	47.1732	-1711.94	0.0261161242203894	-5.22073704428368
SLIT1	2050.3814	366.1284	-1684.253	0.151511241543486	-2.48547070575346
CITED1	1892.9866	231.2102	-1661.7764	0.108845941204694	-3.03338724872627
MATN3	1924.6272	285.6326	-1638.9946	0.129230328488986	-2.7523464705988
GSX2	1913.2261	280.1216	-1633.1045	0.127714178650289	-2.77188223952357
SERINC2	2006.7966	385.4748	-1621.3218	0.161133389798499	-2.38018594524097
CD34	1676.4777	85.6444	-1590.8333	0.0486029884081245	-4.29093056633601
SORBS3	17091.8	15523.3481	-1568.4519	0.475955162073908	-0.138864586699899
NDRG4	2571.5148	1024.0842	-1547.4306	0.284816020918907	-1.32828411863234
NFATC2	1502.977	0	-1502.977	0	-8
