GENE	IRF4H3K27ac_31_DMSO_compare_TSS_SIGNAL	IRF4H3K27ac_31_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
TOR1AIP1	12397.8	3448.6022	-8949.1978	0.217626825097245	-1.84600050880694
NUF2	8373.2	30.8341	-8342.3659	0.00366896417043334	-8
UBE2D3	9016.8997	1452.7732	-7564.1265	0.138760132611211	-2.63382197989959
BRD2	10351.0476	2978.3335	-7372.7141	0.22344124439506	-1.79719957177237
CBLL1	7214.8	71.0959	-7143.7041	0.00975801754180979	-6.66504922832938
WASL	7010.6	460.9635	-6549.6365	0.0616957213841521	-3.92681349727393
HNRNPK	6581.7208	200.8212	-6380.8996	0.0296085449968463	-5.0344813451206
HNRNPR	6286.4	281.1156	-6005.2844	0.0428039485737955	-4.48299865211406
LNPEP	8477.2	2583.5619	-5893.6381	0.233579017734755	-1.71422637460316
IVNS1ABP	6513	677.1587	-5835.8413	0.094178547129982	-3.26575633580904
GART	6277.134	519.1131	-5758.0209	0.0763823169407716	-3.59598520671122
TPR	6218.6336	489.958	-5728.6756	0.0730344056120513	-3.66586762705407
LOC348840	6039.8	527.6224	-5512.1776	0.08033934287522	-3.51692305735166
GFI1	7299.5039	1956.7915	-5342.7124	0.211401150831898	-1.89930837453993
CD55	6442.086	1223.0077	-5219.0783	0.159555479406599	-2.39709443337895
CLTC	5927.2	820.4846	-5106.7154	0.121594983855647	-2.85280257822631
TBCCD1	6588.6688	1592.2779	-4996.3909	0.194632474503226	-2.04889485583287
B3GALNT2	6793.2	2012.7774	-4780.4226	0.228569448747393	-1.75490370103617
DUSP4	6237.9041	1495.778	-4742.1261	0.193410846303082	-2.06016530367775
ZC3HAV1	5665.2	1003.6874	-4661.5126	0.15050297595368	-2.49681687914111
MAP2K3	5854.56	1301.2014	-4553.3586	0.181839685152163	-2.16971646919142
WASH2P	6141.5781	1591.0946	-4550.4835	0.20576256900153	-1.94858979378751
PTPN7	5527.7413	995.7492	-4531.9921	0.152640553396989	-2.4728357781131
CLCN2	6197.7074	1666.0194	-4531.688	0.211861302200885	-1.89532944515213
ALG3	5515.2596	1059.0169	-4456.2427	0.161084934593183	-2.38070318189004
UBE2M	6299.5094	1944.4973	-4355.0121	0.2358679912281	-1.69584224568126
TIPARP	7236.609	2968.7504	-4267.8586	0.290901112213647	-1.28545802098607
LOC400027	6250.824	2031.373	-4219.451	0.245269823936813	-1.62159121103461
LOC100131691	6068.3554	1944.4973	-4123.8581	0.242672288235125	-1.64190834956003
NCRNA00245	6299.65	2319.703	-3979.947	0.26912727672251	-1.44133157297079
ZNF687	5821.6	1911.831	-3909.769	0.247216403689384	-1.60646071668341
ZNF503	6200.4244	2319.703	-3880.7214	0.272261539187783	-1.41842686323137
ZEB1	6036.485	2202.6082	-3833.8768	0.267336240352276	-1.45449583229122
ADCK4	5857.3359	2064.3673	-3792.9686	0.260596395482224	-1.50454494756296
HNRNPA0	5177.2	1438.2192	-3738.9808	0.217404091338611	-1.84788847721118
PSMA1	6256.6061	2523.2393	-3733.3668	0.287389946524571	-1.3101032427829
C7orf55	6089.6	2384.8507	-3704.7493	0.281416552461624	-1.35244851542531
SMARCD2	5225.4	1544.5996	-3680.8004	0.228153573303018	-1.75830857563871
ZNF335	5439.8	1769.7808	-3670.0192	0.245476241836419	-1.61998292695965
SLC33A1	5894.8	2238.8885	-3655.9115	0.275261156116318	-1.396660184372
HSPD1	6053.0388	2399.5524	-3653.4864	0.283883645053129	-1.33489428064258
HSPE1	6010.4868	2399.5524	-3610.9344	0.285320001837804	-1.32471652398651
FLJ39739	7866.285	4260.3117	-3605.9733	0.351319649312655	-0.884723469730164
GOLIM4	5978.8	2435.4103	-3543.3897	0.289440151026413	-1.2956911039261
LUC7L2	5920.6	2384.8507	-3535.7493	0.287142839822046	-1.31184443623769
DALRD3	6354.0316	2850.2408	-3503.7908	0.309664976886169	-1.15658845570588
WDR4	5039.4	1614.1091	-3425.2909	0.24259515929722	-1.64251387830769
TROVE2	6219.4708	2870.8036	-3348.6672	0.315810444622002	-1.11533719511392
SMG7	7187.2	3845.3828	-3341.8172	0.348547830522514	-0.902302610171884
C7orf23	6065.8	2731.4901	-3334.3099	0.310492216233724	-1.15100973642765
UCHL5	6127.986	2870.8036	-3257.1824	0.319021082568705	-1.09395836631547
SYNCRIP	5477.1547	2229.7843	-3247.3704	0.289321648971141	-1.29652247265898
IFRD1	5656.9792	2417.2189	-3239.7603	0.299375723763825	-1.22668373889665
CALM2	5229.6	2029.3458	-3200.2542	0.27956480953474	-1.36568588138334
TRA2B	5161.088	2047.7558	-3113.3322	0.284061613320017	-1.3336315491423
DSE	5774.743	2686.0482	-3088.6948	0.317470096650063	-1.10427154849747
SRSF2IP	4808	1740.9069	-3067.0931	0.265831676428321	-1.46559784326094
