Protein_Acc,Label,log2FC,SE,DF,pvalue,adj.pvalue,issue,Gene,logpval,logadjpval,TF_1639
A0A096LP01,KB450_24h-24h,0.12452850559788096,0.10715527019350685,12,0.2677745777605374,0.6032408665119433,NA,SMIM26,0.5722306568325899,0.21950924489119003,NA
A0A0B4J2D5,KB450_24h-24h,0.06340287516037847,0.03005198525714051,12,0.056554365776603784,0.3029191317399194,NA,GATD3B,1.247533863603191,0.5186732966681771,NA
A0A0B4J2F0,KB450_24h-24h,-0.24401219437791496,0.16876556054195724,12,0.17382273614215704,0.5104391046243214,NA,PIGBOS1,0.759893418133179,0.29205606181037735,NA
A0A0U1RRE5,KB450_24h-24h,0.07974247503292332,0.44657723607847455,12,0.86125949654304,0.9508493712278393,NA,NBDY,0.06486597637778495,0.021888276359985644,NA
A0A1B0GUS4,KB450_24h-24h,0.26165982391655057,0.09517738708891398,12,0.01762901815208974,0.16694201740684564,NA,UBE2L5,1.753771875051997,0.7774343425817101,NA
A0AV96,KB450_24h-24h,0.10751182781334286,0.10730670701543643,12,0.33616207240800633,0.6583591241868919,NA,RBM47,0.473451287544658,0.18153714117846725,NA
A0AVF1,KB450_24h-24h,0.6040604340793916,0.09706562474533159,12,4.429026972122344e-5,0.005286859564617619,NA,IFT56,4.353691674917718,2.276802225649678,NA
A0AVI4,KB450_24h-24h,-0.34355669066225375,0.25441129991031913,12,0.20180618885181403,0.5413322724020275,NA,TMEM129,0.6950655192538249,0.26653608096671644,NA
A0AVK6,KB450_24h-24h,-0.07946533230050844,0.07013228609035098,12,0.2793130465571709,0.614136684044269,NA,E2F8,0.5539087781713325,0.21173496025963395,E2F
A0AVT1,KB450_24h-24h,0.009429784373409683,0.0290711739317197,12,0.7512431327128313,0.9008959286147793,NA,UBA6,0.12421948495732986,0.045325375767704006,NA
A0FGR8,KB450_24h-24h,0.03083640199618907,0.03255709595646135,12,0.362246683373019,0.6740891267448018,NA,ESYT2,0.44099558211459394,0.17128267810200065,NA
A0JLT2,KB450_24h-24h,-0.12389771532877876,0.06917583751546746,12,0.09852118840010489,0.400199380048375,NA,MED19,1.0064703581758592,0.39772358846786915,NA
A0JNW5,KB450_24h-24h,0.13964030145468073,0.053575574454017304,12,0.022952752448543338,0.19424194982573242,NA,BLTP3B,1.6391652272710409,0.7116569710789606,NA
A0M8Q6,KB450_24h-24h,-0.028995387612961682,0.06297035557823609,12,0.6534179643236933,0.8521652558469716,NA,IGLC7,0.1848089297023274,0.06947617666166257,NA
A0MZ66,KB450_24h-24h,0.1153476803374283,0.07423957095345,12,0.14621571608082828,0.4746806350927658,NA,SHTN1,0.8350059444756186,0.3235984852479329,NA
A0PJW6,KB450_24h-24h,-0.22084109996025456,0.21296029203316466,12,0.3201785802683237,0.6427642048869808,NA,TMEM223,0.49460772545365994,0.1919483168074453,NA
A0PK00,KB450_24h-24h,-0.16140641672149486,0.2955290120135362,12,0.594963905509731,0.8184249508391629,NA,TMEM120B,0.22550938068058632,0.08702113901413909,NA
A1A4S6,KB450_24h-24h,0.02570051003550201,0.10524757086397968,12,0.8112080436693152,0.9295219868718054,NA,ARHGAP10,0.09086775166966617,0.03174033298819306,NA
A1L0T0,KB450_24h-24h,-0.04033398312527078,0.03224647771825549,12,0.23484490686419504,0.57737479541246,NA,ILVBL,0.6292188540234648,0.2385421786336938,NA
A1L170,KB450_24h-24h,0.003606212411168186,0.12607441416215132,12,0.9776507558784173,0.995471135679447,NA,C1orf226,0.009816259612039675,0.001971328099532341,NA
A1L3X0,KB450_24h-24h,0.17548084674104558,0.07820303130663449,12,0.04448239941647663,0.26734980449361057,NA,ELOVL7,1.351811794599774,0.5729201291524835,NA
A1X283,KB450_24h-24h,0.33874774023522103,0.11077665497705688,12,0.009937114332240427,0.1261080435342836,NA,SH3PXD2B,2.0027397133422724,0.8992572119903853,NA
A1XBS5,KB450_24h-24h,0.3195995357523235,0.16872343445898966,12,0.08254514869745726,0.36690327730687516,NA,CIBAR1,1.0833084457910822,0.43544840895832143,NA
A2AJT9,KB450_24h-24h,-0.05414057151322874,0.14042131976491176,12,0.7065716822053023,0.8792501966695895,NA,BCLAF3,0.150843772092819,0.055887525868559856,NA
A2RRP1,KB450_24h-24h,0.0712011159424876,0.060276733386929904,12,0.2603905533447591,0.5981656380992729,NA,NBAS,0.5843747754980927,0.2231785388347907,NA
A2RTX5,KB450_24h-24h,0.08390529137998586,0.0705114064198583,12,0.257075075777042,0.5958572016988567,NA,TARS3,0.5899400275080982,0.2248578072812491,NA
A2RU30,KB450_24h-24h,-0.02930957670493643,0.04034961824937313,12,0.48152871080876036,0.7479107031512715,NA,TESPA1,0.31737781326617115,0.12615025165920138,NA
A2RU49,KB450_24h-24h,0.010259437857784557,0.059812028768792956,12,0.8666671487186419,0.953006799839069,NA,HYKK,0.062147665188319906,0.020904000597717704,NA
A2RU67,KB450_24h-24h,0.007751481939926659,0.14481512738802105,12,0.9581930146716012,0.9888594507310443,NA,FAM234B,0.01854699951902956,0.004865431466128431,NA
A2RUB6,KB450_24h-24h,0.07342433572068663,0.06410547659525982,12,0.2743863693048075,0.6116051946764652,NA,CCDC66,0.5616374668819827,0.2135288345583713,NA
