GENE,p_value,type
ABCF1,1.6591042198103616,Other
ACO2,1.401555176765903,Other
ACTG1,4.973996624868895,Other
ACTR10,8.288167193180561,Other
ACTR2,0.958863918639951,Other
ACTR8,2.9367005725011213,Other
AGAP6,0.8507976368145361,Other
AK2,15.974900002233232,Other
AK6,1.5050616332820077,Other
ALDOA,7.188077394465001,Other
ALG13,0.8766254087024343,Other
ALYREF,2.3230443614467164,Other
AP1M1,9.040750720922086,Other
AP2M1,5.387791645572721,Other
ARF4,1.818324447111974,Other
ARF6,1.8669430440591284,Other
ARIH1,3.788622744706967,Other
ARMC7,0.6567271405862054,Other
ATF4,1.9854172329722597,SE_TF
ATL2,0.8696446363943797,Other
ATP6V0D1,1.5648947453165427,Other
ATR,7.222308672681303,Other
AURKA,0.36282781652835205,Other
BATF3,11.334681786631498,TF
BCAS2,2.767888805818721,Other
BCL2,13.283631656653537,Other
BCL2L1,3.2994632635629833,Other
BCLAF1,0.8340591996186666,TF
BDP1,0.3597499143346513,Other
BNIP1,0.698808353848823,Other
BPTF,0.8419214616573532,Other
BRD2,4.464747785231283,Other
BRD4,18.71578254508816,Other
BUB1,3.292361261681762,Other
BUD13,0.01838745420401738,Other
CAB39,17.400249276879343,Other
CAD,11.308090718309531,Other
CARM1,21.181971757098378,Other
CBFB,22.835582788959172,TF
CBX1,2.147556215905163,Other
CCNA2,0.3822007548510678,Other
CCNB1,1.9520234560060008,Other
CCNC,10.903313644257297,Other
CCND1,5.039604986397999,Other
CCND2,17.164502805731136,Other
CCNE2,0.11507248419087472,Other
CCNH,5.8372858157147345,Other
CDC40,1.657815161237746,Other
CDC42,4.087108997307297,Other
CDK2,0.8038384258789931,Other
CDK4,3.0416661216443233,Other
CDK6,8.68631680564311,Other
CEBPZ,0.5820433292214203,Other
CENPA,6.361840293852828,Other
CENPE,9.988439298908162,Other
CFDP1,0.6431866042860437,Other
CFL1,12.25799927268842,Other
CFLAR,9.144636202245785,Other
CHAF1A,0.7164357514523985,Other
CHCHD2,2.600704593405851,Other
CHD4,0.015446537557687143,Other
CHMP4B,1.0151922977105206,Other
CIAO1,0.09404483558994986,Other
CIT,5.573239066880077,Other
CLTC,0.2607958668920084,Other
CNOT1,2.1388772116140307,Other
COG4,5.927479794203869,Other
COPE,3.2147332199634637,Other
COPG1,4.10094444958396,Other
COPS2,1.5749643442879686,Other
COPS3,2.41548657256097,Other
COPS8,0.9702403644026376,Other
CREBBP,9.162506613382568,Other
CSNK2B,6.656771633473572,Other
CSTF2,0.6075130422077816,Other
CTBP1,22.640231842702462,Other
CTR9,0.22667928923317013,Other
CUL1,1.0363615832099984,Other
CWC22,1.5648947453165427,Other
DAP3,0.4809616893057543,Other
DCTN3,0.2928089245202965,Other
DDX20,5.9943899131928795,Other
DDX21,3.24638073533064,Other
DDX23,4.743531422272171,Other
DDX24,0.4208552429601307,Other
DDX27,0.20716369161497183,Other
DDX39A,7.590839023059427,Other
DDX3X,1.7636514105611552,Other
DDX42,4.071325628715666,Other
DDX46,5.972841300846209,Other
DDX51,4.079213503276499,Other
DDX52,1.5787476316492537,Other
DDX55,8.605339755400875,Other
DDX59,3.7715267036587963,Other
DDX6,2.333566669050727,Other
DHX33,0.3798635981688543,Other
