GENE,type
ARF5,Other
M6PR,Other
FKBP4,Other
CYP26B1,Other
USP28,Other
PDK4,Other
RALA,Other
DVL2,Other
HOXA11,TF
SPATA20,Other
YBX2,Other
TFAP2D,TF
CRY1,Other
CD74,Other
RANBP9,Other
CD4,Other
PPP5C,Other
INMT,Other
ERCC1,Other
PSD,Other
CDH17,Other
LRRC7,Other
GABARAPL2,Other
FAM136A,Other
HOXC8,TF
RTN4R,Other
PSMA4,Other
DCN,Other
RFC2,Other
ARHGEF5,Other
NFE2L3,SE_TF
NNAT,Other
YIPF1,Other
SLC2A3,Other
GNA11,Other
CREB3L3,TF
HDAC7,Other
MRPS35,Other
APPBP2,Other
GSC2,TF
KCNQ1,Other
TRIB2,Other
AQR,Other
ACAP1,Other
NOX3,Other
KDM4B,Other
ACTL6B,Other
YTHDC2,Other
TMEM161A,Other
TNFRSF1A,Other
GPATCH1,Other
KEAP1,Other
MNT,TF
ASNS,Other
STK10,Other
TBX21,TF
NDUFB4,Other
HEATR6,Other
ACTR6,Other
EIF2AK1,Other
RBM22,Other
PPP1R15A,Other
TRIP6,Other
TFAP2C,TF
REM1,Other
SIRT4,Other
TFAP4,TF
GOLGA3,Other
EFNB1,Other
MYO15A,Other
CEBPE,TF
CDC6,Other
CBX5,Other
MAPK13,Other
SIRT1,Other
MZF1,SE_TF
CDC34,Other
MAPK12,Other
SNAP29,Other
THAP7,Other
SF3A1,Other
SNRPD3,Other
MAPK1,Other
TCN2,Other
MORC2,Other
DMC1,Other
XBP1,SE_TF
RTCB,Other
HMOX1,Other
MCM5,Other
TTLL12,Other
CBX7,Other
TAB1,Other
MYH9,Other
TXN2,Other
EIF3D,Other
ST13,Other
RBX1,Other
L3MBTL2,Other
CHADL,Other
PHF5A,Other
ACO2,Other
CERK,Other
HDAC10,Other
SNAPC1,Other
SUPT16H,Other
AP4S1,Other
SOS2,Other
PSMA3,Other
AHSA1,Other
ALKBH1,Other
ZFYVE21,Other
APEX1,Other
NFKBIA,Other
BRMS1L,Other
CYP24A1,Other
AURKA,Other
GSS,Other
MYBL2,SE_TF
SALL4,TF
CTSZ,Other
EEF1A2,Other
TRIB3,Other
CSNK2A1,Other
CHMP4B,Other
MXRA5,Other
TBL1X,Other
RHOXF1,TF
STAG2,Other
RAB40AL,Other
USP11,Other
MMP2,Other
CORO1A,Other
CCL22,Other
POLR2C,Other
ARHGDIG,Other
TSC2,Other
STUB1,Other
MAZ,TF
KNOP1,Other
MGA,TF
DNAJC17,Other
AGO2,Other
BRF2,Other
RP1,Other
RIPK2,Other
CHRAC1,Other
TNFRSF10A,Other
PPP2CB,Other
PAF1,Other
HNRNPL,Other
SF3A2,Other
RETN,Other
SGTA,Other
SNAPC2,Other
FIZ1,SE_TF
FBL,Other
POLR2I,Other
TGFB1,Other
PLIN3,Other
CRX,TF
SULT2A1,Other
DBP,TF
DNASE2,Other
RPL18A,Other
PIK3R2,Other
RAB3A,Other
USF2,TF
ERF,TF
GSK3A,Other
ABCF2,Other
TFPI2,Other
BET1,Other
PON2,Other
HBP1,TF
SP4,TF
HOXA2,TF
HOXA5,TF
HOXA6,TF
HOXA13,TF
WASL,Other
AIMP2,Other
RBM28,Other
FIS1,Other
GCK,Other
YKT6,Other
SEC61B,Other
EDF1,Other
SETX,Other
CYP26A1,Other
DNAJC12,Other
PPIF,Other
TBC1D12,Other
DHX33,Other
RPL19,Other
SUPT4H1,Other
GOSR2,Other
RPS6KB1,Other
RASD1,Other
C1QBP,Other
CPD,Other
DDX5,Other
CCL2,Other
KAT2A,Other
COL1A1,Other
LRRC59,Other
HDAC5,Other
HLF,TF
ALDOC,Other
IBSP,Other
NFKB1,TF
IL2,Other
FRG1,Other
CD82,Other
SPI1,TF
DTX4,Other
CCND1,Other
PRPF19,Other
KITLG,Other
SLC25A3,Other
POLR3B,Other
PRDM4,TF
MYF6,TF
MYF5,TF
GLI1,TF
ELK3,TF
CREBL2,TF
CDKN1B,Other
ARHGDIB,Other
IFNG,Other
GAPDH,Other
USP5,Other
TPI1,Other
NANOG,TF
HCFC2,Other
RAB35,Other
SRSF9,Other
GCLC,Other
ASF1A,Other
MAPK14,Other
STK38,Other
RPS12,Other
ZBTB24,TF
MDFI,Other
GUCA1B,Other
ISL1,TF
POU4F3,TF
SPARC,Other
HAND1,TF
THG1L,Other
IL12B,Other
IL4,Other
SKP1,Other
NR3C1,SE_TF
TRIM23,Other
CDX1,TF
BNIP1,Other
MLH1,Other
CRBN,Other
UBE3A,Other
HES1,TF
KLHL18,Other
ZBTB47,TF
NKTR,Other
NEK4,Other
EIF2AK2,Other
DAZAP1,Other
MSH2,Other
TFPI,Other
TLX2,TF
HSPE1,Other
PPP1R7,Other
PROC,Other
ID2,TF
ODC1,Other
GORASP2,Other
CEBPZ,Other
DLX2,TF
ORC2,Other
MSH6,Other
PLEKHA3,Other
ENO1,Other
BCL9,Other
TCEANC2,Other
WDR77,Other
AKR7A2,Other
SELL,Other
VAMP4,Other
SYF2,Other
CTSD,Other
TNNT2,Other
TNP1,Other
TTR,Other
TBPL1,Other
RPN2,Other
PKD2,Other
CCNI,Other
DDX55,Other
FKBP15,Other
VPS4B,Other
GSC,TF
ADCK1,Other
IRF2BPL,Other
TGFB3,Other
RHOQ,Other
ATAD2B,Other
HOXB8,TF
HOXB5,TF
HOXB7,TF
DUSP1,Other
MSX2,TF
ARAP3,Other
PRRX1,TF
NUDCD1,Other
ELF1,TF
EGR1,TF
PFN2,Other
NFYB,TF
SORBS3,Other
TBX2,TF
TBX4,TF
TNFSF10,Other
ACVR2A,Other
POLK,Other
FLT3,Other
MYOG,TF
AHR,TF
BBS9,Other
EEPD1,Other
HOXA7,TF
TWIST1,TF
CLTA,Other
ZC3HAV1,Other
NEUROG3,TF
EGR2,TF
BHLHE41,SE_TF
DDX39A,Other
NEUROD4,TF
HOXC13,TF
LRP1,Other
HOXC12,TF
HOXC6,TF
SEC61A1,Other
RIF1,Other
NMI,Other
ACVR1C,Other
BATF3,TF
SNRPA,Other
ACTR5,Other
SRSF6,Other
SNAI1,TF
MAGEA10,Other
SOX4,TF
ATXN1,Other
EREG,Other
BBS2,Other
MT2A,Other
PIWIL1,Other
IRF1,TF
BMP4,Other
SOX9,TF
ARMC7,Other
NT5C,Other
INSIG2,Other
SH2D3A,Other
FOSB,TF
SYMPK,Other
CDC25B,Other
SNRPB2,Other
TCF15,TF
TLE6,Other
RALY,Other
PLAGL2,TF
KRT13,Other
NR1D1,SE_TF
FLRT1,Other
TRAP1,Other
DDX49,Other
NSRP1,Other
SIX1,TF
TBPL2,Other
OMG,Other
CANX,Other
PYCARD,Other
TRAF2,Other
YEATS4,Other
ZNF317,TF
PIN1,Other
KIF17,Other
KLF2,SE_TF
TICAM1,Other
TUBA4A,Other
HSPB1,Other
PEX1,Other
LRFN1,Other
CYTH4,Other
YWHAH,Other
CDC42EP1,Other
MCHR1,Other
GALR3,Other
RAC2,Other
LSM8,Other
DNAJB9,Other
LRRC4,Other
SIRT2,Other
HOXD9,TF
HOXD10,TF
HOXD11,TF
PIAS1,Other
ISLR,Other
MBD4,Other
COPB1,Other
MYOD1,TF
FXR2,Other
AP1M2,Other
BCL2L2,Other
PARP2,Other
FOXA1,TF
EGLN3,Other
NEDD8,Other
DAZL,Other
MKNK2,Other
KLF16,TF
ZC3H14,Other
DOCK7,Other
DHX40,Other
RPS16,Other
NCAPG,Other
RABGAP1L,Other
HBA2,Other
DHX29,Other
GRHL2,TF
RAF1,Other
MED17,Other
TSG101,Other
DHX35,Other
TRPC4AP,Other
ACTR3C,Other
KRT5,Other
KRT1,Other
ZSCAN10,TF
APOE,Other
GADD45G,Other
XPO7,Other
BST2,Other
LSM7,Other
MLLT1,Other
ACTN4,Other
JUND,SE_TF
ATXN10,Other
HBZ,Other
MNX1,TF
TAF4,Other
GATA5,TF
TRIM28,Other
EIF2S3,Other
SESN2,Other
HIP1R,Other
PPAN,Other
EIF3G,Other
PPIL4,Other
RBM39,Other
ARHGEF9,Other
GSE1,Other
MRPS25,Other
NR1H2,TF
VPS25,Other
BARX1,TF
TNS4,Other
RARA,SE_TF
PRKAB2,Other
FUS,Other
CHSY1,Other
SNRPA1,Other
NR0B2,Other
THAP1,Other
RHPN2,Other
ACTR10,Other
LGALS3,Other
DNAJB1,Other
TRIM21,Other
SMARCC1,Other
NUP210,Other
RRP8,Other
PTCD3,Other
PER2,Other
RPA1,Other
LANCL2,Other
GRSF1,Other
KDM6B,Other
BRD8,Other
ERAL1,Other
VPS4A,Other
JAG1,Other
CRP,Other
PABPC1L,Other
AP3B1,Other
PDE6A,Other
CHRM3,Other
CHI3L1,Other
CCNA1,Other
HSPBP1,Other
PI4KA,Other
ACTR3B,Other
KRAS,Other
IPO8,Other
UNC79,Other
SYNJ2BP,Other
EIF2S1,Other
ELP3,Other
MBD2,Other
CCNB1,Other
CDK7,Other
CD180,Other
VHL,Other
BHLHE40,TF
TSHB,Other
GSTM5,Other
GSTM3,Other
SORT1,Other
LAMTOR5,Other
NOTCH2,Other
ARF3,Other
CCNH,Other
DOCK2,Other
DDB2,Other
RAB33A,Other
PHC2,Other
DSG1,Other
APC,Other
USP30,Other
HNF1A,TF
TBX3,TF
BACH2,TF
NT5E,Other
LMO2,Other
CDK4,Other
TFCP2,TF
ZC3H10,Other
GNS,Other
MDM2,Other
FHOD1,Other
TAF5L,Other
MRPL44,Other
DOCK10,Other
USP37,Other
CAB39,Other
REV1,Other
MRPS9,Other
EPC2,Other
USP44,Other
KDELR2,Other
DDX56,Other
TTC5,Other
NKX2-8,TF
SRSF1,Other
KAT7,Other
IMP4,Other
LRRC8A,Other
RALGPS1,Other
TMOD1,Other
GABBR2,Other
RPL35,Other
DERL1,Other
RNF38,Other
DCTN3,Other
FOXF2,TF
TUBB2B,Other
GTF2H4,Other
POU5F1,TF
TLR2,Other
TTPA,Other
SDCBP,Other
USP2,Other
BUD13,Other
POU2F3,TF
CTDSPL2,Other
THBS1,Other
BCL2L10,Other
GCHFR,Other
ADCY3,Other
EXOC6,Other
TOPBP1,Other
MSTN,Other
PPIG,Other
HECW2,Other
EPYC,Other
SYT1,Other
CDK17,Other
MNAT1,Other
CCND2,Other
ZNF24,TF
LRP6,Other
LMNB1,Other
SNX24,Other
NUP133,Other
KLF3,TF
CASQ2,Other
PPP2R5A,Other
PPP2R3C,Other
PSMA6,Other
USP22,Other
SPECC1,Other
RORA,SE_TF
SNW1,Other
MIB1,Other
AP5M1,Other
IPO5,Other
DSG2,Other
NDC80,Other
THOC1,Other
USP14,Other
CYBA,Other
ARL1,Other
UTP20,Other
TNFRSF13B,Other
KPNA3,Other
CDK2AP1,Other
PSMD11,Other
BTBD1,Other
CUX2,TF
LHX5,TF
CDH1,Other
AP4E1,Other
MAPK6,Other
EIF3J,Other
TRIP4,Other
RAB11A,Other
DAPK2,Other
CCNT1,Other
RBM25,Other
VSX2,TF
SPAG9,Other
RBMS2,Other
IKZF4,TF
PIK3C3,Other
MEOX2,TF
PHF3,Other
ATF1,TF
TSPAN13,Other
MCM4,Other
RBL2,Other
WDR59,Other
SMAD7,Other
SMAD2,TF
DNAJB6,Other
RHEB,Other
SMARCD3,Other
KMT2C,Other
ARFGEF1,Other
TMED2,Other
RIMS2,Other
YY1,TF
RCOR1,TF
PRR11,Other
CHTF18,Other
AXIN1,Other
GLIS2,TF
CREBBP,Other
DNAJA3,Other
WSB1,Other
DHX8,Other
FOXF1,TF
SMURF2,Other
CHD5,Other
CSNK2A2,Other
SRCAP,Other
SETD1A,Other
PCSK2,Other
OGN,Other
CHCHD3,Other
RPL8,Other
VAMP7,Other
CCNE1,Other
RAB2A,Other
CBFA2T2,Other
CDKN2C,Other
AJUBA,Other
TEP1,Other
EFCAB6,Other
PRDX1,Other
RPS6KA6,Other
ELL,Other
COPE,Other
MAU2,Other
MID2,Other
RRAGB,Other
SAMHD1,Other
XRCC1,Other
HACE1,Other
E2F3,TF
ARPC1A,Other
MAP2K2,Other
TCF3,SE_TF
PIAS4,Other
CSE1L,Other
UCP1,Other
MAPK3,Other
EPC1,Other
PLD2,Other
CCDC6,Other
SMARCB1,Other
PRKCQ,Other
KIF18A,Other
BBOX1,Other
MED15,Other
HIRA,Other
ACTR3,Other
DDX18,Other
ARFGAP3,Other
EP300,Other
PLEKHA4,Other
HSD17B14,Other
PAX8,TF
IL1B,Other
EED,Other
SPTBN4,Other
BRD4,Other
IL27RA,Other
WIZ,TF
ASF1B,Other
NOTCH3,Other
MED26,Other
PARP12,Other
BARHL1,TF
ARID3A,SE_TF
ACVR1,Other
IFIH1,Other
PNO1,Other
TAF1B,Other
POLD3,Other
SNRNP40,Other
MECR,Other
TFCP2L1,TF
EPB41L5,Other
LHX4,TF
EPAS1,Other
SRBD1,Other
KAT2B,Other
CHMP2B,Other
EIF2AK4,Other
WDR76,Other
AKT3,Other
OSBP,Other
ZC2HC1A,Other
POLR1A,Other
VAMP8,Other
GRB14,Other
STRN,Other
KDR,Other
LNX1,Other
KIF1B,Other
GTF3C3,Other
PIK3CA,Other
TAF12,Other
HSF4,TF
CTCF,Other
ARCN1,Other
CBL,Other
FARP2,Other
NGEF,Other
DNAJC10,Other
TUBB4A,Other
ATF2,TF
CBLB,Other
CCNT2,Other
ZRANB3,Other
ARID4B,Other
TXNDC9,Other
IL1RL2,Other
YWHAE,Other
HERC6,Other
HERC5,Other
RASGEF1B,Other
CUL3,Other
FNIP2,Other
MXD1,TF
SEC22C,Other
CSTA,Other
IL21,Other
BBS7,Other
RBBP5,Other
SHC2,Other
HDAC4,Other
WNT5A,Other
THRA,TF
PSMD3,Other
ATP6V0A1,Other
STAT3,TF
MECOM,TF
CAD,Other
DNMT3A,Other
RAB10,Other
FOSL2,TF
GPN1,Other
TP63,TF
ADD1,Other
PRDM5,TF
MIER2,Other
LYL1,TF
KLF1,TF
PPARGC1A,Other
NUP54,Other
RAD18,Other
SDHA,Other
PDCD6,Other
XRN1,Other
ZAP70,Other
PPP2R3A,Other
CEP70,Other
SOX30,TF
MCM2,Other
GOLPH3,Other
SUB1,Other
NPR3,Other
RASGRF2,Other
CPEB4,Other
FBXW11,Other
ARRDC3,Other
CENPE,Other
LEF1,TF
EGF,Other
LSG1,Other
TRPV5,Other
CDKL3,Other
UBE2B,Other
PITX1,TF
AFF4,Other
SRF,TF
CREM,TF
TNPO3,Other
POLB,Other
TFEC,TF
USP4,Other
ANK1,Other
SRI,Other
CDK6,Other
ANLN,Other
EIF4H,Other
SMARCA2,Other
BRINP1,Other
GTF2H1,Other
PIK3C2A,Other
IDE,Other
BTAF1,Other
DOCK3,Other
SLIT1,Other
GMEB2,TF
DIDO1,Other
FBXO7,Other
PATZ1,TF
TEF,TF
GABARAPL1,Other
ZCRB1,Other
LGR5,Other
TMTC3,Other
LUM,Other
KERA,Other
TMPO,Other
SNRPF,Other
ASCL1,TF
CDK2,Other
TARBP2,Other
SMARCC2,Other
ERBB3,Other
RB1,Other
PXN,Other
RNF113B,Other
ZIC5,TF
TINF2,Other
FANCM,Other
PELI2,Other
RAB15,Other
JDP2,TF
TRIP11,Other
MFAP1,Other
SRP14,Other
BCL2A1,Other
IGF1R,Other
CYP11A1,Other
BBS4,Other
PML,Other
POLG,Other
ZNF710,TF
IQGAP1,Other
UQCRC2,Other
CDR2,Other
DHX38,Other
TXNL4B,Other
ZFHX3,TF
IRF8,TF
ZNF174,TF
CBFA2T3,Other
NCOR1,Other
COPS3,Other
GID4,Other
DPEP3,Other
NOB1,Other
LRRC46,Other
ABCA10,Other
CDH2,Other
GATA6,TF
TP53,TF
ARHGDIA,Other
EIF4A3,Other
CBX8,Other
CBX4,Other
ERBB2,Other
AKAP8,Other
LRRC56,Other
IFNAR1,Other
SOD1,Other
SIK1,Other
DNMT3L,Other
SCYL1,Other
DMWD,Other
RPS11,Other
PRDM16,TF
ARHGEF19,Other
PLK4,Other
PSMA5,Other
MEF2D,SE_TF
SF3B4,Other
SETDB1,Other
CERS2,Other
POGZ,Other
EIF2D,Other
WNT9A,Other
CALM2,Other
RPS27A,Other
ETAA1,Other
SNRPG,Other
