siIRF4 KMS12BM	CTRL MM1R	LOG2_FOLD_CHANGE	P_VALUE
AAAS	91.8672052633333	94.95747591	0.0477316463994769	0.117224510124235
AACS	22.9685070933333	20.8714581533333	-0.138125691734681	0.155272271302378
AAED1	34.4322687966667	4.23181200933333	-3.02441380065294	0.00271471075309688
AAGAB	47.6976030966667	44.4561567066667	-0.101533538770522	0.0270504623368455
AAK1	3.387100254	5.89608099833333	0.799705654355355	0.001601781950467
AAMDC	48.0783607	27.35954837	-0.813343290610661	0.020953489482587
AAMP	191.950389	189.031290233333	-0.0221084212663752	0.729876626231895
AAR2	39.8111017266667	39.7137803033333	-0.00353110124338235	0.956815229039834
AARS	141.9750372	203.974194433333	0.52274935302014	0.00364089898437502
AARS2	33.33875706	29.73413848	-0.165080043052939	0.0646554255304518
AASDH	9.14086035133333	7.072427097	-0.370124559959293	0.0174542598895406
AASDHPPT	92.34137944	55.2098874566667	-0.742050623969762	0.00204579139613977
AASS	4.60447519866667	23.5485684733333	2.35453072284251	0.00353379893189489
AATF	152.606361066667	125.574995566667	-0.281265874977177	0.0105607528635628
ABAT	3.535179651	0.946831094666667	-1.90060454068636	0.0187932838122689
ABCA1	0.0758069393333333	0.972849956333333	3.6818154905849	0.000519642968090863
ABCA11P	9.591519331	3.042639005	-1.65643618647106	0.00248615866642888
ABCA2	50.11076114	0.952616139	-5.71708165031263	0.00439694716971801
ABCA3	51.7923641066667	0.323670225	-7.32207094722615	0.000868520757758405
ABCA7	12.6417585933333	61.61599865	2.28510782605013	0.000316654715954424
ABCB10	83.3866155166667	74.67571458	-0.159176695674479	0.105085564770073
ABCB6	4.01687403766667	32.6457297133333	3.02274916290459	3.15975760929416e-07
ABCB7	48.0079622166667	29.21095688	-0.716764081412766	4.48615687617577e-05
ABCB8	37.90462051	47.8208365633333	0.335265647109095	0.000604495015633328
ABCB9	9.767991988	3.93043288833333	-1.31337380082114	0.000794922174731201
ABCC1	48.2660667766667	15.9701290666667	-1.59563329340565	1.58357009077886e-05
ABCC10	14.1431015633333	17.50209759	0.307429300475978	0.0280177659664593
ABCC2	0.143266941	1.41896053766667	3.30805681785845	0.0268920582859579
ABCC5	17.21773695	17.7928067733333	0.0473985788057306	0.65735405069838
ABCD1	47.86544355	4.671469508	-3.35703612207332	0.00139292847860096
ABCD2	0.964514822666667	1.787824833	0.890330076576345	0.00536118645957761
ABCD3	37.2937276733333	15.4518167833333	-1.27115653175003	0.00168962515467431
ABCD4	29.7786709833333	6.90890099233333	-2.10775122549745	0.000484167877472625
ABCE1	91.36408835	117.447123433333	0.362312263846505	0.00311280305419162
ABCF1	25.1338990466667	15.8953379166667	-0.661030808446425	1.38566874720659e-05
ABCF2	101.710460313333	86.5718195733333	-0.232498671801202	0.0480565552662779
