CTRL MM1R	siIRF4 KMS12PE	LOG2_FOLD_CHANGE	P_VALUE
AAAS	94.95747591	73.13092465	-0.376799983593976	0.000215991998047282
AACS	20.8714581533333	32.5935122933333	0.643053430240569	0.000794912788468315
AAED1	4.23181200933333	51.14428131	3.59522548941742	0.000798375057170263
AAGAB	44.4561567066667	90.5704839966667	1.02665773629615	8.95756368043881e-06
AAK1	5.89608099833333	2.61551091666667	-1.17266355224243	0.00142490932482894
AAMDC	27.35954837	60.5141770466667	1.14522875591938	4.03238888114874e-05
AAMP	189.031290233333	168.891850033333	-0.16252535083998	0.013610078512144
AAR2	39.7137803033333	50.10535064	0.335324978199779	0.00922356362439641
AARS	203.974194433333	90.6348861566667	-1.17024827463223	0.0027983935380528
AARS2	29.73413848	23.9419800933333	-0.312577801910592	0.0155753087291172
AASDH	7.072427097	13.77350871	0.96161881786166	0.00246254698769507
AASDHPPT	55.2098874566667	135.652342	1.2969153901994	0.000154671026454603
AASS	23.5485684733333	6.44791148266667	-1.86873551680273	0.00338726270776105
AATF	125.574995566667	106.668996433333	-0.235408309315181	0.00614576241697799
ABAT	0.946831094666667	36.55265713	5.27072538782543	0.000905292435772185
ABCA1	0.972849956333333	7.386552614	2.92461198076467	0.000819914608733449
ABCA11P	3.042639005	8.00088472866667	1.39483636545232	0.00618805118376588
ABCA2	0.952616139	17.4843581533333	4.19802603507632	0.000385197305156656
ABCA3	0.323670225	24.38477983	6.23531248055738	2.23394767067145e-05
ABCA7	61.61599865	10.3106804533333	-2.57916545013439	0.00163989501192759
ABCB10	74.67571458	85.8102472466667	0.200510803164937	0.0537482049615035
ABCB6	32.6457297133333	3.11104303366667	-3.39142403337071	7.18015826551165e-07
ABCB7	29.21095688	52.34771505	0.841616947530302	0.00216267948808675
ABCB8	47.8208365633333	14.4231430366667	-1.72925378286931	4.43769709286096e-07
ABCB9	3.93043288833333	23.1231533266667	2.55657803168997	7.78302764221833e-06
ABCC1	15.9701290666667	58.4876989966667	1.87275725986938	3.16712153072601e-06
ABCC10	17.50209759	11.32061233	-0.628575841009762	0.00781934413195802
ABCC2	1.41896053766667	0.155723827666667	-3.18777285099047	0.0257505650590172
ABCC5	17.7928067733333	9.738234124	-0.869562019277731	0.00876402187791963
ABCD1	4.671469508	22.5541380666667	2.27144379658876	7.2292220491413e-06
ABCD2	1.787824833	14.8331305166667	3.05254581261705	0.00522161547599839
ABCD3	15.4518167833333	22.6469128666667	0.551537925132677	0.00014218243586824
ABCD4	6.90890099233333	14.9843280866667	1.1169262506676	0.00173383830819652
ABCE1	117.447123433333	115.4876804	-0.0242724177013026	0.514299073728646
ABCF1	15.8953379166667	28.4994893733333	0.842332383830286	0.000533695923329883
ABCF2	86.5718195733333	100.138467623333	0.210026896158292	0.00340028739773813
ABCF3	78.6475457166667	62.81457646	-0.324302362351037	0.00634951134807754
ABCG2	14.30656873	14.09239877	-0.0217604951345569	0.810565303940703
ABHD1	1.40814859466667	7.768749244	2.46388276358871	0.000249189079615158
ABHD10	27.77124578	20.58960929	-0.431675442390857	0.00240986168736888
ABHD11	35.84694049	42.7815542533333	0.255138905326821	0.0320780074771164
ABHD12	303.3327707	45.09017805	-2.75001625667974	8.94223593546338e-06
ABHD13	10.0378763103333	19.5063487466667	0.958489681487599	7.17653765613639e-06
ABHD14A	18.31002975	34.8926599533333	0.930289446700419	0.00196956113849225
ABHD14B	53.9047367666667	51.8838458333333	-0.0551266306298691	0.245256576362371
ABHD15	17.7290554866667	20.3202434966667	0.196802011094479	0.1160152168077
ABHD16A	4.900759433	4.76749155633333	-0.0397749465125164	0.576061297979064
ABHD16B	8.74352183266667	12.1996906	0.480558149724433	0.0478110128829213
ABHD17A	197.8218257	62.24924843	-1.66807328361916	0.000841195822995666
ABHD17B	25.6677638566667	42.8985218733333	0.740970322961083	0.000374310502156604
ABHD17C	9.17948127833333	19.0658999633333	1.05451009581783	9.51348571364037e-05
ABHD2	114.725413866667	28.5986639533333	-2.0041653560548	0.000591102953260129
ABHD3	91.36458638	23.5919188466667	-1.95334230905419	3.72083778870919e-05
ABHD4	62.5351062333333	20.20392407	-1.63003079870666	2.31924862264867e-06
ABHD5	10.7750883293333	8.72417118	-0.304609712937965	0.129490327702516
ABHD6	6.423806455	18.3473729533333	1.51407317610658	0.00078576754952886
ABHD8	16.7221743833333	7.68976826033333	-1.12075042642093	0.000443841361444562
ABI1	71.4985205833333	147.199827866667	1.04179068864275	0.000856050637050946
ABI2	12.6056564833333	34.5548153366667	1.45481551581172	0.000988421244557371
ABL1	12.38650454	45.8873105866667	1.88932613646866	6.6932894782305e-05
ABL2	12.9794967733333	12.1874482266667	-0.0908383596657749	0.178858387437594
ABLIM1	14.4656307	6.306466695	-1.19772538370914	0.000413314142664263
ABR	100.200218346667	0.373448214666667	-8.06776173579575	0.000581276254780704
ABRACL	88.5590961433333	217.642528933333	1.29724809444665	9.86997287609955e-05
ABT1	74.7841729766667	106.1773278	0.505670856926539	0.00380374694906841
ABTB1	23.59754934	7.41825222766667	-1.66948581335654	7.02120439762601e-05
ABTB2	0.998408824333333	0.901065089	-0.14799936158656	0.478010929903876
ACAA1	40.9398147766667	58.55711672	0.516339943636831	0.00245438398028879
ACAA2	81.7159312933333	97.43420784	0.253810999239794	0.0150150393380512
ACACA	18.5519590333333	49.7807392633333	1.42401611573738	0.000899295710617883
ACACB	11.12357657	4.330977514	-1.36085614601166	0.00616295185161423
ACAD10	4.59839687366667	8.82186098533333	0.939952040600091	0.000738081412023049
