siIRF4 MM1R	CTRL MM1S	LOG2_FOLD_CHANGE	P_VALUE
AAAS	97.6448184166667	81.3089453766667	-0.264129406431793	0.000966008393524549
AACS	18.9715002766667	23.09998841	0.284058355418126	0.0247329773907315
AAED1	3.92929262133333	2.82995040033333	-0.473492844226569	0.204946602319186
AAGAB	49.36294734	59.7270772533333	0.274956588346908	0.00346555110488281
AAK1	5.21116648133333	3.81798067233333	-0.448796545897071	0.0011213976192067
AAMDC	25.8010105366667	24.2691850433333	-0.0883019083924652	0.569185445221032
AAMP	181.9801092	174.965823633333	-0.0567076239639491	0.168386009990712
AAR2	40.97518598	45.8036977233333	0.16071357399696	0.0780977278057724
AARS	140.2814876	153.8447347	0.133150433927204	0.023405433909225
AARS2	23.8933247233333	22.9435346833333	-0.058519946572869	0.226115968852374
AASDH	7.952069535	8.38620275233333	0.0766873382282372	0.394774474194279
AASDHPPT	56.8417842266667	70.6080938733333	0.31288172993706	0.00350703148428861
AASS	24.0463149333333	9.77731334833333	-1.29830582490632	0.00156725224871624
AATF	109.025787133333	110.339263233333	0.0172768460497558	0.632455919528061
ABAT	2.184106072	1.09047144433333	-1.00209093173908	0.0109783750357826
ABCA1	2.81874016633333	0.329934212333333	-3.0948002051008	0.000929319308404896
ABCA11P	4.05071574266667	7.46348725333333	0.881673027423018	0.0192134247586853
ABCA2	0.783489164	0.868675840333333	0.148904592030949	0.470407257120893
ABCA3	0.479173276	0.366407703	-0.387097616168932	0.540596207069723
ABCA7	67.55471202	19.4405986166667	-1.79698375949985	0.000434076243157239
ABCB10	59.22592972	87.30225532	0.559789983292547	0.00415961168815163
ABCB6	20.2727519733333	38.0916665666667	0.909933465124085	0.00081351609990117
ABCB7	29.6771169933333	31.9611793733333	0.106969697926211	0.180331704704589
ABCB8	46.4346911366667	44.3707003033333	-0.0655957153585283	0.243139953436543
ABCB9	3.125837036	3.518399866	0.170676888268874	0.17656470880588
ABCC1	16.7685703	21.4789370933333	0.357162912923682	0.00358074726405709
ABCC10	22.0038112366667	13.5194051566667	-0.702721756196451	0.00167768641630232
ABCC2	1.61712149833333	0.686641255333333	-1.23579962994817	0.00700724324478227
ABCC5	24.0729794733333	15.48129226	-0.636888811202721	0.0110272617293638
ABCD1	7.08776064333333	3.780549111	-0.906734088425391	0.00113523537957548
ABCD2	2.58290943333333	1.91248438133333	-0.433549092135668	0.0850232689228657
ABCD3	14.9448258	18.15542273	0.280754441411618	0.00601740571082289
ABCD4	9.27733008566667	5.223568784	-0.82867386874719	0.000389494653596915
ABCE1	107.151915533333	162.695864466667	0.602519938887227	0.000631258679806195
