CTRL MM1R	CTRL MM1S	LOG2_FOLD_CHANGE	P_VALUE
AAAS	94.95747591	81.3089453766667	-0.223867504630501	0.00138719684383128
AACS	20.8714581533333	23.09998841	0.14636073203675	0.139240330189861
AAED1	4.23181200933333	2.82995040033333	-0.580498772124684	0.1325277036923
AAGAB	44.4561567066667	59.7270772533333	0.426001894305036	0.000994965497307044
AAK1	5.89608099833333	3.81798067233333	-0.626946544375664	0.000924149637256413
AAMDC	27.35954837	24.2691850433333	-0.172918751784811	0.231149911314474
AAMP	189.031290233333	174.965823633333	-0.111551917093349	0.00967832240336124
AAR2	39.7137803033333	45.8036977233333	0.205824375833029	0.0445093604761853
AARS	203.974194433333	153.8447347	-0.406911574178257	0.00646473703688413
AARS2	29.73413848	22.9435346833333	-0.374032605300537	0.00679088380120774
AASDH	7.072427097	8.38620275233333	0.245812310179028	0.0487409788873603
AASDHPPT	55.2098874566667	70.6080938733333	0.354906910236412	0.000411414017808266
AASS	23.5485684733333	9.77731334833333	-1.26812936563024	0.00631676410944497
AATF	125.574995566667	110.339263233333	-0.186602971746069	0.0111868912814728
ABAT	0.946831094666667	1.09047144433333	0.203773000105762	0.539483891776406
ABCA1	0.972849956333333	0.329934212333333	-1.56003892872772	0.00182697005680489
ABCA11P	3.042639005	7.46348725333333	1.29452670052699	0.00267631404499237
ABCA2	0.952616139	0.868675840333333	-0.133077076951856	0.691446572318109
ABCA3	0.323670225	0.366407703	0.178925178007398	0.800792700898976
ABCA7	61.61599865	19.4405986166667	-1.66423235341472	0.00028950926999671
ABCB10	74.67571458	87.30225532	0.225379786244779	0.0124667222513423
ABCB6	32.6457297133333	38.0916665666667	0.222581119671899	0.0325234654365787
ABCB7	29.21095688	31.9611793733333	0.129811026830897	0.0394274565898734
ABCB8	47.8208365633333	44.3707003033333	-0.108032044931263	0.094128534850722
ABCB9	3.93043288833333	3.518399866	-0.159768761803154	0.469975959272357
ABCC1	15.9701290666667	21.4789370933333	0.427546629580139	0.0070637967674665
ABCC10	17.50209759	13.5194051566667	-0.372496160865511	0.0168155562674087
ABCC2	1.41896053766667	0.686641255333333	-1.0472060213709	0.0572747884332743
ABCC5	17.7928067733333	15.48129226	-0.200768208631233	0.141412479777389
ABCD1	4.671469508	3.780549111	-0.305280655224577	0.105234025186233
ABCD2	1.787824833	1.91248438133333	0.0972425743351293	0.404707856144226
ABCD3	15.4518167833333	18.15542273	0.232624045840992	0.00812205401578702
ABCD4	6.90890099233333	5.223568784	-0.403420433076757	0.0459155989436966
ABCE1	117.447123433333	162.695864466667	0.470166201241947	0.000588474528294796
ABCF1	15.8953379166667	14.7292574266667	-0.109918987894872	0.0113205921076505
ABCF2	86.5718195733333	82.9759417933333	-0.0612043832092853	0.00382219969287685
ABCF3	78.6475457166667	69.5347885566667	-0.177666800408146	0.0133592773572517
ABCG2	14.30656873	6.34852850366667	-1.17218355925997	0.000782363923281809
ABHD1	1.40814859466667	1.08912837733333	-0.370625565294635	0.521400953560384
ABHD10	27.77124578	27.0119816833333	-0.0399924115862475	0.408923063953908
ABHD11	35.84694049	32.6208450766667	-0.136055834182848	0.188231907565931
ABHD12	303.3327707	148.228159966667	-1.03308181582059	3.36080480983784e-06
ABHD13	10.0378763103333	13.49347229	0.426807572349532	0.000337199065904396
ABHD14A	18.31002975	16.8853592766667	-0.116861258735357	0.33005311758793
ABHD14B	53.9047367666667	42.1083401466667	-0.356306044818087	0.00367035856838507
ABHD15	17.7290554866667	16.2363522	-0.126888138354634	0.265644046959791
ABHD16A	4.900759433	5.24814111466667	0.0988011824828119	0.099654307036713
ABHD16B	8.74352183266667	5.806552714	-0.5905325990731	0.0274700083783736
ABHD17A	197.8218257	110.444030133333	-0.840886169211486	0.000521604984771113
ABHD17B	25.6677638566667	35.7413994066667	0.477638506670338	0.00154691852751501
ABHD17C	9.17948127833333	20.0478414733333	1.12696237576558	0.000178693259607932
ABHD2	114.725413866667	139.601071933333	0.283125008175429	0.00808570059235063
ABHD3	91.36458638	116.8221322	0.35460664274632	0.00999346071669499
ABHD4	62.5351062333333	48.9658854	-0.352889352115495	0.000905491687800086
ABHD5	10.7750883293333	14.2725011066667	0.405538478268685	0.0377023974672843
ABHD6	6.423806455	8.76810621266667	0.448836848453971	0.0763864738819957
ABHD8	16.7221743833333	16.2186272933333	-0.0441107347764168	0.563908923695822
ABI1	71.4985205833333	93.4344711166667	0.38604151625781	0.00172836398039433
ABI2	12.6056564833333	18.6021803233333	0.561400473058326	0.000148839136483919
ABL1	12.38650454	13.25507105	0.097775285656634	0.220929693030804
ABL2	12.9794967733333	12.1204380933333	-0.0987926038705551	0.124008097735357
ABLIM1	14.4656307	32.7221347633333	1.17763764551423	0.00515591537785602
ABR	100.200218346667	64.9397121433333	-0.625712757566703	0.000726665543846131
ABRACL	88.5590961433333	138.7038121	0.64729503607231	0.00256101109936521
