CTRL KMS12BM	CTRL MM1S	LOG2_FOLD_CHANGE	P_VALUE
AAAS	88.8205327466667	81.3089453766667	-0.12747914243666	0.00515573582623153
AACS	19.8569772866667	23.09998841	0.218246101375949	0.0261083821094003
AAED1	36.1571269	2.82995040033333	-3.6754313708562	0.00307231869591118
AAGAB	47.99331283	59.7270772533333	0.315551723903874	0.00340193496029049
AAK1	3.12431085633333	3.81798067233333	0.289271796480751	0.0117807231390795
AAMDC	45.92878887	24.2691850433333	-0.920273076818706	0.00851222852645666
AAMP	211.3309447	174.965823633333	-0.27243088768516	0.000328332746970422
AAR2	38.7926999633333	45.8036977233333	0.239678880885704	0.00167244446535055
AARS	163.7371283	153.8447347	-0.0899064293760724	0.0862106879131977
AARS2	33.3579259833333	22.9435346833333	-0.53994192231829	0.00159600082368011
AASDH	8.517299501	8.38620275233333	-0.0223783708895714	0.788139245799198
AASDHPPT	89.6434874766667	70.6080938733333	-0.344365205841314	0.00031255186797017
AASS	3.51235252966667	9.77731334833333	1.47700043644265	0.000374831012723026
AATF	167.3355416	110.339263233333	-0.600797649975192	3.32464552645822e-05
ABAT	1.600523034	1.09047144433333	-0.553591448352421	0.0939385320482196
ABCA1	0.0330799386666667	0.329934212333333	3.31814992033877	0.0159161147455451
ABCA11P	9.604324995	7.46348725333333	-0.3638343474271	0.0213292083510118
ABCA2	38.58922547	0.868675840333333	-5.47323636364153	0.00226109799591226
ABCA3	51.71719839	0.366407703	-7.14105048018216	0.000680573881315172
ABCA7	12.6495190233333	19.4405986166667	0.619990113311358	0.0176986417807029
ABCB10	89.36046376	87.30225532	-0.0336177489400137	0.456858638866252
ABCB6	3.65873902533333	38.0916665666667	3.38005699104134	0.000597248928982872
ABCB7	44.5188693766667	31.9611793733333	-0.478096308787233	0.000683172336920569
ABCB8	38.6164394166667	44.3707003033333	0.200392174989215	0.0222457234565915
ABCB9	8.852328738	3.518399866	-1.33113757335802	0.005107114994849
ABCC1	56.5553501366667	21.4789370933333	-1.39674090775178	9.65434674968404e-05
ABCC10	12.21438896	13.5194051566667	0.14644998275801	0.149839432981822
ABCC2	0.194538177666667	0.686641255333333	1.8195032325097	0.0311209271797115
ABCC5	18.24373319	15.48129226	-0.236875074742774	0.00861596140131862
ABCD1	40.4703683033333	3.780549111	-3.42019827742848	0.00196739228916641
ABCD2	1.416251724	1.91248438133333	0.433370253574292	0.00660618274432928
ABCD3	36.3136808466667	18.15542273	-1.00011265060147	0.00133866038392231
ABCD4	28.33653671	5.223568784	-2.43955573335422	0.000541818631283652
ABCE1	97.2393873066667	162.695864466667	0.742564871637331	0.00214925604169189
ABCF1	26.43444737	14.7292574266667	-0.843734467568441	0.000519441010642308
ABCF2	127.726140266667	82.9759417933333	-0.622288810976732	3.88604437267574e-05
ABCF3	66.8923082133333	69.5347885566667	0.0558946166979945	0.165092131231148
ABCG2	1.82740262166667	6.34852850366667	1.79662770483208	0.00581632560883731
ABHD1	11.84182812	1.08912837733333	-3.44264589680891	0.00205746971548421
ABHD10	15.8520626666667	27.0119816833333	0.768928908624665	0.00105375375137336
ABHD11	25.9721075466667	32.6208450766667	0.328831068560793	0.0112465239663942
ABHD12	56.6350454566667	148.228159966667	1.38805258650482	0.000366262269969276
ABHD13	17.18566991	13.49347229	-0.348944443759508	0.00976437678476693
