siIRF4 MM1R	siIRF4 MM1S	LOG2_FOLD_CHANGE	P_VALUE
AAAS	97.6448184166667	88.4251762366667	-0.143086299322424	0.121651737981707
AACS	18.9715002766667	23.1651021833333	0.288119273864481	0.00559586251491591
AAED1	3.92929262133333	3.74151235266667	-0.0706480736288058	0.648691212027623
AAGAB	49.36294734	60.2291721066667	0.287033891348751	0.00222794685939543
AAK1	5.21116648133333	3.792106215	-0.458606971369693	0.00576854763284235
AAMDC	25.8010105366667	21.7181284633333	-0.248527786363102	0.163500773833701
AAMP	181.9801092	164.055194866667	-0.149599491471515	0.0185070037505186
AAR2	40.97518598	47.6698816033333	0.218327544713049	0.0550949681578332
AARS	140.2814876	105.562467766667	-0.410227652187347	0.00166584162132792
AARS2	23.8933247233333	17.70969249	-0.432068455356587	1.71979750904379e-06
AASDH	7.952069535	10.44569157	0.393505733611103	0.0112783780876926
AASDHPPT	56.8417842266667	68.07560019	0.26018595632594	0.022178335345793
AASS	24.0463149333333	10.1116013633333	-1.24980432640269	0.000561470073858385
AATF	109.025787133333	88.5790465966667	-0.299632032028562	0.00497582579882521
ABAT	2.184106072	2.62643517366667	0.266063052939514	0.0216526631339666
ABCA1	2.81874016633333	1.17504199866667	-1.26233817237813	0.000554968940505141
ABCA11P	4.05071574266667	8.62667673966667	1.09062804803322	0.0125132133809316
ABCA2	0.783489164	1.05324241966667	0.426852305818055	0.109450899247204
ABCA3	0.479173276	0.435197704	-0.138876504452181	0.758607272748164
ABCA7	67.55471202	22.9260812333333	-1.55906662732468	0.0009359459733548
ABCB10	59.22592972	79.19936542	0.419259929987281	5.84585641516813e-05
ABCB6	20.2727519733333	21.6309721666667	0.0935565619960431	0.43314157576256
ABCB7	29.6771169933333	31.8415202033333	0.101558268795376	0.208754584266366
ABCB8	46.4346911366667	42.17737853	-0.138733609340839	0.179630508203249
ABCB9	3.125837036	2.58868731066667	-0.272021854462257	0.106528514710817
ABCC1	16.7685703	21.0648056566667	0.329074916735487	0.0514763790714251
ABCC10	22.0038112366667	16.5653545633333	-0.409584348688937	0.0101215967824948
ABCC2	1.61712149833333	1.229205512	-0.395701934739182	0.138812965550386
ABCC5	24.0729794733333	18.3833642866667	-0.389013898608863	0.0249519004386377
ABCD1	7.08776064333333	7.13596792966667	0.00977924724428972	0.921092727300217
ABCD2	2.58290943333333	3.094046951	0.260498031362047	0.25295243224369
ABCD3	14.9448258	14.56722365	-0.0369201387077702	0.590648712015819
ABCD4	9.27733008566667	7.90630560766667	-0.230705951517814	0.011032990973685
ABCE1	107.151915533333	140.865677533333	0.39466249522809	0.000642579133050771
ABCF1	14.1473392433333	12.40614604	-0.189475731194834	0.00569283035559476
ABCF2	75.6877929066667	68.79331659	-0.137792226959542	0.0365207642989854
ABCF3	78.3428270666667	73.34897743	-0.095024336896269	0.153644559938923
ABCG2	27.75979512	16.9865627933333	-0.70860296542818	0.00417753970422209
ABHD1	1.91317194766667	0.913257809	-1.06687245292148	0.0207361481253887
ABHD10	24.6570625033333	23.86171415	-0.0473032504191604	0.539957741996922
ABHD11	25.4136151833333	24.1694960966667	-0.0724142237862808	0.500184625090569
ABHD12	259.809083666667	136.235876866667	-0.931345194295482	0.00595690147103798
ABHD13	10.0738454916667	14.4631734066667	0.521769624069679	0.00512630305969445
ABHD14A	15.65439109	14.7200823433333	-0.0887816511785377	0.449054498559294
ABHD14B	63.9371027	49.1462512766667	-0.379571993627397	0.000352653082583289
