CTRL KMS12PE	CTRL MM1S	LOG2_FOLD_CHANGE	P_VALUE
AAAS	68.5372160533333	81.3089453766667	0.246526490684763	0.000713982442141937
AACS	31.1574468166667	23.09998841	-0.431684889434377	0.00737434770959262
AAED1	56.2239651833333	2.82995040033333	-4.31233653034995	0.000150147505893785
AAGAB	93.9941821266667	59.7270772533333	-0.654186337183313	0.000155426302662607
AAK1	2.50623991533333	3.81798067233333	0.607285273012583	0.0244441930522799
AAMDC	65.2645465133333	24.2691850433333	-1.42717382940157	0.00431296315816763
AAMP	181.678880433333	174.965823633333	-0.0543175752665477	0.0801437438328799
AAR2	53.5248244633333	45.8036977233333	-0.224744087741024	0.00864186700327274
AARS	129.8887585	153.8447347	0.244198493551342	0.0218112490874447
AARS2	25.4616042033333	22.9435346833333	-0.150235648594375	0.0973394708488236
AASDH	12.6508446933333	8.38620275233333	-0.593144100873376	0.000429119581724658
AASDHPPT	162.255941666667	70.6080938733333	-1.20036583378581	8.48957311063977e-05
AASS	7.872664695	9.77731334833333	0.312586056119548	0.0067392699781547
AATF	120.979132166667	110.339263233333	-0.132811964458599	0.0166989530786736
ABAT	16.8208976466667	1.09047144433333	-3.94723080061788	0.001586673610809
ABCA1	6.68441051333333	0.329934212333333	-4.34055004695124	0.00754017476546368
ABCA11P	9.250975854	7.46348725333333	-0.309755683192133	0.00996373687267065
ABCA2	11.1842906603333	0.868675840333333	-3.68651203547267	0.00780421063820119
ABCA3	21.4440549866667	0.366407703	-5.87098409576496	0.00176093473421156
ABCA7	7.24855836733333	19.4405986166667	1.42330664548122	0.00292883016417641
ABCB10	95.63564426	87.30225532	-0.131529499628232	0.0505666877612062
ABCB6	2.49338261866667	38.0916665666667	3.93329921756904	0.000975781311567163
ABCB7	53.0408720666667	31.9611793733333	-0.730783850627014	6.9215873168977e-05
ABCB8	14.8088868733333	44.3707003033333	1.58314412050828	0.00010677756034392
ABCB9	25.6287534133333	3.518399866	-2.86477194794602	0.00219319252686612
ABCC1	51.4392993833333	21.4789370933333	-1.25994839103322	0.00617614942576684
ABCC10	9.147497647	13.5194051566667	0.563582630980226	0.00716156639912473
ABCC2	0.184007439333333	0.686641255333333	1.89979244612921	0.0418834865390788
ABCC5	10.3346811576667	15.48129226	0.58303202179224	0.000972336044318338
ABCD1	16.8114548333333	3.780549111	-2.15277687725084	0.0108671624732883
ABCD2	12.83199374	1.91248438133333	-2.7462254721736	0.00193215752359017
ABCD3	26.9457779266667	18.15542273	-0.569658715872947	0.00013862012408809
ABCD4	13.67699478	5.223568784	-1.38864355484812	3.44651525933942e-05
