CTRL MM1S	siIRF4 KMS12PE	LOG2_FOLD_CHANGE	P_VALUE
AAAS	81.3089453766667	73.13092465	-0.152932478963475	0.0051514729929901
AACS	23.09998841	32.5935122933333	0.496692698203819	0.00102861151989184
AAED1	2.82995040033333	51.14428131	4.17572426154211	0.000297569116845171
AAGAB	59.7270772533333	90.5704839966667	0.600655841991114	3.69247338716384e-05
AAK1	3.81798067233333	2.61551091666667	-0.545717007866769	0.00181263741442006
AAMDC	24.2691850433333	60.5141770466667	1.31814750770419	0.00188808478562324
AAMP	174.965823633333	168.891850033333	-0.0509734337466303	0.197719138916872
AAR2	45.8036977233333	50.10535064	0.12950060236675	0.0905557388743315
AARS	153.8447347	90.6348861566667	-0.763336700453977	0.00154468864370803
AARS2	22.9435346833333	23.9419800933333	0.0614548033899453	0.218469542837502
AASDH	8.38620275233333	13.77350871	0.715806507682632	0.00640541104008805
AASDHPPT	70.6080938733333	135.652342	0.942008479962988	0.000111275040104559
AASS	9.77731334833333	6.44791148266667	-0.600606151172484	0.00189567137747828
AATF	110.339263233333	106.668996433333	-0.0488053375691128	0.2982736190354
ABAT	1.09047144433333	36.55265713	5.06695238771967	0.000809855597293853
ABCA1	0.329934212333333	7.386552614	4.48465090949238	0.00092948870991595
ABCA11P	7.46348725333333	8.00088472866667	0.100309664925327	0.513459105980381
ABCA2	0.868675840333333	17.4843581533333	4.33110311202817	0.000939860748283748
ABCA3	0.366407703	24.38477983	6.05638730254999	7.06441516831879e-06
ABCA7	19.4405986166667	10.3106804533333	-0.914933096719672	0.0169513404455087
ABCB10	87.30225532	85.8102472466667	-0.0248689830798426	0.716971242420322
ABCB6	38.0916665666667	3.11104303366667	-3.61400515304261	0.000723302413684896
ABCB7	31.9611793733333	52.34771505	0.711805920699405	0.00303038904029894
ABCB8	44.3707003033333	14.4231430366667	-1.62122173793804	0.000658645287139257
ABCB9	3.518399866	23.1231533266667	2.71634679349313	0.000138252436527672
ABCC1	21.4789370933333	58.4876989966667	1.44521063028924	2.66635174095962e-06
ABCC10	13.5194051566667	11.32061233	-0.256079680144251	0.0467930802030275
ABCC2	0.686641255333333	0.155723827666667	-2.14056682961956	0.0306230876789842
ABCC5	15.48129226	9.738234124	-0.668793810646497	0.000576261050434116
ABCD1	3.780549111	22.5541380666667	2.57672445181334	7.6822262031225e-06
ABCD2	1.91248438133333	14.8331305166667	2.95530323828192	0.00563144341037117
ABCD3	18.15542273	22.6469128666667	0.318913879291685	0.0012527862452302
ABCD4	5.223568784	14.9843280866667	1.52034668374436	8.32691925190148e-05
ABCE1	162.695864466667	115.4876804	-0.494438618943249	0.00396082730297585
ABCF1	14.7292574266667	28.4994893733333	0.952251371725158	0.0010521659833708
ABCF2	82.9759417933333	100.138467623333	0.271231279367578	0.00326683917051857
ABCF3	69.5347885566667	62.81457646	-0.146635561942891	0.0201805312494509
ABCG2	6.34852850366667	14.09239877	1.15042306412542	0.000481274332110029
ABHD1	1.08912837733333	7.768749244	2.83450832888334	8.80281191462846e-05
ABHD10	27.0119816833333	20.58960929	-0.391683030804609	0.00327380655612435
ABHD11	32.6208450766667	42.7815542533333	0.391194739509669	0.00254029468839635
ABHD12	148.228159966667	45.09017805	-1.71693444085914	0.000253196683005444
ABHD13	13.49347229	19.5063487466667	0.531682109138068	8.14965554175928e-05
ABHD14A	16.8853592766667	34.8926599533333	1.04715070543578	0.00163486558723352
ABHD14B	42.1083401466667	51.8838458333333	0.301179414188218	0.00695489146326856
ABHD15	16.2363522	20.3202434966667	0.323690149449113	0.00129602040365341
ABHD16A	5.24814111466667	4.76749155633333	-0.138576128995328	0.0944372184138907
ABHD16B	5.806552714	12.1996906	1.07109074879753	0.0176690211412334
