siIRF4 MM1S	siIRF4 KMS12PE	LOG2_FOLD_CHANGE	P_VALUE
AAAS	88.4251762366667	73.13092465	-0.273975586072844	0.0405681569974044
AACS	23.1651021833333	32.5935122933333	0.492631779757463	0.00186430571984137
AAED1	3.74151235266667	51.14428131	3.77287949094434	0.000930087735617033
AAGAB	60.2291721066667	90.5704839966667	0.588578538989271	3.01651236448385e-05
AAK1	3.792106215	2.61551091666667	-0.535906582394146	0.0236374954010673
AAMDC	21.7181284633333	60.5141770466667	1.47837338567483	0.00138451554487114
AAMP	164.055194866667	168.891850033333	0.0419184337609361	0.343608072457366
AAR2	47.6698816033333	50.10535064	0.0718866316506617	0.37498294708937
AARS	105.562467766667	90.6348861566667	-0.219958614339425	0.00349374224245103
AARS2	17.70969249	23.9419800933333	0.435003312173664	0.00198231919715357
AASDH	10.44569157	13.77350871	0.398988112299767	0.0318093071060611
AASDHPPT	68.07560019	135.652342	0.994704253574109	1.79836011594723e-05
AASS	10.1116013633333	6.44791148266667	-0.649107649676116	0.00430479035497521
AATF	88.5790465966667	106.668996433333	0.268103540509205	0.0131965006999144
ABAT	2.62643517366667	36.55265713	3.79879840304108	0.00108095282258803
ABCA1	1.17504199866667	7.386552614	2.65218887676971	0.000434549378231682
ABCA11P	8.62667673966667	8.00088472866667	-0.108645355684878	0.584568782846607
ABCA2	1.05324241966667	17.4843581533333	4.05315539824107	0.000787265893007187
ABCA3	0.435197704	24.38477983	5.80816619083324	4.78672174448425e-05
ABCA7	22.9260812333333	10.3106804533333	-1.15285022889484	0.00500687002130848
ABCB10	79.19936542	85.8102472466667	0.115661070225423	0.162245562462257
ABCB6	21.6309721666667	3.11104303366667	-2.79762824991457	0.00457087219962988
ABCB7	31.8415202033333	52.34771505	0.71721734983024	0.00206469392017481
ABCB8	42.17737853	14.4231430366667	-1.54808384395573	0.004980708687457
ABCB9	2.58868731066667	23.1231533266667	3.15904553622426	8.02517484287698e-05
ABCC1	21.0648056566667	58.4876989966667	1.47329862647744	6.08693363095893e-05
ABCC10	16.5653545633333	11.32061233	-0.549217087651765	0.0164655864487508
ABCC2	1.229205512	0.155723827666667	-2.98066452482855	0.0176935772158892
ABCC5	18.3833642866667	9.738234124	-0.916668723240355	0.000358176527266973
ABCD1	7.13596792966667	22.5541380666667	1.66021111614366	1.07184320396287e-05
ABCD2	3.094046951	14.8331305166667	2.2612561147842	0.00400347335608324
ABCD3	14.56722365	22.6469128666667	0.636588459411073	0.000268790793820405
ABCD4	7.90630560766667	14.9843280866667	0.92237876651498	1.8478699176717e-05
ABCE1	140.865677533333	115.4876804	-0.286581175284112	0.00690905784215554
ABCF1	12.40614604	28.4994893733333	1.19988105774604	0.000114861122279513
ABCF2	68.79331659	100.138467623333	0.541655967646858	9.35134064497033e-05
ABCF3	73.34897743	62.81457646	-0.223677470089347	0.0399208130526968
ABCG2	16.9865627933333	14.09239877	-0.269476750579536	0.0234726883712644
ABHD1	0.913257809	7.768749244	3.08858825595685	0.000609517748635886
ABHD10	23.86171415	20.58960929	-0.212781231861598	0.0728554971359601
ABHD11	24.1694960966667	42.7815542533333	0.823801501492364	0.000899799267218015
ABHD12	136.235876866667	45.09017805	-1.59522156615954	0.00156850920364647
ABHD13	14.4631734066667	19.5063487466667	0.431559622585576	0.003125930257981
ABHD14A	14.7200823433333	34.8926599533333	1.2451378401433	0.000927988658797453
ABHD14B	49.1462512766667	51.8838458333333	0.078204045277568	0.121421070299599
ABHD15	23.8939309833333	20.3202434966667	-0.233726532748866	0.00472062070951138
ABHD16A	5.076302848	4.76749155633333	-0.0905477583366174	0.220198234149501
ABHD16B	5.43596659533333	12.1996906	1.16623606392081	0.0105599657724919
ABHD17A	129.383842133333	62.24924843	-1.05552913628943	0.0159674625031885
ABHD17B	39.55985191	42.8985218733333	0.116890913107474	0.00405444648222016
ABHD17C	16.6712823033333	19.0658999633333	0.193629555656116	0.0871171250240532
ABHD2	180.527640366667	28.5986639533333	-2.65820008814005	0.00171271506841622
ABHD3	95.18685708	23.5919188466667	-2.01246962242141	3.85424401999157e-05
ABHD4	68.34340438	20.20392407	-1.75816658933096	1.52787646563415e-06
ABHD5	11.6753616633333	8.72417118	-0.420377257463827	0.00671081108850936
ABHD6	9.942226013	18.3473729533333	0.883932702264367	0.00840813963233358
ABHD8	17.6057987233333	7.68976826033333	-1.19503865277369	0.00344140247186291
ABI1	121.978908533333	147.199827866667	0.271144272483211	0.0216282513271189
ABI2	17.5080187566667	34.5548153366667	0.980870934642034	8.41666781983284e-05
ABL1	15.0746403933333	45.8873105866667	1.60597166725173	0.000136795692315761
ABL2	11.10961023	12.1874482266667	0.133587888136431	0.158160268586562
ABLIM1	65.95776819	6.306466695	-3.38663874091084	0.00223200481957035
ABR	87.1460955	0.373448214666667	-7.86638401577517	0.00113241964124685
ABRACL	132.8166261	217.642528933333	0.71252474144016	0.000124064710803392
ABT1	64.0198559866667	106.1773278	0.729884401604663	0.00272890543793713
ABTB1	46.3145385766667	7.41825222766667	-2.64231391355647	7.53827371860404e-06
ABTB2	0.673802694	0.901065089	0.419305127122204	0.200369603559064
ACAA1	40.6271038433333	58.55711672	0.52740199503512	0.00708403710548397
ACAA2	103.1057971	97.43420784	-0.0816251730051256	0.0515618654899953
ACACA	10.5586621866667	49.7807392633333	2.23716060245945	0.000961286115601961
ACACB	5.51729508566667	4.330977514	-0.349268461187453	0.0774122335082997
ACAD10	5.48653485133333	8.82186098533333	0.68518775741347	0.00682941281959038
ACAD11	1.36799528733333	0.957168939666667	-0.515217773238038	0.0663088453607319
ACAD8	35.2962606766667	61.6787423466667	0.805257997497358	0.000148479163639139
ACAD9	64.2353215333333	41.5574556566667	-0.628259492170847	0.00129929316218557
ACADM	82.8349304833333	118.602029933333	0.517817534439036	0.000195190149950911
ACADS	6.16698864033333	16.55303021	1.42445724806447	0.00326069973510645
ACADSB	14.8535398033333	6.32819500966667	-1.23094082241941	7.42073304614918e-05
ACADVL	226.002176133333	94.52589636	-1.25755513412888	0.00103890930880844
ACAP1	94.48210097	45.6702295166667	-1.04878700583878	2.01120491331916e-05
ACAP2	49.5838819533333	42.6308298333333	-0.217974086895149	0.0775827480845302
ACAP3	22.47001773	43.2537656466667	0.9448244754955	0.00188129029965651
ACAT1	127.770811333333	187.844780166667	0.555982730170214	0.000227506246066952
ACAT2	36.3649296	163.708181433333	2.17050673487239	2.3546306475893e-06
ACBD3	78.9787482866667	61.9215169333333	-0.351023688493938	0.00116270440922959
ACBD4	13.57544962	8.379954361	-0.695985689161502	0.00702064399913227
ACBD5	26.3780175466667	39.5874896566667	0.585708443125642	0.00334673294015223
ACBD6	131.6344759	88.7754431566667	-0.56830482735643	6.34017616495492e-05
ACCS	6.65987219366667	4.17560621133333	-0.673508829350301	0.0119862249527882
ACD	24.78595706	27.64368023	0.157426729246411	0.0491366353213876
ACER2	0.329153282333333	0.347799991333333	0.0794983122379282	0.811461474300799
ACER3	11.10405785	5.86719144466667	-0.920345016622388	0.0024312722529983
ACIN1	50.89567604	63.9210415133333	0.328747821357019	0.000660672311579914
ACKR4	1.30932555133333	0.650143207333333	-1.00999441293691	0.0108777351387553
ACLY	102.717125833333	214.624264	1.06313644733248	0.00114773413705265
ACN9	18.9630289866667	47.14244281	1.31383709157449	0.000111713011679458
ACO1	18.64177022	27.90453978	0.58196098808531	0.0199238103890651
ACO2	143.234949833333	43.6614752133333	-1.71395077687428	0.00252011017260928
ACOT11	1.13956369866667	0.0604011653333333	-4.2377613754971	0.0224549082049178
ACOT13	18.1129448133333	27.1408487	0.58344471526263	7.91601137017304e-05
ACOT2	0.198130253333333	34.0562520433333	7.42532667397605	0.000977554970943367
ACOT7	45.4104228266667	61.1682214733333	0.429758858814244	0.00166503437032572
ACOT8	41.3513335833333	54.11101799	0.38798852582152	0.0222454153154277
ACOT9	27.0436350233333	49.8466997	0.882208906386119	0.00068829730801817
ACOX1	12.33925397	17.7364304433333	0.523460516404812	0.000741495237578926
ACOX3	13.38605234	8.347656741	-0.681287377791995	0.0070380693169902
ACOXL	28.66187048	4.40343889633333	-2.70243021147299	0.000859058145535527
ACP1	192.8723171	213.613769266667	0.147358555571992	0.00477392298200697
ACP2	28.6612049866667	34.46006193	0.265826029030264	0.00989451312341431
ACP5	1.637387704	4.66796317	1.51139721176171	0.000165746727284741
ACP6	70.7534523533333	31.61648278	-1.16212366272685	1.65388385184279e-05
ACPT	0.280402574333333	0.528097964	0.913305984759733	0.0298194905715137
