siIRF4 KMS12BM	CTRL KMS12BM	CTRL MM1R	siIRF4 MM1R	CTRL KMS12PE	siIRF4 MM1S	CTRL MM1S	siIRF4 KMS12PE
A1BG	12.80867737	10.926014455	0.0642096183333333	0.256569030333333	10.5023613433333	0.192015716	0.0431620686666667	13.57507664
A1BG-AS1	1.85892204733333	1.64969989933333	0	0.0154145396666667	2.38649503233333	0	0.030884587	2.18917273666667
A1CF	0	0.009701943	0.04358589	0.0942922366666667	0.007491874	0.0590688466666667	0.0319967316666667	0.003507627
A2M	0.144565856	0.109693146333333	0.048740248	0.149110738666667	0.0617738733333333	0.097170214	0.189155773	0.022737118
A2M-AS1	0	0.0582440273333333	0.343369713	0.501176841333333	0.0167606953333333	0.671059955	0.262645662666667	0
A2ML1	0.11627207	0.0935272606666667	0.02937724	0.106212159666667	2.43718874966667	1.974199705	2.31717419433333	0.773820137
A2MP1	0.131899313333333	0.190460595333333	0	0.098107443	0.0293013363333333	0	0	0.0324291873333333
A3GALT2	0.101421746666667	0.0644602176666667	0.0388736853333333	0.0320947893333333	0.034892506	0.074113277	0	0
A4GALT	0.018930578	0.0294144583333333	0.628050606666667	0.649135080333333	0.188079841	1.39097746333333	1.17657455733333	0.081929338
A4GNT	0.022361812	0.01740068	0	0	0	0.02101376	0	0
AA06	0	0	0	0	0	0	0	0
AAAS	91.8672052633333	88.8205327466667	94.95747591	97.6448184166667	68.5372160533333	88.4251762366667	81.3089453766667	73.13092465
AACS	22.9685070933333	19.8569772866667	20.8714581533333	18.9715002766667	31.1574468166667	23.1651021833333	23.09998841	32.5935122933333
AACSP1	0.336730825666667	0.263111335666667	0.123286867	0.188141599666667	1.10920519866667	0.018184347	0.030273433	1.38674752533333
AADAC	0.0246592583333333	0.0219329766666667	0	0.0204439413333333	0	0	0.0209767443333333	0.0242512166666667
AADACL2	0	0	0	0.018887571	0.023796689	0.024810246	0.139590457333333	0.0519299383333333
AADACL2-AS1	0.0512989233333333	0.165381054333333	0	0.0425297533333333	0	0	0	0
AADACL3	0	0.00761091733333333	0	0.00699712433333333	0	0	0	0
AADACL4	0.0502892303333333	0.0586982943333333	0	0.0416926596666667	0	0	0	0
AADACP1	0.0307236376666667	0	0	0.0254716596666667	0	0	0	0
AADAT	0.0114484596666667	0.0256071983333333	0.0867570413333333	0.064382394	0.0284262433333333	0.132376491333333	0.260059178333333	0.026749127
AAED1	34.4322687966667	36.1571269	4.23181200933333	3.92929262133333	56.2239651833333	3.74151235266667	2.82995040033333	51.14428131
AAGAB	47.6976030966667	47.99331283	44.4561567066667	49.36294734	93.9941821266667	60.2291721066667	59.7270772533333	90.5704839966667
AAK1	3.387100254	3.12431085633333	5.89608099833333	5.21116648133333	2.50623991533333	3.792106215	3.81798067233333	2.61551091666667
AAMDC	48.0783607	45.92878887	27.35954837	25.8010105366667	65.2645465133333	21.7181284633333	24.2691850433333	60.5141770466667
AAMP	191.950389	211.3309447	189.031290233333	181.9801092	181.678880433333	164.055194866667	174.965823633333	168.891850033333
AANAT	0.151517544666667	0.198543390333333	0.549541651333333	1.06381352	0.750001981	0.229204125	0.091834579	0.385930429666667
