CTRL KMS12BM	siIRF4 MM1R	LOG2_FOLD_CHANGE	P_VALUE
AAAS	88.8205327466667	97.6448184166667	0.136650263995133	0.00704137677314233
AACS	19.8569772866667	18.9715002766667	-0.0658122540421773	0.176564497493001
AAED1	36.1571269	3.92929262133333	-3.20193852662964	0.00464398011340389
AAGAB	47.99331283	49.36294734	0.0405951355569652	0.444321733563474
AAK1	3.12431085633333	5.21116648133333	0.738068342377822	0.000187775890090875
AAMDC	45.92878887	25.8010105366667	-0.831971168426241	0.0118116680541813
AAMP	211.3309447	181.9801092	-0.21572326372121	0.00321239176768766
AAR2	38.7926999633333	40.97518598	0.0789653068887434	0.305633475624503
AARS	163.7371283	140.2814876	-0.223056863303277	0.00613580468471974
AARS2	33.3579259833333	23.8933247233333	-0.481421975745421	4.07795269061163e-06
AASDH	8.517299501	7.952069535	-0.0990657091178087	0.32023702546016
AASDHPPT	89.6434874766667	56.8417842266667	-0.657246935778374	0.000855498959040649
AASS	3.51235252966667	24.0463149333333	2.77530626134897	0.00135113442766387
AATF	167.3355416	109.025787133333	-0.618074496024948	3.95108228532614e-05
ABAT	1.600523034	2.184106072	0.448499483386656	0.0153580937512886
ABCA1	0.0330799386666667	2.81874016633333	6.41295012543958	0.00179286237416806
ABCA11P	9.604324995	4.05071574266667	-1.24550737485012	0.00214926650207666
ABCA2	38.58922547	0.783489164	-5.62214095567248	0.00222804552724459
ABCA3	51.71719839	0.479173276	-6.75395286401323	0.000696473482246139
ABCA7	12.6495190233333	67.55471202	2.41697387281121	0.00113201396994925
ABCB10	89.36046376	59.22592972	-0.59340773223256	0.00011759347813985
ABCB6	3.65873902533333	20.2727519733333	2.47012352591726	0.000165153642188005
ABCB7	44.5188693766667	29.6771169933333	-0.585066006713443	0.000716855538566612
ABCB8	38.6164394166667	46.4346911366667	0.265987890347743	0.00265088568516548
ABCB9	8.852328738	3.125837036	-1.50181446162689	0.00408732967510372
ABCC1	56.5553501366667	16.7685703	-1.75390382067546	0.000143173567059329
ABCC10	12.21438896	22.0038112366667	0.849171738954462	0.00244200328742824
ABCC2	0.194538177666667	1.61712149833333	3.05530286245787	0.00535546076745979
ABCC5	18.24373319	24.0729794733333	0.400013736459947	0.0335647063483678
ABCD1	40.4703683033333	7.08776064333333	-2.51346418900309	0.00261940010562308
ABCD2	1.416251724	2.58290943333333	0.866919345709961	0.0320468892189519
ABCD3	36.3136808466667	14.9448258	-1.28086709201309	0.000763731915677703
ABCD4	28.33653671	9.27733008566667	-1.61088186460703	0.00107211569319852
ABCE1	97.2393873066667	107.151915533333	0.140044932750104	0.0229613325920158
