CTRL MM1R	siIRF4 MM1R	LOG2_FOLD_CHANGE	P_VALUE
AAAS	94.95747591	97.6448184166667	0.0402619018012919	0.156909165753614
AACS	20.8714581533333	18.9715002766667	-0.137697623381376	0.179189425450018
AAED1	4.23181200933333	3.92929262133333	-0.107005927898115	0.527931935673983
AAGAB	44.4561567066667	49.36294734	0.151045305958128	0.00503531564785388
AAK1	5.89608099833333	5.21116648133333	-0.178149998478593	0.0166681135474482
AAMDC	27.35954837	25.8010105366667	-0.0846168433923454	0.453696952314736
AAMP	189.031290233333	181.9801092	-0.0548442931294002	0.16135385680782
AAR2	39.7137803033333	40.97518598	0.0451108018360682	0.605101969172009
AARS	203.974194433333	140.2814876	-0.540062008105462	0.0036056552797463
AARS2	29.73413848	23.8933247233333	-0.315512658727668	0.0242108287724575
AASDH	7.072427097	7.952069535	0.16912497195079	0.155182180932888
AASDHPPT	55.2098874566667	56.8417842266667	0.0420251802993516	0.154095344040812
AASS	23.5485684733333	24.0463149333333	0.0301764592760781	0.761825157807969
AATF	125.574995566667	109.025787133333	-0.203879817795825	0.00719713694879584
ABAT	0.946831094666667	2.184106072	1.20586393184484	0.001677128772527
ABCA1	0.972849956333333	2.81874016633333	1.53476127637309	0.000854578839232904
ABCA11P	3.042639005	4.05071574266667	0.412853673103973	0.234001818746752
ABCA2	0.952616139	0.783489164	-0.281981668982805	0.457675068788484
ABCA3	0.323670225	0.479173276	0.56602279417633	0.349875971625725
ABCA7	61.61599865	67.55471202	0.132751406085133	0.145393292159175
ABCB10	74.67571458	59.22592972	-0.334410197047767	0.00316106456121614
ABCB6	32.6457297133333	20.2727519733333	-0.687352345452186	0.000266432077345139
ABCB7	29.21095688	29.6771169933333	0.0228413289046868	0.748334883099075
ABCB8	47.8208365633333	46.4346911366667	-0.0424363295727349	0.250126214430758
ABCB9	3.93043288833333	3.125837036	-0.330445650072028	0.2138483415338
ABCC1	15.9701290666667	16.7685703	0.0703837166564565	0.45223928398464
ABCC10	17.50209759	22.0038112366667	0.330225595330941	0.016337483082391
ABCC2	1.41896053766667	1.61712149833333	0.188593608577269	0.488644662597154
ABCC5	17.7928067733333	24.0729794733333	0.436120602571487	0.016482705887467
ABCD1	4.671469508	7.08776064333333	0.601453433200815	0.00459228272054624
