siIRF4 MM1S	CTRL MM1S	LOG2_FOLD_CHANGE	P_VALUE
AAAS	88.4251762366667	81.3089453766667	-0.121043107109369	0.178675082305241
AACS	23.1651021833333	23.09998841	-0.00406091844635583	0.942959486446513
AAED1	3.74151235266667	2.82995040033333	-0.402844770597763	0.269102534912811
AAGAB	60.2291721066667	59.7270772533333	-0.012077303001843	0.759659744068013
AAK1	3.792106215	3.81798067233333	0.00981042547262272	0.905279624115027
AAMDC	21.7181284633333	24.2691850433333	0.160225877970637	0.372744235905312
AAMP	164.055194866667	174.965823633333	0.0928918675075662	0.0563241456446033
AAR2	47.6698816033333	45.8036977233333	-0.0576139707160882	0.431821374497424
AARS	105.562467766667	153.8447347	0.543378086114551	0.000809503944494468
AARS2	17.70969249	22.9435346833333	0.373548508783718	0.00915711074625743
AASDH	10.44569157	8.38620275233333	-0.316818395382866	0.00885889246657292
AASDHPPT	68.07560019	70.6080938733333	0.0526957736111207	0.299613990998491
AASS	10.1116013633333	9.77731334833333	-0.0485014985036329	0.579028455789029
AATF	88.5790465966667	110.339263233333	0.316908878078317	0.000312634419507383
ABAT	2.62643517366667	1.09047144433333	-1.26815398467859	0.00633728902393743
ABCA1	1.17504199866667	0.329934212333333	-1.83246203272267	0.00553964943399309
ABCA11P	8.62667673966667	7.46348725333333	-0.208955020610205	0.283801266217426
ABCA2	1.05324241966667	0.868675840333333	-0.277947713787106	0.19833232174769
ABCA3	0.435197704	0.366407703	-0.248221111716751	0.664800728157709
ABCA7	22.9260812333333	19.4405986166667	-0.237917132175166	0.100340966473637
ABCB10	79.19936542	87.30225532	0.140530053305265	0.0529259943217604
ABCB6	21.6309721666667	38.0916665666667	0.816376903128042	0.000874678946913183
ABCB7	31.8415202033333	31.9611793733333	0.00541142913083502	0.913140959368715
ABCB8	42.17737853	44.3707003033333	0.0731378939823104	0.439940440293155
ABCB9	2.58868731066667	3.518399866	0.44269874273113	0.0220092837345886
ABCC1	21.0648056566667	21.4789370933333	0.0280879961881949	0.771422584736781
ABCC10	16.5653545633333	13.5194051566667	-0.293137407507514	0.0489633375180431
ABCC2	1.229205512	0.686641255333333	-0.840097695208991	0.0541954708240694
ABCC5	18.3833642866667	15.48129226	-0.247874912593857	0.015245810298954
ABCD1	7.13596792966667	3.780549111	-0.916513335669681	0.00317725983545043
ABCD2	3.094046951	1.91248438133333	-0.694047123497716	0.0545446921496185
ABCD3	14.56722365	18.15542273	0.317674580119388	0.00487413458265629
ABCD4	7.90630560766667	5.223568784	-0.597967917229376	0.00199276369523069
ABCE1	140.865677533333	162.695864466667	0.207857443659138	0.00759021071128951
ABCF1	12.40614604	14.7292574266667	0.247629686020882	0.0065782201293325
ABCF2	68.79331659	82.9759417933333	0.27042468827928	0.00849937687491865
ABCF3	73.34897743	69.5347885566667	-0.0770419081464559	0.242101011529862
ABCG2	16.9865627933333	6.34852850366667	-1.41989981470495	0.000529446366080089
ABHD1	0.913257809	1.08912837733333	0.254079927073509	0.562373622494699
ABHD10	23.86171415	27.0119816833333	0.178901798943012	0.0773229713243176
ABHD11	24.1694960966667	32.6208450766667	0.432606761982696	0.0106129815320068
ABHD12	136.235876866667	148.228159966667	0.121712874699603	0.102327475596693
ABHD13	14.4631734066667	13.49347229	-0.100122486552491	0.123417915934708
ABHD14A	14.7200823433333	16.8853592766667	0.197987134707522	0.180074740937596
ABHD14B	49.1462512766667	42.1083401466667	-0.22297536891065	0.0203295359450676
ABHD15	23.8939309833333	16.2363522	-0.55741668219798	0.000116908804460896
ABHD16A	5.076302848	5.24814111466667	0.0480283706587111	0.21575341944793
ABHD16B	5.43596659533333	5.806552714	0.0951453151232772	0.470560790762515
ABHD17A	129.383842133333	110.444030133333	-0.228342021881758	0.166898065172766
ABHD17B	39.55985191	35.7413994066667	-0.146440903183271	0.0035760205991381
ABHD17C	16.6712823033333	20.0478414733333	0.266081835603871	0.0396811677745524
ABHD2	180.527640366667	139.601071933333	-0.370909723909823	0.0233152059191953
ABHD3	95.18685708	116.8221322	0.295479329379095	0.0146572654436898
ABHD4	68.34340438	48.9658854	-0.481025142739791	2.48132499251781e-05
ABHD5	11.6753616633333	14.2725011066667	0.289770933742824	0.0197579126048481
ABHD6	9.942226013	8.76810621266667	-0.181303625388241	0.0825984827251915
ABHD8	17.6057987233333	16.2186272933333	-0.118398961129175	0.215099917464039
ABI1	121.978908533333	93.4344711166667	-0.384604899901732	1.00832903971456e-05
ABI2	17.5080187566667	18.6021803233333	0.0874558918886393	0.236351589493158
ABL1	15.0746403933333	13.25507105	-0.185579183560292	0.0402950620020212
ABL2	11.10961023	12.1204380933333	0.125633643931651	0.170309046703531
ABLIM1	65.95776819	32.7221347633333	-1.01127571168747	0.00185348228271843
ABR	87.1460955	64.9397121433333	-0.424335037546121	0.00534142893152321
