siIRF4 KMS12BM	CTRL MM1S	LOG2_FOLD_CHANGE	P_VALUE
AAAS	91.8672052633333	81.3089453766667	-0.176135858231024	0.00139362888511327
AACS	22.9685070933333	23.09998841	0.00823504030206819	0.902212360260809
AAED1	34.4322687966667	2.82995040033333	-3.60491257277763	0.0013554343683514
AAGAB	47.6976030966667	59.7270772533333	0.324468355534515	0.00707761187997416
AAK1	3.387100254	3.81798067233333	0.172759109979692	0.182854601603018
AAMDC	48.0783607	24.2691850433333	-0.986262042395472	0.00741312157128362
AAMP	191.950389	174.965823633333	-0.133660338359724	0.136224285026641
AAR2	39.8111017266667	45.8036977233333	0.202293274589646	0.00651779077579962
AARS	141.9750372	153.8447347	0.115837778841883	0.0375474811386166
AARS2	33.33875706	22.9435346833333	-0.539112648353476	0.00310509615130465
AASDH	9.14086035133333	8.38620275233333	-0.124312249780265	0.101326416549257
AASDHPPT	92.34137944	70.6080938733333	-0.38714371373335	0.00523542483270978
AASS	4.60447519866667	9.77731334833333	1.08640135721227	0.000169472690774446
AATF	152.606361066667	110.339263233333	-0.467868846723246	0.00647745998484147
ABAT	3.535179651	1.09047144433333	-1.69683154058059	0.0168925167810417
ABCA1	0.0758069393333333	0.329934212333333	2.12177656185718	0.0131316960771849
ABCA11P	9.591519331	7.46348725333333	-0.361909485944069	0.0023374150568864
ABCA2	50.11076114	0.868675840333333	-5.85015872726448	0.00446384896682862
ABCA3	51.7923641066667	0.366407703	-7.14314576921876	0.000844234073736238
ABCA7	12.6417585933333	19.4405986166667	0.620875472635409	0.0154028431561788
ABCB10	83.3866155166667	87.30225532	0.0662030905703002	0.387861072379268
ABCB6	4.01687403766667	38.0916665666667	3.24533028257649	0.000619305928984927
ABCB7	48.0079622166667	31.9611793733333	-0.586953054581868	8.31069386817021e-05
ABCB8	37.90462051	44.3707003033333	0.227233602177831	0.0180022143632487
ABCB9	9.767991988	3.518399866	-1.47314256262429	0.000492555555822955
ABCC1	48.2660667766667	21.4789370933333	-1.16808666382551	7.75570512416041e-05
ABCC10	14.1431015633333	13.5194051566667	-0.0650668603895323	0.489793367726236
ABCC2	0.143266941	0.686641255333333	2.26085079648755	0.0352407647131673
ABCC5	17.21773695	15.48129226	-0.153369629825503	0.0750485065732762
ABCD1	47.86544355	3.780549111	-3.6623167772979	0.00138180389792012
ABCD2	0.964514822666667	1.91248438133333	0.987572650911475	0.00105434371591041
ABCD3	37.2937276733333	18.15542273	-1.03853248590904	0.00198426479722753
ABCD4	29.7786709833333	5.223568784	-2.5111716585742	0.00103044011568845
ABCE1	91.36408835	162.695864466667	0.832478465088451	0.000807072523487932
ABCF1	25.1338990466667	14.7292574266667	-0.770949796341297	3.04533419248606e-07
ABCF2	101.710460313333	82.9759417933333	-0.293703055010488	0.0328525264728687
ABCF3	68.46466417	69.5347885566667	0.022375365440415	0.512154451718889
ABCG2	1.63268761466667	6.34852850366667	1.95917345133678	0.00416934930785249
ABHD1	12.7225415333333	1.08912837733333	-3.5461409790669	0.00073775100569922
ABHD10	17.0384471533333	27.0119816833333	0.664805626846837	0.000886326536554933
ABHD11	27.60744731	32.6208450766667	0.240736660038014	0.0489299569506118
ABHD12	61.1463087966667	148.228159966667	1.27748223710835	4.32852273337439e-05
ABHD13	17.41519219	13.49347229	-0.36808474790239	0.00869288059290348
ABHD14A	37.6959880166667	16.8853592766667	-1.15863810917484	0.000135311852362968
ABHD14B	90.1236557533333	42.1083401466667	-1.0977998283224	5.83341193108071e-05
ABHD15	60.1484455166667	16.2363522	-1.8892999121852	0.00270112261466067
ABHD16A	3.84814107366667	5.24814111466667	0.447644822806661	0.00405455713364613
ABHD16B	35.9127867033333	5.806552714	-2.62874379446815	0.00217348272753772
ABHD17A	111.876264133333	110.444030133333	-0.0185885456983742	0.751947368015043
ABHD17B	34.2393449766667	35.7413994066667	0.0619410200713617	0.349381510182503
ABHD17C	25.76037189	20.0478414733333	-0.361706509267255	0.000902329326815945
ABHD2	94.58664109	139.601071933333	0.561601674837965	6.00497800291178e-05
ABHD3	71.3370248133333	116.8221322	0.711590668700968	0.00265432493524007
ABHD4	15.42945388	48.9658854	1.66608997243678	1.55728448540773e-06
ABHD5	7.67683927966667	14.2725011066667	0.894653824562456	0.00299136807862643
