"","...1","Tf","In_Degree","Out_Degree","Total_Connections","file"
"1",0,"ARF1",76,25,101,"MM1.H3K27ac_DEGREE_TABLE.txt"
"2",1,"ARID3A",86,78,164,"MM1.H3K27ac_DEGREE_TABLE.txt"
"3",2,"ATF5",77,86,163,"MM1.H3K27ac_DEGREE_TABLE.txt"
"4",3,"BACH1",82,71,153,"MM1.H3K27ac_DEGREE_TABLE.txt"
"5",4,"BCL6",69,93,162,"MM1.H3K27ac_DEGREE_TABLE.txt"
"6",5,"BCLAF1",77,91,168,"MM1.H3K27ac_DEGREE_TABLE.txt"
"7",6,"BHLHA15",74,76,150,"MM1.H3K27ac_DEGREE_TABLE.txt"
"8",7,"BHLHE41",92,46,138,"MM1.H3K27ac_DEGREE_TABLE.txt"
"9",8,"CEBPB",76,78,154,"MM1.H3K27ac_DEGREE_TABLE.txt"
"10",9,"CEBPG",57,85,142,"MM1.H3K27ac_DEGREE_TABLE.txt"
"11",10,"CHD2",88,89,177,"MM1.H3K27ac_DEGREE_TABLE.txt"
"12",11,"CREB3L2",91,77,168,"MM1.H3K27ac_DEGREE_TABLE.txt"
"13",12,"DBP",87,85,172,"MM1.H3K27ac_DEGREE_TABLE.txt"
"14",13,"DDIT3",84,78,162,"MM1.H3K27ac_DEGREE_TABLE.txt"
"15",14,"DEAF1",75,82,157,"MM1.H3K27ac_DEGREE_TABLE.txt"
"16",15,"DMRT2",78,69,147,"MM1.H3K27ac_DEGREE_TABLE.txt"
"17",16,"ERF",90,68,158,"MM1.H3K27ac_DEGREE_TABLE.txt"
"18",17,"ESR1",57,92,149,"MM1.H3K27ac_DEGREE_TABLE.txt"
"19",18,"ESRRA",67,92,159,"MM1.H3K27ac_DEGREE_TABLE.txt"
"20",19,"ETV6",76,84,160,"MM1.H3K27ac_DEGREE_TABLE.txt"
"21",20,"FLI1",90,89,179,"MM1.H3K27ac_DEGREE_TABLE.txt"
"22",21,"FOXD4L5",83,74,157,"MM1.H3K27ac_DEGREE_TABLE.txt"
"23",22,"FOXN3",89,72,161,"MM1.H3K27ac_DEGREE_TABLE.txt"
"24",23,"FOXO3",80,93,173,"MM1.H3K27ac_DEGREE_TABLE.txt"
"25",24,"FOXP1",76,91,167,"MM1.H3K27ac_DEGREE_TABLE.txt"
"26",25,"FOXP2",77,87,164,"MM1.H3K27ac_DEGREE_TABLE.txt"
"27",26,"HEY2",83,64,147,"MM1.H3K27ac_DEGREE_TABLE.txt"
"28",27,"HIVEP2",84,80,164,"MM1.H3K27ac_DEGREE_TABLE.txt"
"29",28,"IKZF1",92,85,177,"MM1.H3K27ac_DEGREE_TABLE.txt"
"30",29,"IKZF3",91,93,184,"MM1.H3K27ac_DEGREE_TABLE.txt"
"31",30,"IRF1",92,92,184,"MM1.H3K27ac_DEGREE_TABLE.txt"
"32",31,"IRF2",92,80,172,"MM1.H3K27ac_DEGREE_TABLE.txt"
"33",32,"IRF4",91,83,174,"MM1.H3K27ac_DEGREE_TABLE.txt"
"34",33,"JUN",72,84,156,"MM1.H3K27ac_DEGREE_TABLE.txt"
"35",34,"JUNB",88,85,173,"MM1.H3K27ac_DEGREE_TABLE.txt"
"36",35,"JUND",69,93,162,"MM1.H3K27ac_DEGREE_TABLE.txt"
"37",36,"KLF13",92,64,156,"MM1.H3K27ac_DEGREE_TABLE.txt"
"38",37,"KLF2",83,87,170,"MM1.H3K27ac_DEGREE_TABLE.txt"
"39",38,"KLF3",81,89,170,"MM1.H3K27ac_DEGREE_TABLE.txt"
"40",39,"KLF6",87,82,169,"MM1.H3K27ac_DEGREE_TABLE.txt"
"41",40,"KLF7",71,93,164,"MM1.H3K27ac_DEGREE_TABLE.txt"
"42",41,"KLF9",87,91,178,"MM1.H3K27ac_DEGREE_TABLE.txt"
"43",42,"MEF2A",72,91,163,"MM1.H3K27ac_DEGREE_TABLE.txt"
"44",43,"MEF2C",91,87,178,"MM1.H3K27ac_DEGREE_TABLE.txt"
"45",44,"MEF2D",91,84,175,"MM1.H3K27ac_DEGREE_TABLE.txt"
"46",45,"MYBL2",76,70,146,"MM1.H3K27ac_DEGREE_TABLE.txt"
"47",46,"MYC",75,73,148,"MM1.H3K27ac_DEGREE_TABLE.txt"
"48",47,"MZF1",65,91,156,"MM1.H3K27ac_DEGREE_TABLE.txt"
"49",48,"NFE2L2",83,78,161,"MM1.H3K27ac_DEGREE_TABLE.txt"
"50",49,"NFE2L3",86,89,175,"MM1.H3K27ac_DEGREE_TABLE.txt"
"51",50,"NOBOX",82,49,131,"MM1.H3K27ac_DEGREE_TABLE.txt"
"52",51,"NR1D1",85,91,176,"MM1.H3K27ac_DEGREE_TABLE.txt"
"53",52,"NR1D2",81,68,149,"MM1.H3K27ac_DEGREE_TABLE.txt"
"54",53,"NR3C1",87,88,175,"MM1.H3K27ac_DEGREE_TABLE.txt"
"55",54,"NR4A2",83,90,173,"MM1.H3K27ac_DEGREE_TABLE.txt"
"56",55,"POU2F2",83,93,176,"MM1.H3K27ac_DEGREE_TABLE.txt"
"57",56,"PRDM1",93,90,183,"MM1.H3K27ac_DEGREE_TABLE.txt"
"58",57,"PRDM10",70,49,119,"MM1.H3K27ac_DEGREE_TABLE.txt"
"59",58,"RFX1",85,90,175,"MM1.H3K27ac_DEGREE_TABLE.txt"
"60",59,"RFX3",81,88,169,"MM1.H3K27ac_DEGREE_TABLE.txt"
"61",60,"RORA",79,91,170,"MM1.H3K27ac_DEGREE_TABLE.txt"
"62",61,"RUNX1",92,76,168,"MM1.H3K27ac_DEGREE_TABLE.txt"
"63",62,"SPI1",69,93,162,"MM1.H3K27ac_DEGREE_TABLE.txt"
"64",63,"SREBF2",79,82,161,"MM1.H3K27ac_DEGREE_TABLE.txt"
"65",64,"TCF12",69,92,161,"MM1.H3K27ac_DEGREE_TABLE.txt"
"66",65,"TCF3",86,93,179,"MM1.H3K27ac_DEGREE_TABLE.txt"
"67",66,"TCF4",74,82,156,"MM1.H3K27ac_DEGREE_TABLE.txt"
"68",67,"THRA",85,87,172,"MM1.H3K27ac_DEGREE_TABLE.txt"
"69",68,"TP53",78,84,162,"MM1.H3K27ac_DEGREE_TABLE.txt"
"70",69,"USF1",78,82,160,"MM1.H3K27ac_DEGREE_TABLE.txt"
"71",70,"VSX1",75,80,155,"MM1.H3K27ac_DEGREE_TABLE.txt"
"72",71,"XBP1",84,59,143,"MM1.H3K27ac_DEGREE_TABLE.txt"
"73",72,"ZBTB1",88,54,142,"MM1.H3K27ac_DEGREE_TABLE.txt"
"74",73,"ZBTB38",93,73,166,"MM1.H3K27ac_DEGREE_TABLE.txt"
"75",74,"ZBTB7A",79,84,163,"MM1.H3K27ac_DEGREE_TABLE.txt"
"76",75,"ZFP91",87,75,162,"MM1.H3K27ac_DEGREE_TABLE.txt"
"77",76,"ZFX",86,92,178,"MM1.H3K27ac_DEGREE_TABLE.txt"
"78",77,"ZNF117",83,93,176,"MM1.H3K27ac_DEGREE_TABLE.txt"
"79",78,"ZNF143",77,88,165,"MM1.H3K27ac_DEGREE_TABLE.txt"
"80",79,"ZNF215",86,78,164,"MM1.H3K27ac_DEGREE_TABLE.txt"
"81",80,"ZNF217",89,56,145,"MM1.H3K27ac_DEGREE_TABLE.txt"
"82",81,"ZNF460",86,92,178,"MM1.H3K27ac_DEGREE_TABLE.txt"
"83",82,"ZNF483",72,89,161,"MM1.H3K27ac_DEGREE_TABLE.txt"
"84",83,"ZNF526",86,85,171,"MM1.H3K27ac_DEGREE_TABLE.txt"
"85",84,"ZNF543",86,93,179,"MM1.H3K27ac_DEGREE_TABLE.txt"
"86",85,"ZNF554",78,60,138,"MM1.H3K27ac_DEGREE_TABLE.txt"
"87",86,"ZNF555",78,91,169,"MM1.H3K27ac_DEGREE_TABLE.txt"
"88",87,"ZNF556",78,67,145,"MM1.H3K27ac_DEGREE_TABLE.txt"
