,Tf,In_Degree,Out_Degree,Total_Connections,file
0,ARF1,76,25,101,MM1.H3K27ac_DEGREE_TABLE.txt
1,ARID3A,86,78,164,MM1.H3K27ac_DEGREE_TABLE.txt
2,ATF5,77,86,163,MM1.H3K27ac_DEGREE_TABLE.txt
3,BACH1,82,71,153,MM1.H3K27ac_DEGREE_TABLE.txt
4,BCL6,69,93,162,MM1.H3K27ac_DEGREE_TABLE.txt
5,BCLAF1,77,91,168,MM1.H3K27ac_DEGREE_TABLE.txt
6,BHLHA15,74,76,150,MM1.H3K27ac_DEGREE_TABLE.txt
7,BHLHE41,92,46,138,MM1.H3K27ac_DEGREE_TABLE.txt
8,CEBPB,76,78,154,MM1.H3K27ac_DEGREE_TABLE.txt
9,CEBPG,57,85,142,MM1.H3K27ac_DEGREE_TABLE.txt
10,CHD2,88,89,177,MM1.H3K27ac_DEGREE_TABLE.txt
11,CREB3L2,91,77,168,MM1.H3K27ac_DEGREE_TABLE.txt
12,DBP,87,85,172,MM1.H3K27ac_DEGREE_TABLE.txt
13,DDIT3,84,78,162,MM1.H3K27ac_DEGREE_TABLE.txt
14,DEAF1,75,82,157,MM1.H3K27ac_DEGREE_TABLE.txt
15,DMRT2,78,69,147,MM1.H3K27ac_DEGREE_TABLE.txt
16,ERF,90,68,158,MM1.H3K27ac_DEGREE_TABLE.txt
17,ESR1,57,92,149,MM1.H3K27ac_DEGREE_TABLE.txt
18,ESRRA,67,92,159,MM1.H3K27ac_DEGREE_TABLE.txt
19,ETV6,76,84,160,MM1.H3K27ac_DEGREE_TABLE.txt
20,FLI1,90,89,179,MM1.H3K27ac_DEGREE_TABLE.txt
21,FOXD4L5,83,74,157,MM1.H3K27ac_DEGREE_TABLE.txt
22,FOXN3,89,72,161,MM1.H3K27ac_DEGREE_TABLE.txt
23,FOXO3,80,93,173,MM1.H3K27ac_DEGREE_TABLE.txt
24,FOXP1,76,91,167,MM1.H3K27ac_DEGREE_TABLE.txt
25,FOXP2,77,87,164,MM1.H3K27ac_DEGREE_TABLE.txt
26,HEY2,83,64,147,MM1.H3K27ac_DEGREE_TABLE.txt
27,HIVEP2,84,80,164,MM1.H3K27ac_DEGREE_TABLE.txt
28,IKZF1,92,85,177,MM1.H3K27ac_DEGREE_TABLE.txt
29,IKZF3,91,93,184,MM1.H3K27ac_DEGREE_TABLE.txt
30,IRF1,92,92,184,MM1.H3K27ac_DEGREE_TABLE.txt
31,IRF2,92,80,172,MM1.H3K27ac_DEGREE_TABLE.txt
32,IRF4,91,83,174,MM1.H3K27ac_DEGREE_TABLE.txt
33,JUN,72,84,156,MM1.H3K27ac_DEGREE_TABLE.txt
34,JUNB,88,85,173,MM1.H3K27ac_DEGREE_TABLE.txt
35,JUND,69,93,162,MM1.H3K27ac_DEGREE_TABLE.txt
36,KLF13,92,64,156,MM1.H3K27ac_DEGREE_TABLE.txt
37,KLF2,83,87,170,MM1.H3K27ac_DEGREE_TABLE.txt
38,KLF3,81,89,170,MM1.H3K27ac_DEGREE_TABLE.txt
39,KLF6,87,82,169,MM1.H3K27ac_DEGREE_TABLE.txt
40,KLF7,71,93,164,MM1.H3K27ac_DEGREE_TABLE.txt
41,KLF9,87,91,178,MM1.H3K27ac_DEGREE_TABLE.txt
42,MEF2A,72,91,163,MM1.H3K27ac_DEGREE_TABLE.txt
43,MEF2C,91,87,178,MM1.H3K27ac_DEGREE_TABLE.txt
44,MEF2D,91,84,175,MM1.H3K27ac_DEGREE_TABLE.txt
45,MYBL2,76,70,146,MM1.H3K27ac_DEGREE_TABLE.txt
46,MYC,75,73,148,MM1.H3K27ac_DEGREE_TABLE.txt
47,MZF1,65,91,156,MM1.H3K27ac_DEGREE_TABLE.txt
48,NFE2L2,83,78,161,MM1.H3K27ac_DEGREE_TABLE.txt
49,NFE2L3,86,89,175,MM1.H3K27ac_DEGREE_TABLE.txt
50,NOBOX,82,49,131,MM1.H3K27ac_DEGREE_TABLE.txt
51,NR1D1,85,91,176,MM1.H3K27ac_DEGREE_TABLE.txt
52,NR1D2,81,68,149,MM1.H3K27ac_DEGREE_TABLE.txt
53,NR3C1,87,88,175,MM1.H3K27ac_DEGREE_TABLE.txt
54,NR4A2,83,90,173,MM1.H3K27ac_DEGREE_TABLE.txt
55,POU2F2,83,93,176,MM1.H3K27ac_DEGREE_TABLE.txt
56,PRDM1,93,90,183,MM1.H3K27ac_DEGREE_TABLE.txt
57,PRDM10,70,49,119,MM1.H3K27ac_DEGREE_TABLE.txt
58,RFX1,85,90,175,MM1.H3K27ac_DEGREE_TABLE.txt
59,RFX3,81,88,169,MM1.H3K27ac_DEGREE_TABLE.txt
60,RORA,79,91,170,MM1.H3K27ac_DEGREE_TABLE.txt
61,RUNX1,92,76,168,MM1.H3K27ac_DEGREE_TABLE.txt
62,SPI1,69,93,162,MM1.H3K27ac_DEGREE_TABLE.txt
63,SREBF2,79,82,161,MM1.H3K27ac_DEGREE_TABLE.txt
64,TCF12,69,92,161,MM1.H3K27ac_DEGREE_TABLE.txt
65,TCF3,86,93,179,MM1.H3K27ac_DEGREE_TABLE.txt
66,TCF4,74,82,156,MM1.H3K27ac_DEGREE_TABLE.txt
67,THRA,85,87,172,MM1.H3K27ac_DEGREE_TABLE.txt
68,TP53,78,84,162,MM1.H3K27ac_DEGREE_TABLE.txt
69,USF1,78,82,160,MM1.H3K27ac_DEGREE_TABLE.txt
70,VSX1,75,80,155,MM1.H3K27ac_DEGREE_TABLE.txt
71,XBP1,84,59,143,MM1.H3K27ac_DEGREE_TABLE.txt
72,ZBTB1,88,54,142,MM1.H3K27ac_DEGREE_TABLE.txt
73,ZBTB38,93,73,166,MM1.H3K27ac_DEGREE_TABLE.txt
74,ZBTB7A,79,84,163,MM1.H3K27ac_DEGREE_TABLE.txt
75,ZFP91,87,75,162,MM1.H3K27ac_DEGREE_TABLE.txt
76,ZFX,86,92,178,MM1.H3K27ac_DEGREE_TABLE.txt
77,ZNF117,83,93,176,MM1.H3K27ac_DEGREE_TABLE.txt
78,ZNF143,77,88,165,MM1.H3K27ac_DEGREE_TABLE.txt
79,ZNF215,86,78,164,MM1.H3K27ac_DEGREE_TABLE.txt
80,ZNF217,89,56,145,MM1.H3K27ac_DEGREE_TABLE.txt
81,ZNF460,86,92,178,MM1.H3K27ac_DEGREE_TABLE.txt
82,ZNF483,72,89,161,MM1.H3K27ac_DEGREE_TABLE.txt
83,ZNF526,86,85,171,MM1.H3K27ac_DEGREE_TABLE.txt
84,ZNF543,86,93,179,MM1.H3K27ac_DEGREE_TABLE.txt
85,ZNF554,78,60,138,MM1.H3K27ac_DEGREE_TABLE.txt
86,ZNF555,78,91,169,MM1.H3K27ac_DEGREE_TABLE.txt
87,ZNF556,78,67,145,MM1.H3K27ac_DEGREE_TABLE.txt
88,ZNF574,83,93,176,MM1.H3K27ac_DEGREE_TABLE.txt
89,ZNF655,60,89,149,MM1.H3K27ac_DEGREE_TABLE.txt
90,ZNF710,84,77,161,MM1.H3K27ac_DEGREE_TABLE.txt
91,ZNF775,86,88,174,MM1.H3K27ac_DEGREE_TABLE.txt
92,ZNF805,86,84,170,MM1.H3K27ac_DEGREE_TABLE.txt
93,ABI3,40,9,49,MM4_jia_DEGREE_TABLE.txt
94,ARF1,23,7,30,MM4_jia_DEGREE_TABLE.txt
95,ARID5A,27,39,66,MM4_jia_DEGREE_TABLE.txt
96,ATF3,40,57,97,MM4_jia_DEGREE_TABLE.txt
97,BCL6B,50,51,101,MM4_jia_DEGREE_TABLE.txt
98,BCLAF1,39,53,92,MM4_jia_DEGREE_TABLE.txt
99,BHLHE41,36,15,51,MM4_jia_DEGREE_TABLE.txt
100,CAMTA2,44,5,49,MM4_jia_DEGREE_TABLE.txt
101,CEBPB,35,27,62,MM4_jia_DEGREE_TABLE.txt
102,CHD2,38,44,82,MM4_jia_DEGREE_TABLE.txt
103,ELF2,32,33,65,MM4_jia_DEGREE_TABLE.txt
104,ESRRA,30,51,81,MM4_jia_DEGREE_TABLE.txt
105,ETV5,33,24,57,MM4_jia_DEGREE_TABLE.txt
106,FOSB,45,20,65,MM4_jia_DEGREE_TABLE.txt
107,HBP1,42,43,85,MM4_jia_DEGREE_TABLE.txt
108,HIVEP2,45,35,80,MM4_jia_DEGREE_TABLE.txt
109,IRF2,37,38,75,MM4_jia_DEGREE_TABLE.txt
110,JUN,35,41,76,MM4_jia_DEGREE_TABLE.txt
111,JUNB,46,44,90,MM4_jia_DEGREE_TABLE.txt
112,JUND,33,54,87,MM4_jia_DEGREE_TABLE.txt
113,KLF13,28,19,47,MM4_jia_DEGREE_TABLE.txt
114,KLF2,53,37,90,MM4_jia_DEGREE_TABLE.txt
115,KLF6,46,22,68,MM4_jia_DEGREE_TABLE.txt
116,KLF7,27,53,80,MM4_jia_DEGREE_TABLE.txt
117,KLF9,40,38,78,MM4_jia_DEGREE_TABLE.txt
118,MEF2A,37,52,89,MM4_jia_DEGREE_TABLE.txt
119,MYBL2,38,30,68,MM4_jia_DEGREE_TABLE.txt
120,MYNN,35,22,57,MM4_jia_DEGREE_TABLE.txt
