GENE	p300H3K27ac_33_DMSO_compare_TSS_SIGNAL	p300H3K27ac_33_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
C18orf1	4870.4	1509.679	-3360.721	0.236623872525716	-1.68979843913168
UBE2D3	4452.1926	1465.7909	-2986.4017	0.247684181613551	-1.60283669156553
ATP2C1	6679.6509	3783.44	-2896.2109	0.361598693556222	-0.820074138583709
CCL5	2487	183.463	-2303.537	0.0687008207939971	-3.76084546634286
IQCG	2770.6734	494.2471	-2276.4263	0.151381052004176	-2.48693225352123
GCFC1	2444.1606	285.0746	-2159.086	0.104452192321131	-3.09992767761311
CBLL1	2288.8	174.2105	-2114.5895	0.0707307175507372	-3.71568791711461
C21orf49	2397.8645	285.0746	-2112.7899	0.106254592211951	-3.07233872962814
BIRC3	3732.4	1628.6605	-2103.7395	0.303794463800586	-1.1964177072405
WRAP53	2093.0803	32.1239	-2060.9564	0.0151156768841319	-6.02583679693214
MAP2K3	2584.93	525.8309	-2059.0991	0.169036103031898	-2.2974543845428
BRD2	3957.2248	2055.7381	-1901.4867	0.341884381159245	-0.944832545903533
HOOK1	1873.188	0	-1873.188	0	-8
IVNS1ABP	2273	403.6931	-1869.3069	0.150817850578387	-2.49326685083469
TRPV3	3013.4	1177.4079	-1835.9921	0.280950100337455	-1.35577797681733
BLZF1	1853.2074	58.6625	-1794.5449	0.030683311662577	-4.98144198280902
NME7	1853.2074	58.6625	-1794.5449	0.030683311662577	-4.98144198280902
NDNL2	1853.6	102.808	-1750.792	0.0525493659809201	-4.17230551205166
C7orf55	2674.6	969.8978	-1704.7022	0.266126597744139	-1.46341850441838
ACBD6	1836.6	134.4552	-1702.1448	0.0682148323395509	-3.77183999365425
NFIA	2560.0542	865.1966	-1694.8576	0.252593649492761	-1.5650744534576
TBL1X	1944.1282	257.5062	-1686.622	0.116961381054002	-2.91644428277294
KLHL20	1761.7782	89.2035	-1672.5747	0.0481925348046391	-4.30378817958431
CSTF2T	1698.1224	36.9474	-1661.175	0.0212944747237258	-5.52232379626345
CENPL	1733.0297	74.2034	-1658.8263	0.0410591196011184	-4.54566727618888
GART	2293.7667	638.9437	-1654.823	0.217867983146239	-1.84395794168585
RPL22L1	1897.6683	287.3836	-1610.2847	0.131522551020413	-2.72317820116288
C7orf13	1856.93	270.5466	-1586.3834	0.127167838179748	-2.77897041557929
RNF32	1856.93	270.5466	-1586.3834	0.127167838179748	-2.77897041557929
TXNDC9	1626.1108	53.8785	-1572.2323	0.0320707399743558	-4.91557206682157
BCLAF1	1900.6	329.2855	-1571.3145	0.147669241313063	-2.52904404479447
MIR155	1781.6	211.8111	-1569.7889	0.106255603773853	-3.07232336211302
GPATCH2	1538.4161	0	-1538.4161	0	-8
BAT2L2	1860.2	333.6722	-1526.5278	0.152092815616151	-2.47895434342544
CLTC	2289.2	764.869	-1524.331	0.250442606241051	-1.58155892997566
SPATA17	1510.915	0	-1510.915	0	-8
HNRNPR	1949.2	455.0964	-1494.1036	0.189284648930972	-2.09863804849108
THAP5	1975.7505	484.072	-1491.6785	0.196791435154366	-2.02910722082694
RBBP5	1580.422	88.988	-1491.434	0.0533050598714516	-4.15055522185321
NUF2	1609	117.9779	-1491.0221	0.0683146553294052	-3.7695757863318
GAS5	1559.0916	74.2034	-1484.8882	0.0454317193158615	-4.39307658909968
C3orf58	1552.2818	75.416	-1476.8658	0.0463329249446672	-4.36337604358252
DENND4A	2573	1096.4588	-1476.5412	0.298806679611718	-1.23059985404552
DLD	1665.1296	194.9261	-1470.2035	0.104795840253601	-3.09463528815699
DARS2	1534.6469	74.2034	-1460.4435	0.046122004017403	-4.37027764769003
NCOR1	1480.0358	19.9628	-1460.073	0.0133085457546427	-6.21217417427894
DNAJB9	1920.1845	484.072	-1436.1125	0.201339582527904	-1.98795138582038
ETV1	1424.802	0	-1424.802	0	-8
GMPPB	1699.8	278.5729	-1421.2271	0.140809096202238	-2.60923818526346
SNORD74	1491.6152	74.2034	-1417.4118	0.0473895251978741	-4.32924630091147
EIF4E	1487.0952	77.49	-1409.6052	0.0495275041589298	-4.26234305356067
TRIM23	1429.7414	21.4536	-1408.2878	0.0147834026440279	-6.05839065938025
DDX18	1883.2704	476.617	-1406.6534	0.201965992106234	-1.98233784132536
MIR623	1415.0936	10.0375	-1405.0561	0.00704321167364883	-7.13935368391601
GORAB	1447.4	47.6602	-1399.7398	0.0318784487741698	-4.92453486086701
SNORD75	1469.9978	74.2034	-1395.7944	0.0480529350708962	-4.30818489304784
OPA1	1434.4	42.98	-1391.42	0.0290920413163844	-5.06063810032795
