GENE	p300H3K27ac_33_DMSO_compare_TSS_SIGNAL	p300H3K27ac_33_DMSO_compare_DISTAL_SIGNAL
A1BG	0.0	455.28610000000003
A1BG-AS1	0.0	455.28610000000003
A2LD1	714.375	303.1833
A2M	0.0	23.9316
A2ML1	0.0	0.0
A4GALT	0.0	1276.6115
A4GNT	0.0	971.4438
AAA1	0.0	3326.8922000000002
AAAS	771.8969999999999	3706.5357999999997
AACS	306.76050000000004	854.973
AADAT	0.0	1263.0868
AAGAB	732.1851	1612.0391
AAK1	1419.2	1689.364
AAMP	841.7572	6020.308
AANAT	0.0	7058.2039
AARS	1024.6	2652.7044
AARS2	679.6224	3195.8179000000005
AARSD1	592.0404	1441.3620000000003
AASDH	1083.8000000000002	1207.9705
AASDHPPT	1094.9538000000002	420.966
AASS	1019.8589000000001	1403.1744
AATF	698.2605	10.303199999999999
AATK	0.0	92.1003
ABAT	0.0	255.4464
ABCA1	474.35400000000004	3765.8684
ABCA10	0.0	373.51800000000003
ABCA11P	449.03880000000004	4.3844
ABCA12	0.0	164.3889
ABCA13	0.0	2954.6107
ABCA17P	0.0	162.9022
ABCA2	0.0	850.266
ABCA3	0.0	162.9022
ABCA5	1129.0944	1207.35
ABCA7	833.6	9103.005799999999
ABCB1	0.0	5.0556
ABCB10	969.6	940.9416
ABCB11	0.0	965.957
ABCB5	0.0	532.7532
ABCB6	921.0132	1972.3115999999998
ABCB7	440.8288	0.0
ABCB8	1444.8000000000002	2833.6025000000004
ABCB9	517.2537	12248.925299999999
ABCC1	481.0	1390.2476000000001
ABCC10	563.9508000000001	862.6173999999999
ABCC11	0.0	783.6496
ABCC12	0.0	132.0426
ABCC13	0.0	0.0
ABCC2	0.0	93.0512
ABCC3	0.0	1398.5943000000002
ABCC4	0.0	330.3355
ABCC5	939.3603	272.9809
ABCC6	0.0	1193.9415
ABCC6P1	0.0	1629.6013
ABCC6P2	0.0	579.1206000000001
ABCC8	0.0	2259.9732
ABCD1	238.00869999999998	700.6229999999998
ABCD2	1462.0	1200.0044
ABCD3	422.75759999999997	0.0
ABCD4	221.4415	86.6166
ABCE1	1207.2618	1644.0394000000001
ABCF1	953.853	4348.3079
ABCF2	742.6	216.1928
ABCF3	1082.0	361.7095
ABCG1	788.606	10099.670699999999
ABCG2	0.0	2567.7597
ABCG4	0.0	2564.9751
ABCG5	0.0	0.0
ABCG8	0.0	0.0
ABHD1	0.0	7977.4311
ABHD10	803.6216999999999	2205.0548
ABHD11	1173.6684	3535.7011999999995
ABHD12	777.8000000000001	12003.942299999997
ABHD12B	0.0	664.7011
ABHD13	518.0842	54.6448
ABHD14A	454.5805	544.3225
ABHD14B	571.5794999999999	544.3225
ABHD15	1077.9368	1805.0735
ABHD2	642.9258	12686.587
ABHD3	807.7167	2163.5511
ABHD4	530.1419999999999	8174.766600000001
ABHD5	850.1999999999999	507.40259999999995
ABHD6	455.30550000000005	391.0407
ABHD8	0.0	3162.9961
ABI1	594.7392	4839.1262
ABI2	437.95799999999997	521.4607
ABI3	0.0	1753.122
ABL1	278.0089	173.26080000000002
ABL2	563.6	6625.188
ABLIM1	944.8924000000001	429.8976
ABO	0.0	122.33440000000002
ABP1	0.0	1177.0136000000002
ABR	577.0	6016.849200000001
ABRA	0.0	1018.2923999999999
ABT1	651.8148	7191.119500000001
ABTB1	610.652	2237.8753
ABTB2	296.1375	321.984
ACAA1	731.0207	70.6164
ACAA2	607.5738	1633.5541
ACACA	1266.6884000000002	1489.3575999999998
ACACB	0.0	3580.6015999999995
ACAD10	259.1892	121.94
ACAD11	1193.5356000000002	2945.1594
ACAD8	593.047	1254.7016
ACAD9	1111.0	1249.2703000000001
ACADL	0.0	746.1111
ACADM	608.307	641.2447000000001
ACADS	0.0	1247.9375000000002
ACADSB	885.5300000000001	33.3207
ACADVL	510.6327999999999	3592.1045
