GENE	p300H3K27ac_33_DMSO_compare_TSS_SIGNAL	p300H3K27ac_33_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
C18orf1	4870.4	1509.679	-3360.721	0.236623872525716	-1.68979843913168
UBE2D3	4452.1926	1465.7909	-2986.4017	0.247684181613551	-1.60283669156553
ATP2C1	6679.6509	3783.44	-2896.2109	0.361598693556222	-0.820074138583709
BIRC3	3732.4	1628.6605	-2103.7395	0.303794463800586	-1.1964177072405
BRD2	3957.2248	2055.7381	-1901.4867	0.341884381159245	-0.944832545903533
TRPV3	3013.4	1177.4079	-1835.9921	0.280950100337455	-1.35577797681733
C7orf55	2674.6	969.8978	-1704.7022	0.266126597744139	-1.46341850441838
DENND4A	2573	1096.4588	-1476.5412	0.298806679611718	-1.23059985404552
UBE2M	2440.8982	1239.6918	-1201.2064	0.336818770903578	-0.97743063087656
EIF4A2	2541.952	1508.4151	-1033.5369	0.372414416461165	-0.752903290234403
DCAKD	2541.7964	1685.4638	-856.3326	0.398713048229205	-0.592702832115546
MRPL47	2782.488	2020.6993	-761.7887	0.420699667489544	-0.46152081525994
GPBP1	2502.4	1751.8733	-750.5267	0.411791433333632	-0.514413978476022
NDUFB5	2736.092	2020.6993	-715.3927	0.424803017950357	-0.437262090655088
RGS2	2615.8	1960.1974	-655.6026	0.428365059822805	-0.416253291808875
MYNN	2232.1811	1587.8492	-644.3319	0.415664032821939	-0.491380175341864
CD55	2897.0316	2258.6718	-638.3598	0.438091880925501	-0.359100768405355
TRA2B	2106.4032	1529.7656	-576.6376	0.420708081539009	-0.461471006874481
GPBP1L1	2287.0168	1716.4421	-570.5747	0.428739782991153	-0.414045771250651
CLCN6	2490.1776	1962.3368	-527.8408	0.440725537013423	-0.343675963683523
MTHFR	2490.1776	1962.3368	-527.8408	0.440725537013423	-0.343675963683523
HSPD1	2179.9156	1805.3271	-374.5885	0.453003050479209	-0.272012022179226
DSCR3	2683.6	2310.2522	-373.3478	0.462619258135032	-0.21611929593673
HSPE1	2163.7876	1805.3271	-358.4605	0.454843771584631	-0.26129863248714
MDM2	3046.4	2748.426	-297.974	0.474289650802285	-0.148499747704717
DALRD3	2119.1265	1922.3518	-196.7747	0.475655603544871	-0.140597330420019
NFKB2	2782.5805	2609.575	-173.0055	0.483957667763847	-0.0926085592505301
AHCYL2	2214.8798	2055.883	-158.9968	0.481385433065962	-0.107470243534527
LPXN	4486.2275	4344.3443	-141.883199999999	0.491966363944858	-0.0463643376259786
SLC1A5	2386.7347	2249.9737	-136.761	0.485252361351859	-0.0851300732089363
YPEL5	2334.6	2219.6407	-114.9593	0.487378873057807	-0.0728492241098165
MXI1	2256.7818	2189.0587	-67.7231000000002	0.492383543674138	-0.0439562951890429
AMPD1	2146	2100.0011	-45.9988999999996	0.494583268007161	-0.0312599925058322
FBXO40	3146.6	3107.0319	-39.5680999999995	0.496836390386201	-0.0182567392354395
GFI1	1997.1325	2002.243	5.11050000000023	0.500638912250175	0.00368702414633195
FAM96A	1755.957	1882.168	126.211	0.517345610719808	0.100137890511241
MX1	1852.0945	1980.4802	128.3857	0.516749275624034	0.0966925663034442
POU2F1	2760.7403	2917.892	157.1517	0.513837108276935	0.0798713042707082
HNRNPL	2051.8	2219.5791	167.7791	0.519639921448321	0.113396012920799
TSEN15	2137.6	2322.9595	185.3595	0.520777606486361	0.119972088549496
PARP8	1781.7755	1986.9086	205.1331	0.527215480862405	0.157209936799631
KIAA0319L	2182.4075	2459.8935	277.485999999999	0.529886687657694	0.172675348665231
NCDN	2122.9805	2459.8935	336.913	0.536757829257361	0.212504736211529
LOC147727	1642.3968	1987.2472	344.8504	0.547504713960928	0.274968623520067
NFE2L2	2670.3264	3098.034	427.707600000001	0.537073585069338	0.214336880812691
ING3	2061	2499.0317	438.0317	0.548029457777673	0.278024697124771
FAM76B	1606.4584	2093.2741	486.8157	0.565790661892448	0.381877613039332
HSPBAP1	1912.7957	2406.5443	493.7486	0.557155560803271	0.331280188916109
FLJ39739	2634.336	3129.2875	494.951500000001	0.542937528795904	0.248394842909457
NR4A1	2485.2	2989.9668	504.7668	0.546096020307546	0.266767505719697
TRIM59	1862.25	2372.7234	510.4734	0.560268784687054	0.349497166063763
ZNF398	2663.0992	3210.0034	546.904199999999	0.546560075419081	0.269468655736424
SMC4	1788.0614	2372.7234	584.662	0.570258620441028	0.40814765041681
TLCD1	2156.6367	2752.4296	595.7929	0.560682914386387	0.351922498614957
FKBP7	1628.6623	2237.2742	608.6119	0.578714678836551	0.458054588901021
TOR3A	3644.4	4260.3789	615.9789	0.538962437013893	0.225300428985768
