Tf	In_Degree	Out_Degree	Total_Connections
ARID5A	106	106	212
ATF5	86	111	197
BCL6B	105	113	218
BHLHE22	111	100	211
BHLHE40	110	96	206
BHLHE41	110	71	181
CAMTA1	101	45	146
CAMTA2	108	29	137
CEBPB	89	93	182
CREB3L1	99	87	186
CREB3L4	109	88	197
CTCF	95	113	208
DBP	101	103	204
DDIT3	102	104	206
E2F2	107	107	214
E2F4	109	103	212
ETV6	101	109	210
FERD3L	111	103	214
FIZ1	111	113	224
FLI1	109	113	222
FOSL1	112	91	203
FOXH1	111	102	213
FOXO3	105	113	218
FOXP2	104	105	209
GFI1	106	110	216
GLI1	106	110	216
GMEB2	80	75	155
GZF1	110	71	181
HINFP	108	110	218
HSF4	109	85	194
IRF2	105	95	200
IRF3	105	111	216
IRF4	108	108	216
IRF5	100	106	206
IRX2	110	99	209
JUNB	109	107	216
JUND	84	113	197
KLF10	101	113	214
KLF13	112	88	200
KLF16	103	113	216
KLF2	111	111	222
KLF6	98	108	206
KLF9	108	111	219
MAF	101	112	213
MAZ	112	113	225
MEF2D	109	108	217
MNX1	107	91	198
MXI1	107	106	213
MYC	113	98	211
MZF1	95	111	206
NFAT5	100	105	205
NFE2L1	106	102	208
NFE2L2	98	100	198
NFE2L3	112	108	220
NFIC	97	108	205
NFKB2	104	107	211
NR3C1	109	110	219
POU2F1	93	113	206
PRDM1	111	111	222
PRDM10	88	87	175
RAD21	103	113	216
RARA	110	113	223
RORA	112	113	225
RUNX2	106	113	219
RUNX3	109	112	221
RXRB	97	111	208
SMAD2	85	102	187
SMAD7	113	92	205
SP3	86	113	199
SREBF1	101	105	206
SREBF2	108	103	211
STAT1	108	113	221
TBX6	101	105	206
TCF4	107	106	213
TFAP2A	105	113	218
TGIF1	104	103	207
THAP1	106	113	219
THAP11	102	94	196
TWIST1	111	105	216
USF2	76	112	188
ZBTB1	100	79	179
ZBTB3	97	111	208
ZBTB32	105	85	190
ZBTB38	110	99	209
ZBTB7A	100	112	212
ZBTB7B	111	105	216
ZFP62	111	112	223
ZFP91	107	109	216
ZNF114	105	85	190
ZNF131	87	103	190
ZNF217	110	81	191
ZNF22	109	102	211
ZNF251	98	108	206
ZNF267	99	113	212
ZNF276	83	113	196
ZNF335	86	109	195
ZNF34	98	93	191
ZNF497	97	111	208
ZNF517	98	113	211
ZNF524	111	110	221
ZNF579	92	113	205
ZNF580	111	111	222
ZNF581	111	108	219
ZNF584	97	95	192
ZNF623	76	112	188
ZNF688	100	85	185
ZNF689	97	104	201
ZNF764	100	85	185
ZNF768	100	113	213
ZNF775	106	107	213
ZNF784	111	109	220
ZNF785	82	85	167
ZNF837	97	113	210
