Tf	In_Degree	Out_Degree	Total_Connections
AIRE	119	123	242
ARID3A	102	120	222
ARID5A	110	125	235
ATF3	103	127	230
ATF4	125	122	247
ATF5	127	123	250
BHLHE40	124	112	236
BHLHE41	124	81	205
CAD	97	121	218
CAMTA2	121	24	145
CEBPB	107	117	224
CHD2	122	124	246
CREB3L2	124	114	238
CREB3L4	125	99	224
CTCF	112	127	239
CUX1	123	119	242
DDIT3	118	115	233
DMRTC2	121	90	211
E2F2	127	125	252
E2F3	118	127	245
E2F4	124	118	242
E2F6	114	127	241
ELF2	108	113	221
ELK3	113	98	211
ERF	97	109	206
FLI1	123	126	249
FOSB	112	70	182
FOSL1	117	113	230
FOSL2	102	117	219
FOXJ1	125	125	250
FOXK2	121	111	232
FOXN3	121	100	221
GLI1	118	125	243
HIVEP2	111	122	233
HOMEZ	110	102	212
HSF4	122	101	223
IKZF1	118	126	244
IKZF3	123	127	250
IRF1	126	126	252
IRF2	115	112	227
IRF3	116	126	242
IRF4	127	125	252
IRF5	108	122	230
IRF9	115	123	238
IRX5	110	122	232
JUNB	122	120	242
KLF1	124	127	251
KLF10	124	127	251
KLF11	107	125	232
KLF13	118	108	226
KLF16	121	127	248
KLF3	116	126	242
KLF6	120	121	241
KLF9	121	126	247
MAFF	127	127	254
MAZ	122	127	249
MEF2B	123	125	248
MEF2D	125	126	251
MLX	127	88	215
MYBL2	125	104	229
MYCL1	122	97	219
MYNN	112	102	214
MZF1	106	127	233
NFE2L1	125	112	237
NFE2L2	97	118	215
NFE2L3	125	126	251
NFIB	113	119	232
NFIL3	121	114	235
NFIX	123	123	246
NR1D1	126	124	250
NR1I3	125	103	228
NR3C1	94	121	215
NR6A1	120	109	229
ONECUT2	124	112	236
PBX4	114	111	225
PIF1	127	101	228
PKNOX1	90	124	214
POU2F1	102	126	228
POU2F2	123	127	250
POU3F1	122	125	247
POU5F1	116	125	241
PRDM1	125	127	252
PRDM15	113	127	240
RARA	121	127	248
RARG	116	127	243
RORA	127	126	253
RUNX1	124	120	244
SIN3A	109	127	236
SMAD7	122	115	237
SNAI3	119	123	242
SOX11	110	127	237
SP3	103	127	230
STAT1	120	127	247
STAT2	115	126	241
TCF3	111	127	238
TFAP4	103	116	219
THAP11	111	120	231
THRA	126	127	253
XBP1	126	104	230
ZBTB38	126	118	244
ZBTB7B	124	120	244
ZFP1	114	127	241
ZFP62	125	127	252
ZFP91	119	122	241
ZNF114	118	103	221
ZNF132	110	127	237
ZNF217	125	101	226
ZNF3	109	110	219
ZNF334	115	120	235
ZNF48	123	126	249
ZNF483	110	125	235
ZNF497	110	125	235
ZNF574	123	127	250
ZNF584	110	119	229
ZNF592	101	70	171
ZNF652	123	127	250
ZNF680	121	127	248
ZNF688	117	99	216
ZNF689	121	126	247
ZNF740	116	127	243
ZNF764	117	94	211
ZNF768	117	127	244
ZNF771	111	106	217
ZNF785	117	99	216
ZNF79	114	123	237
ZNF837	110	126	236
ZNF846	112	114	226
