Tf	In_Degree	Out_Degree	Total_Connections
ARF1	93	39	132
ARF4	99	52	151
ARF5	67	41	108
ARID5A	106	103	209
ATF5	114	109	223
BARX2	116	100	216
BCL6B	99	117	216
BHLHA15	80	86	166
BHLHE41	114	56	170
CAMTA2	108	28	136
CEBPG	82	100	182
CHD2	109	113	222
CNOT3	76	99	175
CREB1	97	108	205
CREB3L2	114	94	208
DMRTC2	114	74	188
ERF	105	97	202
ESRRA	105	118	223
FIZ1	107	115	222
FLI1	98	115	213
FOSB	110	62	172
FOXO3	105	115	220
FOXP2	101	103	204
HBP1	101	113	214
HES1	106	106	212
HES5	103	79	182
HES7	109	110	219
IKZF1	116	108	224
IRF1	115	116	231
IRF3	110	117	227
IRF4	113	114	227
JUNB	115	108	223
JUND	91	117	208
KLF10	96	115	211
KLF13	117	80	197
KLF15	67	118	185
KLF16	95	113	208
KLF2	100	111	211
KLF6	106	91	197
KLF9	110	114	224
LHX6	86	103	189
MECP2	103	76	179
MEF2A	94	117	211
MEF2C	105	113	218
MEF2D	112	112	224
MNT	109	58	167
MYNN	80	81	161
MZF1	109	117	226
NFE2L2	93	89	182
NFE2L3	109	113	222
NFIL3	102	93	195
NFKB1	89	116	205
NFKB2	101	103	204
NR1D1	112	113	225
NR1D2	98	83	181
NR1H2	72	96	168
NR3C1	110	107	217
NR4A3	102	83	185
OVOL1	92	85	177
PAX4	104	118	222
PBX2	102	93	195
PBX4	108	91	199
POU2F2	107	118	225
POU5F1	105	115	220
PRDM1	114	115	229
PRDM10	83	70	153
RARA	114	118	232
RAX2	78	62	140
RELA	94	118	212
RELB	85	79	164
RFX1	82	113	195
RFX3	99	110	209
RORA	86	115	201
RUNX1	103	96	199
RXRB	100	110	210
SIN3A	105	116	221
SMAD7	115	100	215
SNAPC4	97	87	184
SPIB	72	117	189
TCF12	98	113	211
TFEB	94	67	161
TGIF2	96	96	192
THRA	112	108	220
XBP1	100	91	191
ZBTB1	105	68	173
ZBTB3	93	110	203
ZBTB32	103	74	177
ZBTB38	117	90	207
ZBTB7A	102	107	209
ZFP91	109	104	213
ZFX	85	118	203
ZKSCAN1	74	106	180
ZNF114	104	68	172
ZNF283	105	116	221
ZNF331	95	117	212
ZNF444	75	105	180
ZNF460	108	118	226
ZNF483	83	108	191
ZNF497	93	109	202
ZNF524	107	114	221
ZNF526	105	109	214
ZNF541	84	103	187
ZNF542	81	102	183
ZNF543	108	115	223
ZNF574	110	115	225
ZNF580	112	111	223
ZNF581	112	98	210
ZNF584	93	83	176
ZNF592	98	44	142
ZNF689	106	102	208
ZNF710	115	103	218
ZNF774	77	112	189
ZNF775	108	111	219
ZNF784	112	112	224
ZNF787	75	97	172
ZNF805	108	112	220
ZNF837	93	112	205
ZSCAN21	74	108	182
