Tf	In_Degree	Out_Degree	Total_Connections
ARF1	122	53	175
ARF4	120	71	191
ATF3	114	128	242
ATF5	122	122	244
ATF6	120	90	210
BACH1	117	100	217
BCL11A	117	127	244
BCL6B	110	128	238
BCLAF1	118	126	244
BHLHE41	124	74	198
BRCA1	110	72	182
CAMTA2	118	47	165
CEBPB	113	109	222
CEBPG	109	108	217
CHD2	126	125	251
CREB3L2	125	111	236
CREB3L4	119	102	221
DDIT3	116	121	237
DMRTA1	103	80	183
ELF1	120	127	247
ELF2	102	112	214
ERF	95	108	203
ESRRA	89	128	217
FIZ1	99	128	227
FOXO3	117	124	241
FOXP1	100	127	227
FOXP2	114	113	227
GZF1	121	48	169
HAP1	117	20	137
HBP1	109	121	230
HEY2	118	93	211
HINFP	118	123	241
HIVEP2	117	122	239
IKZF1	120	123	243
IKZF3	127	128	255
IRF1	121	127	248
IRF2	124	105	229
IRF3	118	127	245
IRF4	125	121	246
IRF9	110	118	228
JUNB	117	116	233
JUND	106	128	234
KLF1	123	127	250
KLF13	127	111	238
KLF16	116	127	243
KLF2	115	124	239
KLF6	115	122	237
KLF9	120	126	246
MAZ	124	127	251
MEF2C	127	122	249
MEF2D	124	118	242
MYBL2	114	94	208
MYNN	116	96	212
MZF1	115	128	243
NFE2	113	99	212
NFE2L1	125	111	236
NFE2L2	124	104	228
NFE2L3	122	122	244
NFIL3	117	97	214
NFIX	123	122	245
NFKB1	96	128	224
NFKB2	106	125	231
NHLH1	107	125	232
NR3C1	120	119	239
NR4A2	118	127	245
PAX4	119	128	247
PBX2	105	95	200
PBX4	113	103	216
PLAGL2	109	128	237
POU2F1	108	127	235
POU5F1	114	123	237
PRDM1	128	126	254
PRDM10	95	90	185
PRDM14	109	124	233
RAX2	97	66	163
RFX1	97	128	225
RFX3	114	126	240
RFX5	108	128	236
RFX7	107	71	178
RUNX1	120	111	231
RXRB	117	128	245
SF1	116	106	222
SIN3A	114	128	242
SP1	111	128	239
SP3	105	127	232
STAT2	109	125	234
TBP	105	128	233
TCF12	117	127	244
TCF3	112	128	240
TCF4	119	127	246
THAP1	122	128	250
USF1	109	118	227
XBP1	122	103	225
ZBTB1	120	101	221
ZBTB11	117	128	245
ZBTB20	114	102	216
ZBTB32	114	92	206
ZBTB38	127	109	236
ZBTB7A	114	125	239
ZBTB7B	127	128	255
ZFP91	120	121	241
ZNF114	116	104	220
ZNF143	102	124	226
ZNF16	103	128	231
ZNF184	107	128	235
ZNF215	89	123	212
ZNF217	121	73	194
ZNF219	117	127	244
ZNF250	115	128	243
ZNF335	96	122	218
ZNF460	114	128	242
ZNF490	108	114	222
ZNF497	112	123	235
ZNF524	99	128	227
ZNF526	95	127	222
ZNF543	114	127	241
ZNF579	99	125	224
ZNF580	115	122	237
ZNF581	115	115	230
ZNF584	112	118	230
ZNF672	118	127	245
ZNF687	120	69	189
ZNF689	110	124	234
ZNF692	118	126	244
ZNF784	115	117	232
ZNF791	108	111	219
ZNF805	114	123	237
ZNF837	112	128	240
