Tf	In_Degree	Out_Degree	Total_Connections
AIRE	88	118	206
ARF1	121	31	152
ARF4	115	53	168
BACH1	123	88	211
BBX	101	127	228
BCL11A	126	144	270
BCL6B	117	139	256
BCLAF1	112	147	259
BHLHE41	134	53	187
BRCA1	113	33	146
CAMTA2	115	25	140
CEBPB	108	115	223
CEBPG	104	122	226
CHD2	133	128	261
CNOT3	92	118	210
CREB1	109	122	231
CREB3L2	124	108	232
CREM	104	94	198
CST6	103	49	152
CTCF	132	147	279
DBP	124	134	258
DDIT3	118	109	227
DEAF1	107	118	225
ERF	123	111	234
ESRRA	130	144	274
FIZ1	101	144	245
FLI1	110	144	254
FOSB	131	53	184
FOSL2	121	94	215
FOXN3	139	81	220
FOXO3	126	146	272
FOXP1	119	141	260
FOXP2	126	126	252
GFI1	117	136	253
GLIS3	114	86	200
GZF1	107	37	144
HAP1	106	14	120
HBP1	119	128	247
HES5	106	74	180
HES7	137	125	262
HEY1	119	51	170
HEY2	123	66	189
HIVEP2	130	119	249
IRF1	137	144	281
IRF2	119	116	235
IRF3	135	145	280
IRF4	141	129	270
IRF9	91	126	217
ISL2	112	129	241
JUN	109	129	238
JUNB	129	121	250
JUND	111	140	251
KLF10	108	142	250
KLF12	118	145	263
KLF13	143	87	230
KLF15	81	147	228
KLF2	135	132	267
KLF6	124	100	224
KLF7	99	147	246
KLF9	114	128	242
LHX6	107	116	223
MAFG	90	130	220
MEF2A	116	143	259
MEF2B	117	125	242
MEF2C	117	132	249
MNT	121	44	165
MYNN	98	80	178
MZF1	124	145	269
NFE2L2	132	100	232
NFE2L3	120	127	247
NFIL3	128	108	236
NFYA	117	109	226
NR1D2	118	82	200
NR2C2	97	144	241
NR3C1	132	124	256
NR4A2	130	133	263
NR4A3	120	81	201
NRL	97	82	179
PAX4	122	147	269
PAX5	141	147	288
PEG3	99	143	242
PRDM1	137	143	280
PRDM10	102	64	166
RARA	127	145	272
RAX2	102	67	169
RBPJ	104	116	220
RELA	127	145	272
RFX1	106	144	250
RFX3	118	127	245
RORA	95	131	226
RUNX1	128	104	232
RXRA	82	147	229
SF1	117	95	212
SIN3A	130	147	277
SIX5	97	138	235
SMAD7	128	109	237
SNAI3	101	109	210
SPI1	104	147	251
TCF12	100	137	237
TFEB	116	62	178
TGIF2	105	112	217
TP53	107	118	225
USF1	114	99	213
VSX1	126	110	236
XBP1	121	95	216
ZBTB1	118	72	190
ZBTB11	114	137	251
ZBTB20	115	88	203
ZBTB3	122	137	259
ZBTB32	94	90	184
ZBTB38	142	103	245
ZBTB7A	106	126	232
ZFP91	134	109	243
ZIM2	99	112	211
ZNF135	97	145	242
ZNF136	95	142	237
ZNF143	112	119	231
ZNF20	95	131	226
ZNF215	127	100	227
ZNF283	119	137	256
ZNF331	111	144	255
ZNF367	123	88	211
ZNF440	94	122	216
ZNF441	94	147	241
ZNF460	115	147	262
ZNF483	113	121	234
ZNF490	117	93	210
ZNF491	94	127	221
ZNF497	96	124	220
ZNF524	101	138	239
ZNF526	123	137	260
ZNF543	115	141	256
ZNF554	119	88	207
ZNF574	103	143	246
ZNF580	126	127	253
ZNF581	126	118	244
ZNF584	96	98	194
ZNF592	101	47	148
ZNF625	95	103	198
ZNF627	99	119	218
ZNF784	126	133	259
ZNF791	117	113	230
ZNF805	115	135	250
ZNF823	94	145	239
ZNF837	96	144	240
ZNF860	122	142	264
ZSCAN18	97	53	150
