Tf	In_Degree	Out_Degree	Total_Connections
ARID3A	129	135	264
ATF5	155	154	309
BCL11A	148	156	304
BCL6B	145	157	302
BHLHE22	135	152	287
BHLHE40	150	135	285
CAMTA1	154	59	213
CAMTA2	149	61	210
CEBPB	132	140	272
CHD2	156	152	308
CREB3L2	155	141	296
CREB3L4	153	130	283
CST6	148	68	216
CTCF	127	157	284
CUX1	154	135	289
DBP	134	147	281
DDIT3	142	155	297
E2F1	140	151	291
E2F2	153	155	308
E2F3	147	156	303
ELF1	152	157	309
ELF2	131	139	270
ERF	131	133	264
ETV1	153	153	306
ETV5	142	120	262
FIZ1	154	157	311
FLI1	145	157	302
FOSL1	151	134	285
FOSL2	138	146	284
FOXH1	129	144	273
FOXJ1	154	152	306
FOXN3	152	58	210
FOXO3	152	156	308
GFI1	140	156	296
GLI1	147	157	304
GZF1	149	79	228
HBP1	141	152	293
HES5	147	134	281
HEY1	136	107	243
HHEX	140	119	259
HINFP	150	151	301
ID1	146	149	295
IKZF1	145	154	299
IKZF3	156	157	313
IRF1	154	157	311
IRF2	154	143	297
IRF3	152	156	308
IRF4	153	150	303
IRF9	149	150	299
IRX5	148	138	286
JUNB	153	150	303
JUND	119	157	276
KLF1	150	155	305
KLF10	153	157	310
KLF13	156	139	295
KLF2	149	155	304
KLF3	144	155	299
KLF6	152	154	306
KLF9	150	157	307
LBX2	148	135	283
LEF1	138	152	290
LHX3	155	141	296
MAFG	141	154	295
MAZ	155	157	312
MEF2C	157	150	307
MEF2D	152	151	303
MEIS1	131	154	285
MLX	142	96	238
MXI1	155	154	309
MYBL1	136	147	283
MYBL2	152	120	272
MYC	156	144	300
MYNN	146	132	278
MZF1	135	157	292
NFAT5	136	155	291
NFE2	143	129	272
NFE2L1	152	137	289
NFE2L3	155	153	308
NFIC	123	151	274
NFIL3	150	132	282
NFIX	150	154	304
NFKB2	139	149	288
NKX3-2	139	147	286
NR1D1	150	157	307
NR1I3	152	120	272
NR3C1	149	155	304
PEG3	147	157	304
PHOX2A	127	116	243
PLAGL2	137	157	294
POU5F1	141	153	294
PRDM1	157	156	313
PRDM10	122	124	246
PRDM14	150	148	298
RELA	144	157	301
RELB	150	134	284
RERE	150	131	281
RFX3	140	155	295
RORA	157	157	314
RUNX1	156	145	301
RXRB	137	157	294
SF1	145	136	281
SIN3A	138	157	295
SMAD3	154	157	311
SMAD7	155	143	298
SOX11	143	157	300
SOX12	153	154	307
SOX4	140	156	296
SP1	151	157	308
SREBF1	153	146	299
TBX6	125	151	276
TCF12	139	157	296
TCF3	141	157	298
TFEB	148	112	260
THAP1	153	157	310
THAP11	133	149	282
THRA	141	153	294
TLX2	148	144	292
USF1	150	149	299
USF2	94	155	249
XBP1	155	108	263
ZBTB24	147	157	304
ZBTB3	147	156	303
ZBTB32	144	123	267
ZBTB38	155	149	304
ZBTB7B	153	155	308
ZFP62	149	157	306
ZFP91	146	152	298
ZFPM1	116	139	255
ZIM2	147	152	299
ZNF114	146	125	271
ZNF184	142	157	299
ZNF214	123	157	280
ZNF215	123	145	268
ZNF217	155	114	269
ZNF219	147	155	302
ZNF22	145	145	290
ZNF251	145	147	292
ZNF267	144	157	301
ZNF3	139	134	273
ZNF334	149	153	302
ZNF34	145	129	274
ZNF398	114	153	267
ZNF407	131	157	288
ZNF425	114	157	271
ZNF48	149	150	299
ZNF483	139	153	292
ZNF516	141	121	262
ZNF517	145	155	300
ZNF524	154	156	310
ZNF579	124	154	278
ZNF580	154	154	308
ZNF581	154	153	307
ZNF643	152	152	304
ZNF689	130	155	285
ZNF775	152	155	307
ZNF784	154	155	309
ZNF786	114	149	263
