Tf	In_Degree	Out_Degree	Total_Connections
ARF1	121	71	192
ARID3A	123	119	242
ARID3B	118	118	236
ARID5A	122	116	238
ATF4	125	124	249
ATF5	121	124	245
BACH1	119	119	238
BBX	106	121	227
BCL11A	122	125	247
BHLHE41	121	102	223
CHD2	125	125	250
CNOT3	104	122	226
CREB3L2	125	119	244
CREB3L4	124	112	236
CST6	122	67	189
CTCF	124	125	249
CUX1	120	120	240
DBP	121	125	246
DMRTC2	122	106	228
ELF1	122	125	247
ELK3	122	107	229
ERF	117	118	235
FIZ1	125	125	250
FLI1	125	125	250
FOSB	120	75	195
FOXO3	125	125	250
FOXP1	124	125	249
FOXP2	115	121	236
GABPA	114	125	239
HBP1	119	125	244
HES5	119	115	234
HEY2	119	112	231
HIVEP2	125	125	250
IKZF1	125	125	250
IKZF3	123	125	248
IRF1	125	125	250
IRF2	125	120	245
IRF4	125	125	250
IRF5	110	125	235
JUN	113	124	237
JUNB	123	123	246
JUND	120	125	245
KLF1	124	125	249
KLF10	121	125	246
KLF13	124	116	240
KLF16	120	125	245
KLF2	123	125	248
KLF3	117	125	242
KLF6	114	125	239
KLF9	124	125	249
MAZ	120	125	245
MEF2A	115	125	240
MEF2C	125	125	250
MEF2D	124	124	248
MEIS2	114	124	238
MXI1	122	124	246
MYC	116	120	236
MYNN	120	112	232
MZF1	114	125	239
NFATC1	113	125	238
NFE2L2	110	124	234
NFE2L3	125	125	250
NFIX	124	125	249
NFKB1	114	125	239
NFKB2	112	124	236
NOTCH1	119	120	239
NR1D1	124	125	249
NR1D2	122	117	239
NR1I3	124	105	229
NR3C1	118	123	241
NR4A1	123	122	245
NR4A2	121	125	246
NR4A3	114	109	223
PATZ1	118	125	243
PBX2	120	118	238
POU2F2	123	125	248
PPARD	124	123	247
PRDM1	123	125	248
PRDM15	125	125	250
RARA	122	125	247
RERE	118	114	232
RFX3	117	125	242
RFX7	113	100	213
RORA	122	125	247
RREB1	123	125	248
RUNX1	125	123	248
RUNX3	112	125	237
SMAD1	111	125	236
SMAD7	123	120	243
SP3	119	125	244
STAT6	125	125	250
TCF12	116	125	241
TCF3	111	125	236
TCF4	124	123	247
TCP1	113	121	234
THRA	124	124	248
XBP1	125	114	239
ZBTB1	121	114	235
ZBTB11	121	125	246
ZBTB20	118	114	232
ZBTB26	121	125	246
ZBTB38	125	120	245
ZBTB6	121	123	244
ZBTB7A	118	123	241
ZBTB7B	123	125	248
ZEB1	115	124	239
ZFP62	125	125	250
ZFP91	121	124	245
ZNF114	119	116	235
ZNF215	120	121	241
ZNF217	122	109	231
ZNF283	116	125	241
ZNF296	123	123	246
ZNF524	125	125	250
ZNF526	117	125	242
ZNF574	123	125	248
ZNF580	125	125	250
ZNF581	125	125	250
ZNF592	118	86	204
ZNF70	115	125	240
ZNF710	123	123	246
ZNF76	124	123	247
ZNF775	123	124	247
ZNF784	125	125	250
ZNF860	123	125	248
