Tf	In_Degree	Out_Degree	Total_Connections
ARF1	104	43	147
ARID3A	104	107	211
ARID5A	106	113	219
ARNT	113	81	194
ATF4	109	112	221
ATF5	110	115	225
ATF6	111	72	183
CAMTA2	111	29	140
CEBPB	93	106	199
CHD2	98	114	212
CREB3L4	117	84	201
CTCF	103	120	223
CTCFL	113	120	233
CUX1	110	102	212
DEAF1	86	107	193
DMRTC2	113	82	195
E2F2	106	114	220
E2F3	107	120	227
ETV3	109	87	196
FIZ1	105	120	225
FLI1	117	120	237
FOSB	109	45	154
FOSL1	104	88	192
FOSL2	100	101	201
FOXO3	106	120	226
FOXP2	95	114	209
FOXR1	117	110	227
GFI1	108	116	224
GMEB2	91	73	164
HES1	109	116	225
HES5	106	87	193
HES7	105	119	224
HINFP	113	114	227
IKZF3	109	120	229
IRF1	116	120	236
IRF2	119	112	231
IRF4	111	110	221
JUNB	108	108	216
JUND	97	120	217
KLF1	112	120	232
KLF10	104	119	223
KLF13	118	90	208
KLF16	108	119	227
KLF2	109	119	228
KLF6	107	104	211
KLF9	106	119	225
MAF	110	119	229
MAFF	113	120	233
MAZ	102	120	222
MEF2C	111	118	229
MEF2D	115	113	228
MNT	110	73	183
MYBL2	106	89	195
NFATC2	113	118	231
NFE2L2	104	101	205
NFE2L3	98	120	218
NFIC	98	111	209
NFIX	112	112	224
NR1I3	114	84	198
NR3C1	110	112	222
PBX4	109	94	203
POU2F1	93	120	213
PRDM1	118	118	236
PRDM10	81	87	168
RARA	114	120	234
RARG	109	120	229
RUNX1	103	109	212
RUNX2	119	117	236
RUNX3	113	117	230
RXRB	103	115	218
SF1	93	94	187
SIN3A	101	120	221
SMAD2	89	101	190
SMAD7	119	102	221
SOX11	106	120	226
SOX15	107	120	227
SP3	82	120	202
SREBF1	118	112	230
SRF	95	120	215
TBX6	95	100	195
TCF3	114	120	234
TCFL5	114	91	205
TEF	100	112	212
TFAP2A	91	120	211
TFAP4	92	91	183
THAP1	114	120	234
USF1	102	103	205
XBP1	118	88	206
ZBTB1	104	92	196
ZBTB38	118	109	227
ZBTB44	86	0	86
ZBTB7B	118	111	229
ZEB1	91	115	206
ZFP62	101	118	219
ZFP91	103	110	213
ZNF114	108	84	192
ZNF132	114	120	234
ZNF143	89	114	203
ZNF217	117	74	191
ZNF219	102	119	221
ZNF236	86	120	206
ZNF334	107	107	214
ZNF335	111	117	228
ZNF367	109	93	202
ZNF436	95	120	215
ZNF48	111	119	230
ZNF490	106	103	209
ZNF497	114	116	230
ZNF524	105	119	224
ZNF580	105	116	221
ZNF581	105	108	213
ZNF584	114	97	211
ZNF652	97	119	216
ZNF681	103	120	223
ZNF687	91	68	159
ZNF740	109	120	229
ZNF775	112	112	224
ZNF784	105	119	224
ZNF791	106	107	213
ZNF837	114	118	232
