Tf	In_Degree	Out_Degree	Total_Connections
ARF1	110	26	136
ARF4	104	50	154
ARID5A	77	96	173
ATF3	108	125	233
BACH1	100	76	176
BACH2	85	92	177
BCL6B	101	121	222
BCLAF1	91	122	213
BHLHE40	107	65	172
BHLHE41	120	44	164
CAMTA2	106	21	127
CEBPB	101	83	184
CEBPG	85	93	178
CHD2	119	116	235
CREB1	95	102	197
CREB3L2	117	82	199
CREM	97	79	176
DBP	105	103	208
DDIT3	112	85	197
DEAF1	77	99	176
E2F2	100	101	201
ELF2	86	95	181
ELK3	98	77	175
ELK4	82	98	180
ERF	110	90	200
ESR1	87	122	209
ETV6	92	109	201
FLI1	115	121	236
FOS	91	99	190
FOSL2	104	79	183
FOXO3	102	121	223
FOXP2	96	105	201
HAP1	90	8	98
HBP1	99	112	211
HES7	92	112	204
HEY1	93	45	138
HIVEP2	119	92	211
IKZF1	112	116	228
IKZF3	103	124	227
IRF1	123	120	243
IRF2	117	86	203
IRF3	98	118	216
IRF4	111	105	216
JUN	96	100	196
JUNB	113	105	218
JUND	89	124	213
KLF13	123	71	194
KLF15	72	124	196
KLF2	102	112	214
KLF3	102	113	215
KLF6	111	99	210
KLF7	75	124	199
KLF9	115	111	226
MEF2A	95	117	212
MEF2C	113	111	224
MEF2D	119	100	219
MIXL1	96	81	177
MXI1	102	93	195
MYBL2	77	78	155
MYC	108	79	187
MYNN	91	69	160
MZF1	87	123	210
NFE2L2	109	77	186
NFE2L3	103	107	210
NFKB1	86	119	205
NFKB2	80	98	178
NFYA	87	78	165
NHLH1	96	96	192
NR1D1	105	110	215
NR1D2	95	68	163
NR3C1	94	99	193
NR4A2	104	110	214
PBX2	96	73	169
PLAGL2	103	125	228
POU2F1	97	120	217
POU5F1	88	119	207
POU6F1	78	111	189
PRDM1	123	122	245
PRDM10	80	67	147
RFX1	82	117	199
RFX3	106	105	211
RUNX1	110	82	192
RXRB	84	107	191
SIN3A	99	125	224
SMAD4	67	109	176
SP3	79	124	203
SREBF2	97	90	187
TBX6	100	81	181
TCF12	81	113	194
TCF3	112	125	237
TCF4	117	99	216
THRA	105	112	217
TP53	96	96	192
USF1	114	87	201
XBP1	118	74	192
ZBED6	105	87	192
ZBTB1	92	63	155
ZBTB11	105	124	229
ZBTB20	88	72	160
ZBTB38	123	75	198
ZBTB7B	114	112	226
ZFP91	101	95	196
ZFX	87	125	212
ZNF124	103	105	208
ZNF143	83	111	194
ZNF215	85	92	177
ZNF217	113	65	178
ZNF274	62	80	142
ZNF280D	78	53	131
ZNF329	62	108	170
ZNF460	89	125	214
ZNF483	77	110	187
ZNF526	110	115	225
ZNF543	89	116	205
ZNF544	62	117	179
ZNF580	94	119	213
ZNF581	94	97	191
ZNF592	82	43	125
ZNF655	70	118	188
ZNF672	107	117	224
ZNF687	87	52	139
ZNF689	64	100	164
ZNF692	107	109	216
ZNF784	94	102	196
ZNF805	89	109	198
