Tf	In_Degree	Out_Degree	Total_Connections
ATF3	70	85	155
ATF4	72	77	149
ATF5	85	80	165
BACH2	73	75	148
BHLHE40	84	59	143
BHLHE41	81	49	130
CHD2	82	80	162
CUX1	72	68	140
DDIT3	76	79	155
E2F2	83	80	163
E2F6	73	83	156
ELF2	66	70	136
ELK3	76	57	133
ERF	70	67	137
FOS	70	75	145
FOSL1	72	57	129
FOSL2	73	70	143
FOXK2	78	65	143
FOXN3	82	25	107
FOXO3	78	84	162
FOXP1	78	84	162
HBP1	66	81	147
HES1	81	81	162
HIVEP2	76	76	152
IKZF3	81	85	166
IRF2	82	69	151
JUNB	79	79	158
JUND	68	84	152
KLF2	85	81	166
KLF6	85	76	161
LHX3	72	72	144
LHX6	63	72	135
MAFF	81	85	166
MEF2D	83	78	161
MYBL2	78	61	139
MYNN	59	61	120
NFE2	59	58	117
NFE2L1	72	69	141
NFE2L2	73	72	145
NFE2L3	84	84	168
NFKB2	65	82	147
NR1D1	83	85	168
NR1D2	74	69	143
NR4A2	76	82	158
NR4A3	74	55	129
POU2F1	69	85	154
POU2F2	75	85	160
PRDM1	84	85	169
PRDM5	66	84	150
RFX3	73	80	153
RORA	85	83	168
RUNX1	84	78	162
RUNX2	77	82	159
SIN3A	73	85	158
SMAD3	69	85	154
SMAD7	78	70	148
SOX11	74	85	159
SP3	63	85	148
SREBF2	69	76	145
STAT2	80	83	163
TBX6	69	75	144
TCF3	72	85	157
THRA	83	84	167
VEZF1	66	70	136
XBP1	84	54	138
ZBTB38	85	72	157
ZBTB7B	83	79	162
ZFP1	76	83	159
ZFP62	67	85	152
ZFP91	78	73	151
ZNF124	78	79	157
ZNF217	84	53	137
ZNF331	83	84	167
ZNF334	76	79	155
ZNF460	75	85	160
ZNF490	74	73	147
ZNF526	70	85	155
ZNF543	75	83	158
ZNF554	70	62	132
ZNF574	75	83	158
ZNF69	69	80	149
ZNF700	69	82	151
ZNF763	69	53	122
ZNF791	74	70	144
ZNF805	75	83	158
