Tf	In_Degree	Out_Degree	Total_Connections
ARF1	56	24	80
ARID3B	73	66	139
BACH1	77	55	132
BHLHE41	85	31	116
CHD2	85	84	169
CREB1	61	73	134
ESRRA	75	87	162
FLI1	81	88	169
FOSB	64	36	100
FOSL1	87	49	136
FOXN3	68	46	114
FOXO3	73	89	162
FOXP2	73	74	147
GABPA	67	89	156
GFI1	73	79	152
HBP1	71	78	149
HES1	80	74	154
HIVEP2	77	70	147
IRF1	85	88	173
IRF5	70	78	148
JUNB	83	73	156
JUND	70	90	160
KLF10	69	89	158
KLF12	75	90	165
KLF13	88	53	141
KLF15	67	90	157
KLF16	54	86	140
KLF2	87	84	171
KLF6	75	63	138
KLF9	79	85	164
LHX6	65	68	133
MAZ	68	90	158
MEF2A	64	88	152
MEF2C	88	83	171
MNT	65	31	96
MYBL2	62	54	116
MYC	71	60	131
MYNN	66	50	116
NFE2L2	77	60	137
NFE2L3	79	79	158
NFKB1	57	90	147
NFKB2	63	76	139
NFYA	72	69	141
NR1D1	83	80	163
NR3C1	75	71	146
NR4A2	78	85	163
NR4A3	74	56	130
PAX4	70	90	160
PBX4	71	57	128
PPARA	64	40	104
PRDM1	90	90	180
PRDM10	65	44	109
RARA	73	89	162
RELA	68	90	158
RFX1	58	87	145
RFX3	75	74	149
RORA	66	84	150
RUNX1	78	61	139
SF1	73	55	128
SIN3A	79	90	169
SP3	56	90	146
SP4	58	90	148
TBX6	70	55	125
TCF12	66	87	153
TCF3	80	90	170
TGIF2	70	58	128
THRA	83	74	157
XBP1	77	63	140
YY1	68	90	158
ZBTB1	66	54	120
ZBTB20	83	56	139
ZBTB3	68	79	147
ZBTB38	90	62	152
ZBTB5	68	82	150
ZBTB7A	63	78	141
ZBTB7B	65	74	139
ZEB1	77	74	151
ZFP62	80	87	167
ZFP91	84	71	155
ZNF131	55	68	123
ZNF143	64	76	140
ZNF367	75	47	122
ZNF48	59	79	138
ZNF483	55	79	134
ZNF490	59	56	115
ZNF592	78	30	108
ZNF689	63	79	142
ZNF771	59	58	117
ZNF775	68	79	147
ZNF791	59	64	123
