Tf	In_Degree	Out_Degree	Total_Connections
ARID3A	58	58	116
ATF4	63	68	131
BCL6B	70	71	141
BHLHE41	72	37	109
CAMTA2	68	12	80
CEBPB	46	55	101
CREB3L2	68	56	124
CST6	73	14	87
DDIT3	62	57	119
E2F2	64	56	120
ERF	57	55	112
FIZ1	58	71	129
FLI1	61	74	135
FOSL1	63	52	115
GLI1	53	64	117
GMEB2	46	32	78
HES5	58	43	101
IKZF3	64	75	139
IRF2	73	55	128
IRF3	67	72	139
IRF4	61	67	128
JUNB	65	63	128
JUND	50	75	125
KLF13	74	44	118
KLF2	75	69	144
MAZ	61	76	137
MEF2D	65	58	123
MEIS2	51	68	119
MYBL2	58	44	102
MZF1	47	76	123
NFE2L1	66	48	114
NFE2L2	55	54	109
NFE2L3	62	69	131
NFKB2	58	66	124
NFYA	56	47	103
NR1D1	63	68	131
PAX4	58	76	134
PAX5	56	76	132
PBX2	56	44	100
PBX4	60	54	114
PRDM1	72	76	148
PRDM10	48	38	86
RARA	61	76	137
RFX3	61	64	125
RXRB	68	69	137
SIN3A	62	76	138
SOX5	70	65	135
SP3	42	76	118
SREBF2	53	56	109
TBX2	35	67	102
TBX4	35	54	89
TBX6	58	59	117
TCP11	51	63	114
TEAD3	58	53	111
TEF	55	64	119
TFEB	67	35	102
THRA	63	70	133
VSX1	55	56	111
XBP1	67	51	118
ZBTB38	71	51	122
ZBTB4	55	33	88
ZBTB7A	50	64	114
ZBTB7B	73	64	137
ZFP91	61	58	119
ZNF217	66	34	100
ZNF283	64	75	139
ZNF497	48	61	109
ZNF524	58	74	132
ZNF526	57	73	130
ZNF580	64	71	135
ZNF581	64	59	123
ZNF584	48	46	94
ZNF76	53	70	123
ZNF775	56	62	118
ZNF784	64	68	132
ZNF837	48	72	120
