Tf	In_Degree	Out_Degree	Total_Connections
ARF1	110	45	155
ARF4	110	76	186
ARID3A	116	106	222
ARID3B	107	101	208
ATF4	116	121	237
BACH1	110	109	219
BCL11A	122	124	246
BCL6B	99	126	225
BCLAF1	97	126	223
BHLHE41	125	86	211
BRCA1	102	39	141
CAMTA2	110	39	149
CEBPB	100	114	214
CEBPG	92	114	206
CHD2	114	124	238
CREB1	111	123	234
CREB3L2	123	114	237
CTCF	101	126	227
CTCFL	116	126	242
CUX1	124	108	232
DDIT3	108	119	227
ELF1	111	126	237
ELF2	99	116	215
ELK4	105	120	225
ERF	106	111	217
ESR1	125	125	250
ESRRA	111	125	236
ESRRG	111	123	234
ETS1	111	126	237
ETV6	120	124	244
FLI1	123	126	249
FOSB	93	65	158
FOXD4L5	110	105	215
FOXN3	122	49	171
FOXO3	115	126	241
FOXP2	114	115	229
FOXR1	105	122	227
GZF1	110	52	162
HAP1	93	27	120
HBP1	108	120	228
HES7	114	125	239
HEY1	113	88	201
HEY2	122	96	218
HIVEP2	123	120	243
IKZF1	123	123	246
IKZF3	113	126	239
IRF1	123	126	249
IRF2	126	98	224
IRF3	112	124	236
IRF4	125	121	246
JUN	99	123	222
JUNB	112	120	232
JUND	95	126	221
KLF10	113	126	239
KLF13	125	108	233
KLF16	106	126	232
KLF2	122	126	248
KLF3	111	124	235
KLF6	110	124	234
KLF7	96	126	222
MAF	112	126	238
MEF2B	117	122	239
MEF2C	122	120	242
MEF2D	117	116	233
MNT	112	85	197
MXD1	110	76	186
MYBL2	117	92	209
MZF1	112	125	237
NFE2	98	97	195
NFE2L1	106	106	212
NFE2L2	115	112	227
NFE2L3	113	124	237
NFKB1	107	126	233
NFKB2	107	123	230
NR1D1	109	125	234
NR1D2	113	105	218
NR3C1	117	121	238
NR4A2	113	124	237
PAX5	122	126	248
PBX2	108	94	202
POU2F2	114	126	240
POU5F1	113	123	236
PPARD	107	115	222
PRDM1	126	126	252
PRDM10	98	88	186
PRDM14	115	121	236
PRDM5	123	126	249
RARA	119	126	245
REL	110	122	232
RELA	98	126	224
RERE	124	102	226
RFX1	113	126	239
RFX3	106	124	230
RREB1	119	126	245
RUNX1	124	107	231
RXRB	113	123	236
SF1	100	104	204
SIN3A	108	126	234
SMAD3	122	126	248
SMAD7	126	105	231
SP100	112	68	180
SP3	102	126	228
SREBF2	104	118	222
TCF12	112	125	237
TCF3	105	126	231
TFEB	122	87	209
TGIF2	111	112	223
THRA	109	125	234
XBP1	124	102	226
ZBTB1	120	103	223
ZBTB20	120	103	223
ZBTB32	109	98	207
ZBTB38	124	114	238
ZBTB7A	113	123	236
ZBTB7B	119	124	243
ZFP62	117	126	243
ZFP91	113	121	234
ZNF143	96	125	221
ZNF217	124	85	209
ZNF283	113	126	239
ZNF526	106	125	231
ZNF574	114	125	239
ZNF689	93	121	214
ZNF76	107	126	233
ZNF775	115	123	238
ZNF860	123	125	248
