Tf	In_Degree	Out_Degree	Total_Connections
AIRE	90	92	182
ARF1	86	43	129
ARID3A	94	87	181
ARID5A	93	90	183
ATF4	93	92	185
BCL6B	90	96	186
BHLHE40	92	82	174
CAMTA2	94	24	118
CREB3L4	93	75	168
CTCF	88	96	184
CUX1	87	84	171
DUX4	64	84	148
E2F2	93	94	187
E2F3	87	96	183
E2F4	95	89	184
ESRRA	70	96	166
ETV6	94	94	188
FIZ1	92	96	188
FOSL1	89	88	177
FOXH1	80	83	163
FOXO3	89	95	184
FOXR1	88	94	182
GLI1	90	94	184
HES1	89	95	184
HNF1B	87	86	173
HSF4	95	77	172
IRF1	94	95	189
IRF2	94	86	180
IRF4	92	96	188
IRF5	91	96	187
JUNB	93	89	182
KLF13	95	77	172
KLF16	88	95	183
KLF3	92	94	186
KLF6	84	86	170
KLF9	92	96	188
LTF	92	79	171
MAF	95	96	191
MAFG	88	96	184
MAZ	94	96	190
MEF2D	94	95	189
MNX1	93	82	175
MYC	90	89	179
MZF1	85	96	181
NFAT5	87	95	182
NFE2L1	92	84	176
NFE2L2	82	86	168
NFE2L3	94	92	186
NFIC	88	94	182
NFKB2	88	95	183
NOTCH1	90	85	175
NR1D1	93	95	188
NR3C1	92	93	185
NR4A2	90	95	185
POU2F1	84	95	179
PRDM1	95	95	190
RARA	95	96	191
RARG	93	96	189
RUNX3	87	96	183
RXRA	91	96	187
RXRB	87	95	182
SMAD3	95	96	191
SMAD7	95	85	180
SP3	75	96	171
SREBF1	95	91	186
SREBF2	93	89	182
TBX6	79	91	170
TCF4	89	94	183
THAP11	86	91	177
THRA	93	94	187
XBP1	89	72	161
ZBTB3	85	95	180
ZBTB38	93	93	186
ZBTB7A	82	94	176
ZBTB7B	95	91	186
ZFP62	95	95	190
ZFP91	89	92	181
ZNF114	90	72	162
ZNF131	73	95	168
ZNF217	93	75	168
ZNF267	92	96	188
ZNF283	80	96	176
ZNF497	89	93	182
ZNF524	92	96	188
ZNF580	92	94	186
ZNF581	92	95	187
ZNF584	89	90	179
ZNF688	91	75	166
ZNF689	84	92	176
ZNF740	93	96	189
ZNF764	91	78	169
ZNF768	91	96	187
ZNF775	94	93	187
ZNF784	92	95	187
ZNF785	91	76	167
ZNF837	89	96	185
