GENE	TF	ENHANCER_LIST
A4GALT	0	4_MACS_peak_20830_lociStitched
AAK1	0	4_MACS_peak_17090_lociStitched
ABCA1	0	1_MACS_peak_31966_lociStitched
ABCD2	0	1_MACS_peak_6527_lociStitched
ABCF1	0	2_MACS_peak_26525_lociStitched
ABCG1	0	2_MACS_peak_20038_lociStitched
ABHD2	0	1_MACS_peak_10514_lociStitched
ABHD4	0	4_MACS_peak_8421_lociStitched
ACO2	0	1_MACS_peak_20778_lociStitched
ACTN4	0	1_MACS_peak_15496_lociStitched
ACTR3	0	2_MACS_peak_17691_lociStitched
ADA	0	1_MACS_peak_19413_lociStitched
ADAM12	0	4_MACS_peak_4521_lociStitched
ADAM15	0	2_MACS_peak_1910_lociStitched
ADAM22	0	2_MACS_peak_28899_lociStitched
ADAMTSL4	0	5_MACS_peak_1790_lociStitched
ADCY10	0	2_MACS_peak_2191_lociStitched
ADCY3	0	2_MACS_peak_16516_lociStitched
ADM	0	1_MACS_peak_4809_lociStitched
ADORA2A	0	3_MACS_peak_20408_lociStitched,3_MACS_peak_20404_lociStitched
ADPGK	0	1_MACS_peak_10222_lociStitched
ADRBK1	0	2_MACS_peak_5491_lociStitched
AEN	0	1_MACS_peak_10501_lociStitched,2_MACS_peak_10499_lociStitched
AIFM1	0	3_MACS_peak_33484_lociStitched
AIM2	0	1_MACS_peak_2023_lociStitched
AK1	0	4_MACS_peak_32292_lociStitched
AKAP2	0	2_MACS_peak_32023_lociStitched
AKAP6	0	1_MACS_peak_8532_lociStitched
AKNA	0	1_MACS_peak_32114_lociStitched
AKT1S1	0	4_MACS_peak_15955_lociStitched,1_MACS_peak_15952_lociStitched,1_MACS_peak_15963_lociStitched
AKT3	0	1_MACS_peak_3147_lociStitched
ALAD	0	1_MACS_peak_32093_lociStitched
ALDH1A3	0	2_MACS_peak_10670_lociStitched
ALDH8A1	0	3_MACS_peak_27576_lociStitched
ALDOA	0	1_MACS_peak_11329_lociStitched
ALG3	0	1_MACS_peak_22673_lociStitched
ALKBH4	0	1_MACS_peak_29121_lociStitched
ALOX5	0	1_MACS_peak_3670_lociStitched
ALPK1	0	1_MACS_peak_23741_lociStitched
AMH	0	2_MACS_peak_14557_lociStitched,1_MACS_peak_14559_lociStitched,1_MACS_peak_14556_lociStitched
AMZ2	0	1_MACS_peak_13471_lociStitched,2_MACS_peak_13476_lociStitched
AMZ2P1	0	2_MACS_peak_13422_lociStitched,1_MACS_peak_13420_lociStitched
