Tf	In_Degree	Out_Degree	Total_Connections
ARF1	122	50	172
ARID3A	132	126	258
ARID3B	118	123	241
ATF4	134	130	264
ATF6	125	103	228
BACH1	121	117	238
BCL11A	129	136	265
BCL6B	115	135	250
BCLAF1	104	135	239
BHLHA15	133	125	258
BHLHE41	135	87	222
CAD	115	135	250
CAMTA2	126	40	166
CENPB	115	75	190
CHD2	116	133	249
CREB3L2	133	119	252
CREM	112	116	228
CTCF	131	136	267
CUX1	135	108	243
DDIT3	122	129	251
DMRTC2	123	97	220
E2F1	122	132	254
E2F3	129	136	265
ETV5	112	107	219
FIZ1	129	136	265
FLI1	132	135	267
FOSB	134	80	214
FOSL1	129	114	243
FOXH1	117	122	239
FOXN3	132	113	245
FOXO3	131	136	267
FOXP2	116	127	243
FOXR1	103	131	234
GLI1	117	132	249
GZF1	127	72	199
HBP1	110	134	244
HES7	130	134	264
HEY2	118	101	219
HINFP	127	130	257
HIVEP2	134	126	260
IKZF1	130	132	262
IKZF3	134	136	270
IRF1	136	136	272
IRF2	134	122	256
IRF3	119	135	254
IRF4	134	128	262
IRF9	131	131	262
JUN	108	132	240
JUNB	133	128	261
JUND	102	136	238
KLF1	129	136	265
KLF10	127	136	263
KLF12	132	136	268
KLF13	134	110	244
KLF16	114	135	249
KLF3	126	134	260
KLF6	129	132	261
MEF2B	133	135	268
MEF2C	134	133	267
MEF2D	130	130	260
MLXIP	129	87	216
MNT	125	89	214
MYBL2	117	105	222
MYNN	116	111	227
MZF1	126	135	261
NFE2L1	116	116	232
NFE2L2	125	118	243
NFE2L3	126	133	259
NFIX	129	128	257
NFKB2	107	133	240
NR1D1	136	136	272
NR1D2	122	116	238
NR3C1	123	127	250
NR4A2	124	134	258
NR4A3	108	102	210
PAX5	133	136	269
PBX2	109	113	222
POU5F1	116	135	251
PPARA	95	107	202
PRDM1	133	134	267
PRDM10	97	104	201
PRDM15	131	136	267
RARA	133	136	269
RELA	89	136	225
RERE	133	110	243
RFX1	114	135	249
RFX3	111	132	243
RREB1	132	136	268
RUNX1	128	124	252
RXRB	117	136	253
SF1	110	116	226
SIN3A	112	136	248
SMAD1	121	136	257
SMAD7	131	119	250
SNAI3	108	126	234
SOX15	125	136	261
SP3	98	135	233
SREBF2	120	126	246
TBX21	125	133	258
TBX6	112	117	229
TCF3	118	136	254
TEF	130	130	260
TFEB	133	93	226
TGIF2	120	123	243
THAP11	114	125	239
THRA	136	135	271
USF1	115	127	242
VDR	122	135	257
VSX1	127	121	248
XBP1	133	110	243
YY1	100	136	236
ZBTB20	119	109	228
ZBTB32	116	104	220
ZBTB38	133	123	256
ZBTB4	107	94	201
ZBTB7A	122	133	255
ZBTB7B	134	130	264
ZFP62	133	136	269
ZFP91	124	128	252
ZNF114	119	98	217
ZNF215	102	124	226
ZNF217	131	89	220
ZNF219	126	135	261
ZNF283	132	133	265
ZNF48	125	133	258
ZNF483	94	133	227
ZNF524	129	135	264
ZNF580	129	131	260
ZNF581	129	127	256
ZNF592	110	74	184
ZNF595	129	136	265
ZNF643	131	122	253
ZNF689	110	132	242
ZNF718	129	136	265
ZNF775	132	133	265
ZNF784	129	133	262
