Tf	In_Degree	Out_Degree	Total_Connections
ARF1	99	59	158
ARID3A	102	100	202
ARID5A	97	101	198
ARX	99	103	202
ATF4	104	104	208
ATF5	99	104	203
ATF6	100	97	197
BCLAF1	88	104	192
BHLHA15	101	104	205
BHLHE41	101	92	193
CHD2	104	103	207
CREB3L2	103	103	206
CTCF	103	104	207
CTCFL	101	104	205
CUX1	104	103	207
DBP	99	104	203
DMRTC2	103	99	202
ELK3	103	97	200
ERF	97	103	200
ESR1	103	104	207
ETV6	101	104	205
ETV7	103	104	207
FIZ1	101	104	205
FLI1	104	104	208
FOXK2	103	96	199
FOXN3	103	49	152
FOXO3	100	104	204
FOXP2	94	104	198
GZF1	101	68	169
HES7	98	104	202
HEY2	101	95	196
HIVEP2	104	104	208
IKZF1	102	104	206
IKZF3	103	104	207
IRF1	104	104	208
IRF2	104	103	207
IRF4	103	104	207
ISL2	100	104	204
JUN	91	104	195
JUNB	103	104	207
JUND	97	104	201
KLF12	96	104	200
KLF13	103	101	204
KLF2	104	104	208
KLF6	95	104	199
KLF9	101	104	205
MAFF	104	104	208
MEF2C	104	104	208
MEF2D	103	103	206
MIXL1	99	96	195
MYBL2	98	94	192
NFATC2	101	104	205
NR1D1	103	104	207
NR1I3	103	100	203
NR4A2	98	104	202
PAX5	100	104	204
PBX2	98	95	193
POU2F2	100	104	204
POU5F1	103	104	207
POU5F1B	98	103	201
PPARD	102	102	204
PRDM1	104	104	208
RARA	102	104	206
RERE	102	100	202
RFX1	102	104	206
RORA	102	104	206
RREB1	104	104	208
RUNX1	101	103	204
RUNX3	99	104	203
SMAD3	104	104	208
SMAD7	103	101	204
SNAI3	101	103	204
SOX30	101	104	205
TCF3	99	104	203
TEF	98	104	202
TFEB	101	97	198
THRA	103	104	207
USF1	101	103	204
USF2	101	104	205
VSX1	103	102	205
XBP1	104	102	206
ZBED6	102	102	204
ZBTB1	99	102	201
ZBTB20	103	95	198
ZBTB38	104	100	204
ZBTB7B	103	104	207
ZFP62	103	104	207
ZNF114	100	101	201
ZNF16	98	104	202
ZNF217	104	93	197
ZNF250	98	104	202
ZNF283	101	104	205
ZNF460	100	104	204
ZNF524	101	104	205
ZNF526	97	103	200
ZNF543	100	104	204
ZNF574	100	104	204
ZNF580	101	103	204
ZNF581	101	104	205
ZNF592	100	75	175
ZNF643	102	104	206
ZNF76	102	104	206
ZNF784	101	104	205
ZNF805	100	104	204
