Tf	In_Degree	Out_Degree	Total_Connections
ARID3A	105	103	208
ATF4	104	106	210
ATF6	100	71	171
BCL11A	100	107	207
BHLHE40	101	94	195
BHLHE41	107	71	178
CAMTA2	100	34	134
CEBPB	88	105	193
CHD2	100	106	206
CREB3L2	104	99	203
CREB3L4	105	87	192
DBP	97	102	199
DDIT3	98	104	202
E4F1	98	105	203
ELF1	96	107	203
ETV6	105	105	210
FBP1	92	102	194
FBP2	92	106	198
FIZ1	103	107	210
FLI1	105	107	212
FOSL1	96	97	193
FOXH1	99	100	199
FOXN3	104	89	193
FOXP1	102	107	209
FOXR1	91	106	197
GLI1	101	105	206
GMEB2	99	86	185
GZF1	103	66	169
HES1	105	107	212
HEY2	100	81	181
HINFP	103	101	204
HIVEP2	99	106	205
HNF1B	99	97	196
IKZF1	104	106	210
IKZF3	97	107	204
IRF2	104	94	198
IRF4	107	104	211
IRF5	94	99	193
JUNB	105	105	210
KLF1	105	107	212
KLF10	94	105	199
KLF13	106	95	201
KLF2	100	105	205
LBX2	103	99	202
MAZ	103	107	210
MEF2D	102	106	208
MNX1	104	93	197
MXI1	104	106	210
MYC	99	103	202
MZF1	97	107	204
NFATC1	93	107	200
NFATC3	93	99	192
NFE2L1	102	91	193
NFE2L2	103	104	207
NFE2L3	106	107	213
NFIX	106	107	213
NR1D1	104	107	211
NR3C1	102	106	208
NR4A2	101	106	207
OVOL1	93	86	179
PBX2	95	96	191
POU2F1	89	107	196
POU5F1	105	106	211
PRDM1	106	107	213
PRDM10	88	83	171
RELA	94	107	201
RFX7	94	62	156
RORA	104	107	211
RREB1	103	107	210
RUNX1	106	104	210
RUNX2	99	105	204
SIN3A	93	107	200
SMAD2	94	100	194
SMAD7	107	102	209
SOX12	92	107	199
SOX5	100	102	202
STAT6	100	107	207
TCF12	87	107	194
TCF4	94	105	199
THAP1	103	107	210
THRA	104	106	210
TLX2	103	106	209
XBP1	103	87	190
ZBTB38	100	102	202
ZBTB7B	107	105	212
ZFP62	105	107	212
ZFP91	102	107	209
ZNF114	102	85	187
ZNF143	94	100	194
ZNF217	105	81	186
ZNF251	101	106	207
ZNF3	95	93	188
ZNF34	101	90	191
ZNF407	86	107	193
ZNF48	104	103	207
ZNF517	101	107	208
ZNF524	103	106	209
ZNF580	103	105	208
ZNF581	103	106	209
ZNF652	99	107	206
ZNF688	95	93	188
ZNF689	90	105	195
ZNF764	95	76	171
ZNF768	95	107	202
ZNF775	106	106	212
ZNF784	103	107	210
ZNF785	95	96	191
