GENE	TF	ENHANCER_LIST
A1BG	0	2_MACS_peak_15184_lociStitched
A1BG-AS1	0	2_MACS_peak_15184_lociStitched
AARS2	0	2_MACS_peak_24848_lociStitched
ABCF1	0	3_MACS_peak_24315_lociStitched,1_MACS_peak_24312_lociStitched
ABHD12	0	1_MACS_peak_17805_lociStitched
ABHD4	0	2_MACS_peak_7932_lociStitched
ACADVL	0	2_MACS_peak_11121_lociStitched
ACAP1	0	2_MACS_peak_11124_lociStitched
ACBD4	0	3_MACS_peak_11944_lociStitched
ACOXL	0	5_MACS_peak_16453_lociStitched
ACSS1	0	2_MACS_peak_17796_lociStitched
ACTG1	0	3_MACS_peak_12705_lociStitched
ADAM15	0	6_MACS_peak_1851_lociStitched
ADAMTS4	0	4_MACS_peak_2068_lociStitched,3_MACS_peak_2064_lociStitched
ADAMTSL4	0	5_MACS_peak_1681_lociStitched,5_MACS_peak_1689_lociStitched
ADCK4	0	3_MACS_peak_14576_lociStitched
ADCY10	0	2_MACS_peak_2182_lociStitched
ADM2	0	2_MACS_peak_19637_lociStitched
ADRBK1	0	2_MACS_peak_5039_lociStitched,2_MACS_peak_5037_lociStitched
AEN	0	4_MACS_peak_9568_lociStitched,1_MACS_peak_9564_lociStitched
AGER	0	2_MACS_peak_24415_lociStitched
AGPAT1	0	2_MACS_peak_24415_lociStitched
AHNAK	0	4_MACS_peak_4716_lociStitched,6_MACS_peak_4720_lociStitched
AIF1	0	1_MACS_peak_24368_lociStitched,1_MACS_peak_24365_lociStitched
AIFM3	0	1_MACS_peak_18881_lociStitched
AIP	0	5_MACS_peak_5066_lociStitched
AKT1S1	0	3_MACS_peak_14979_lociStitched
ALDH16A1	0	3_MACS_peak_14940_lociStitched
ALDH3B1	0	2_MACS_peak_5087_lociStitched
ALDOA	0	3_MACS_peak_10305_lociStitched
ALG12	0	3_MACS_peak_19596_lociStitched
ALKBH4	0	2_MACS_peak_26572_lociStitched,4_MACS_peak_26574_lociStitched
ALKBH5	0	1_MACS_peak_11301_lociStitched
ALOX12	0	1_MACS_peak_11104_lociStitched
ALOX5	0	3_MACS_peak_3244_lociStitched
ALPK1	0	4_MACS_peak_22031_lociStitched
AMAC1L3	0	3_MACS_peak_11145_lociStitched
AMH	0	3_MACS_peak_13506_lociStitched,3_MACS_peak_13509_lociStitched
AMN	0	2_MACS_peak_8559_lociStitched
AMZ2	0	4_MACS_peak_12384_lociStitched
ANAPC11	0	2_MACS_peak_12723_lociStitched,2_MACS_peak_12725_lociStitched
ANG	0	3_MACS_peak_7906_lociStitched
ANKDD1A	0	3_MACS_peak_9161_lociStitched
ANKRD13D	0	2_MACS_peak_5039_lociStitched,2_MACS_peak_5037_lociStitched
ANKRD34A	0	2_MACS_peak_1565_lociStitched,3_MACS_peak_1570_lociStitched
ANKRD36BP2	0	4_MACS_peak_16279_lociStitched
ANKRD37	0	1_MACS_peak_22462_lociStitched
ANKRD55	0	2_MACS_peak_22831_lociStitched
ANP32A	0	2_MACS_peak_9265_lociStitched
ANP32B	0	4_MACS_peak_28979_lociStitched
ANP32E	0	3_MACS_peak_1667_lociStitched
APH1A	0	3_MACS_peak_1667_lociStitched
APLF	0	6_MACS_peak_16006_lociStitched
APOA2	0	4_MACS_peak_2068_lociStitched,3_MACS_peak_2064_lociStitched
APOBEC2	0	3_MACS_peak_24714_lociStitched
APOBEC3G	0	3_MACS_peak_19320_lociStitched
APOBEC3H	0	3_MACS_peak_19320_lociStitched,2_MACS_peak_19330_lociStitched
APOLD1	0	5_MACS_peak_6052_lociStitched
APOM	0	1_MACS_peak_24368_lociStitched,1_MACS_peak_24365_lociStitched
AQP10	0	3_MACS_peak_1814_lociStitched
AQP3	0	4_MACS_peak_28545_lociStitched
ARC	0	3_MACS_peak_28213_lociStitched
ARHGAP23	0	6_MACS_peak_11654_lociStitched,2_MACS_peak_11660_lociStitched,3_MACS_peak_11651_lociStitched
ARHGAP25	0	3_MACS_peak_16028_lociStitched
ARHGAP9	0	3_MACS_peak_6614_lociStitched,2_MACS_peak_6608_lociStitched
ARHGDIA	0	2_MACS_peak_12723_lociStitched,2_MACS_peak_12725_lociStitched
ARHGEF2	0	2_MACS_peak_1910_lociStitched
ARID3A	1	3_MACS_peak_13377_lociStitched
ARSG	0	4_MACS_peak_12384_lociStitched,1_MACS_peak_12389_lociStitched
ASAP3	0	7_MACS_peak_407_lociStitched
ASB16	0	5_MACS_peak_11913_lociStitched
ASB9P1	0	1_MACS_peak_9661_lociStitched
ASGR1	0	3_MACS_peak_11110_lociStitched
ASGR2	0	3_MACS_peak_11110_lociStitched
ASH1L	0	1_MACS_peak_1895_lociStitched
ATAT1	0	3_MACS_peak_24315_lociStitched
ATF4	1	2_MACS_peak_19355_lociStitched
ATG16L2	0	1_MACS_peak_5166_lociStitched
ATG4D	0	1_MACS_peak_13811_lociStitched
ATHL1	0	2_MACS_peak_4106_lociStitched
ATN1	0	1_MACS_peak_5930_lociStitched,3_MACS_peak_5927_lociStitched,3_MACS_peak_5924_lociStitched,2_MACS_peak_5932_lociStitched,2_MACS_peak_5922_lociStitched
ATP13A1	0	2_MACS_peak_14256_lociStitched
ATP1A4	0	1_MACS_peak_2028_lociStitched
ATP2A1	0	3_MACS_peak_10251_lociStitched
ATP2A3	0	1_MACS_peak_11016_lociStitched
ATP6V1E2	0	11_MACS_peak_15710_lociStitched
ATP8B2	0	3_MACS_peak_1814_lociStitched
ATXN2L	0	2_MACS_peak_10245_lociStitched
ATXN7L3	0	5_MACS_peak_11913_lociStitched
