Tf	In_Degree	Out_Degree	Total_Connections
ARID5A	36	41	77
BCLAF1	38	47	85
BRCA1	38	10	48
E2F2	42	39	81
E2F3	36	46	82
FEZF1	47	39	86
FLI1	45	47	92
FOSL1	43	30	73
HBP1	33	46	79
IKZF1	46	47	93
IRF2	37	37	74
IRF5	37	44	81
JUNB	39	42	81
JUND	30	47	77
KLF13	37	28	65
KLF2	45	45	90
KLF6	43	42	85
LHX8	40	42	82
MAZ	37	47	84
MEF2D	44	39	83
MYBL2	43	32	75
MYC	47	38	85
NFIL3	43	28	71
NR3C1	43	44	87
PBX2	33	34	67
PBX4	39	31	70
POU2F1	39	45	84
RARG	46	46	92
RFX3	36	44	80
RUNX1	44	37	81
SP3	30	47	77
TBX6	36	35	71
TCF3	43	47	90
TCF4	42	38	80
TFAP4	34	37	71
VSX1	43	39	82
ZBTB38	46	38	84
ZBTB7B	40	41	81
ZFP62	35	47	82
ZFP91	45	40	85
ZNF217	45	30	75
ZNF267	44	47	91
ZNF280B	37	28	65
ZNF655	27	45	72
ZNF689	34	43	77
ZNF740	46	47	93
ZNF775	43	43	86
