Tf	In_Degree	Out_Degree	Total_Connections
ARF1	38	8	46
ARID3A	37	37	74
BCL6B	36	45	81
CHD2	43	38	81
DDIT3	34	29	63
ELF2	28	36	64
ELK4	32	35	67
FOSB	34	15	49
FOXO3	36	45	81
HBP1	30	37	67
JUNB	39	35	74
JUND	38	45	83
KLF13	43	26	69
KLF16	26	40	66
KLF2	42	41	83
MEF2C	39	39	78
MEF2D	43	37	80
MEIS2	36	40	76
MIXL1	34	33	67
MYBL2	32	32	64
MYC	39	27	66
NHLH1	26	35	61
NR3C1	31	41	72
NR4A2	41	41	82
NR5A2	37	37	74
PAX4	34	45	79
PBX4	41	25	66
POU2F1	31	45	76
PRDM1	41	43	84
RAX2	30	25	55
RFX1	37	44	81
RFX3	31	39	70
SIN3A	39	45	84
TCF3	39	45	84
USF1	34	27	61
XBP1	36	28	64
ZBTB38	41	26	67
ZBTB7B	40	37	77
ZFP91	36	34	70
ZNF490	30	25	55
ZNF672	27	44	71
ZNF687	30	21	51
ZNF692	27	38	65
ZNF775	35	40	75
ZNF791	30	33	63
