Tf	In_Degree	Out_Degree	Total_Connections
ARF1	76	25	101
ARID3A	86	78	164
ATF5	77	86	163
BACH1	82	71	153
BCL6	69	93	162
BCLAF1	77	91	168
BHLHA15	74	76	150
BHLHE41	92	46	138
CEBPB	76	78	154
CEBPG	57	85	142
CHD2	88	89	177
CREB3L2	91	77	168
DBP	87	85	172
DDIT3	84	78	162
DEAF1	75	82	157
DMRT2	78	69	147
ERF	90	68	158
ESR1	57	92	149
ESRRA	67	92	159
ETV6	76	84	160
FLI1	90	89	179
FOXD4L5	83	74	157
FOXN3	89	72	161
FOXO3	80	93	173
FOXP1	76	91	167
FOXP2	77	87	164
HEY2	83	64	147
HIVEP2	84	80	164
IKZF1	92	85	177
IKZF3	91	93	184
IRF1	92	92	184
IRF2	92	80	172
IRF4	91	83	174
JUN	72	84	156
JUNB	88	85	173
JUND	69	93	162
KLF13	92	64	156
KLF2	83	87	170
KLF3	81	89	170
KLF6	87	82	169
KLF7	71	93	164
KLF9	87	91	178
MEF2A	72	91	163
MEF2C	91	87	178
MEF2D	91	84	175
MYBL2	76	70	146
MYC	75	73	148
MZF1	65	91	156
NFE2L2	83	78	161
NFE2L3	86	89	175
NOBOX	82	49	131
NR1D1	85	91	176
NR1D2	81	68	149
NR3C1	87	88	175
NR4A2	83	90	173
POU2F2	83	93	176
PRDM1	93	90	183
PRDM10	70	49	119
RFX1	85	90	175
RFX3	81	88	169
RORA	79	91	170
RUNX1	92	76	168
SPI1	69	93	162
SREBF2	79	82	161
TCF12	69	92	161
TCF3	86	93	179
TCF4	74	82	156
THRA	85	87	172
TP53	78	84	162
USF1	78	82	160
VSX1	75	80	155
XBP1	84	59	143
ZBTB1	88	54	142
ZBTB38	93	73	166
ZBTB7A	79	84	163
ZFP91	87	75	162
ZFX	86	92	178
ZNF117	83	93	176
ZNF143	77	88	165
ZNF215	86	78	164
ZNF217	89	56	145
ZNF460	86	92	178
ZNF483	72	89	161
ZNF526	86	85	171
ZNF543	86	93	179
ZNF554	78	60	138
ZNF555	78	91	169
ZNF556	78	67	145
ZNF574	83	93	176
ZNF655	60	89	149
ZNF710	84	77	161
ZNF775	86	88	174
ZNF805	86	84	170
