Tf	In_Degree	Out_Degree	Total_Connections
ARF1	77	15	92
ARF4	75	34	109
ATF3	83	97	180
ATF4	72	86	158
ATF5	78	82	160
BACH1	79	57	136
BCLAF1	72	95	167
BHLHA15	67	58	125
BHLHE40	77	45	122
BHLHE41	86	33	119
BRCA1	74	18	92
CAMTA2	71	21	92
CEBPB	76	71	147
CEBPG	67	79	146
CHD2	88	83	171
CNOT3	55	79	134
CREB1	68	80	148
CREB3L2	79	65	144
CREM	67	66	133
DDIT3	79	66	145
ELF1	74	95	169
ELF2	58	71	129
ELK4	70	72	142
FOS	68	81	149
FOSB	87	35	122
FOSL2	79	65	144
FOXN2	73	84	157
FOXP2	72	77	149
GLI1	71	76	147
HAP1	73	6	79
HBP1	76	83	159
HIVEP2	83	72	155
IRF2	71	75	146
IRF4	84	86	170
IRF9	61	83	144
JUN	73	86	159
JUNB	85	80	165
JUND	70	94	164
KLF13	73	47	120
KLF2	82	88	170
KLF6	86	68	154
KLF7	70	97	167
KLF9	89	84	173
LHX6	66	67	133
MAFG	54	80	134
MEF2A	62	95	157
MEF2C	77	91	168
MNT	79	29	108
MXI1	82	76	158
MZF1	72	95	167
NFE2L2	82	68	150
NFE2L3	79	82	161
NFIL3	81	81	162
NFKB2	69	80	149
NFYA	75	60	135
NR1D1	86	81	167
NR1D2	75	49	124
NR3C1	89	79	168
NR4A2	79	89	168
NR4A3	78	62	140
NRL	67	54	121
PAX4	72	97	169
PLAGL2	74	97	171
POU2F1	73	97	170
PRDM1	85	93	178
PRDM10	62	42	104
PRDM5	65	96	161
RARA	69	96	165
RBPJ	74	75	149
RFX1	64	95	159
RFX3	74	84	158
RUNX1	65	63	128
RXRA	52	94	146
TBX6	72	62	134
THRA	86	84	170
TP53	73	78	151
USF1	77	65	142
VSX1	70	77	147
XBP1	85	56	141
YY1	58	97	155
ZBTB38	73	62	135
ZBTB7A	71	77	148
ZBTB7B	93	82	175
ZFP91	81	71	152
ZFX	60	96	156
ZNF165	78	69	147
ZNF189	60	93	153
ZNF460	66	95	161
ZNF483	66	83	149
ZNF543	66	95	161
ZNF672	77	91	168
ZNF687	69	38	107
ZNF692	77	80	157
ZNF775	67	87	154
ZNF79	67	84	151
ZNF805	66	85	151
ZSCAN16	78	46	124
