Tf	In_Degree	Out_Degree	Total_Connections
ARF1	112	51	163
ARF4	107	55	162
ARID3A	115	104	219
ARID5A	112	108	220
ATF4	106	110	216
BCL6	93	126	219
BCLAF1	94	128	222
BHLHE40	105	85	190
BHLHE41	121	58	179
BRCA1	95	39	134
CAMTA2	112	19	131
CHD2	116	120	236
CREB3L2	111	100	211
CREB3L4	114	97	211
CREM	93	93	186
CTCFL	118	125	243
CUX1	107	92	199
DBP	107	110	217
DDIT3	100	105	205
ELF2	82	105	187
ELK4	94	115	209
ERF	118	103	221
ETV1	120	122	242
FIZ1	91	124	215
FLI1	118	127	245
FOS	107	105	212
FOSB	115	49	164
FOXO3	115	125	240
FOXP2	105	112	217
GZF1	110	44	154
HAP1	99	14	113
HBP1	101	113	214
HES5	107	71	178
HES7	119	123	242
HIVEP2	113	106	219
IKZF1	116	115	231
IKZF3	114	128	242
IRF1	112	127	239
IRF2	121	102	223
IRF3	116	125	241
IRF9	107	115	222
JUN	100	113	213
JUNB	112	107	219
JUND	98	127	225
KLF1	122	126	248
KLF13	124	88	212
KLF16	71	118	189
KLF2	121	123	244
KLF3	115	121	236
KLF6	118	115	233
KLF9	114	121	235
MAF	109	124	233
MEF2C	125	119	244
MEF2D	120	106	226
MEIS2	119	116	235
MNT	102	54	156
MYNN	92	78	170
MZF1	107	127	234
NFE2L2	115	90	205
NFE2L3	108	115	223
NFIL3	112	94	206
NFIX	122	107	229
NFKB2	95	112	207
NR1D1	118	122	240
NR1D2	103	77	180
NR2C2	94	128	222
NR3C1	115	114	229
NR4A2	110	120	230
PAX4	97	128	225
PBX2	107	86	193
PBX4	110	89	199
POU2F1	96	127	223
POU5F1	101	122	223
PRDM1	123	125	248
PRDM10	86	85	171
RARA	107	128	235
RAX2	88	56	144
RELB	69	95	164
RFX1	107	122	229
RFX3	101	118	219
RREB1	111	128	239
RXRB	97	117	214
SIN3A	110	128	238
SOX11	108	126	234
SP3	95	127	222
SP4	80	128	208
TCF3	107	128	235
TFEC	113	94	207
THRA	118	117	235
USF1	93	103	196
XBP1	118	83	201
ZBED6	112	91	203
ZBTB1	106	81	187
ZBTB20	89	89	178
ZBTB32	111	80	191
ZBTB38	126	105	231
ZBTB7A	111	120	231
ZBTB7B	126	116	242
ZFP62	107	125	232
ZFP91	99	101	200
ZKSCAN5	95	121	216
ZNF114	118	71	189
ZNF131	80	106	186
ZNF217	118	63	181
ZNF276	85	126	211
ZNF367	104	92	196
ZNF394	95	124	219
ZNF460	103	128	231
ZNF490	101	98	199
ZNF524	91	124	215
ZNF526	106	123	229
ZNF542	84	106	190
ZNF543	103	124	227
ZNF554	100	90	190
ZNF579	91	122	213
ZNF580	107	122	229
ZNF581	107	105	212
ZNF592	95	61	156
ZNF672	85	125	210
ZNF687	80	64	144
ZNF689	82	119	201
ZNF692	85	118	203
ZNF774	86	123	209
ZNF775	112	121	233
ZNF784	107	118	225
ZNF789	95	110	205
ZNF791	101	94	195
ZNF805	103	124	227
