Tf	In_Degree	Out_Degree	Total_Connections
AIRE	60	81	141
ARF1	77	20	97
ARF4	85	33	118
BACH1	88	58	146
BBX	70	86	156
BCL6B	89	102	191
BCLAF1	84	107	191
BHLHE41	100	37	137
CEBPG	70	85	155
CHD2	96	91	187
CREB1	79	91	170
CREB3L2	94	76	170
CREM	78	72	150
ERF	83	73	156
ESRRA	92	104	196
FIZ1	68	102	170
FOSB	83	49	132
FOSL1	92	56	148
FOXN3	84	58	142
FOXO3	77	107	184
GABPA	83	105	188
GMEB2	67	57	124
HAP1	75	7	82
HBP1	82	89	171
HES7	100	89	189
HIVEP2	92	77	169
IRF2	85	81	166
IRF4	92	92	184
IRF7	71	100	171
JUN	81	96	177
JUNB	99	88	187
JUND	84	106	190
KLF12	85	105	190
KLF13	102	60	162
KLF15	62	107	169
KLF2	103	93	196
KLF6	95	65	160
KLF7	71	106	177
KLF9	95	90	185
MEF2A	77	104	181
MEF2C	104	101	205
MXI1	86	73	159
MYC	82	63	145
MYNN	79	59	138
MZF1	66	106	172
NFE2L2	93	62	155
NFKB1	77	105	182
NFKB2	74	86	160
NR1D2	81	52	133
NR3C1	81	87	168
NR4A2	94	95	189
NR4A3	90	61	151
PAX4	79	107	186
PAX5	82	107	189
POU2F2	85	107	192
PRDM1	101	104	205
PRDM10	77	52	129
RARA	88	107	195
RAX2	68	42	110
RELA	76	106	182
RELB	65	67	132
RFX1	74	97	171
RFX3	84	89	173
RFX7	84	30	114
RORA	76	100	176
RUNX1	84	67	151
SF1	88	65	153
SIN3A	91	107	198
SP3	71	107	178
SPI1	72	106	178
SREBF2	85	72	157
TBX6	92	67	159
TCF12	75	95	170
TCF4	77	79	156
TEAD1	75	97	172
TGIF2	79	71	150
TP53	83	81	164
XBP1	86	72	158
ZBTB1	90	52	142
ZBTB20	86	56	142
ZBTB32	62	61	123
ZBTB38	107	68	175
ZBTB5	81	96	177
ZFP62	89	105	194
ZFP91	87	74	161
ZFX	73	107	180
ZNF143	79	82	161
ZNF16	76	93	169
ZNF250	76	107	183
ZNF460	82	107	189
ZNF48	76	90	166
ZNF483	72	93	165
ZNF490	85	58	143
ZNF524	68	100	168
ZNF526	83	99	182
ZNF543	82	98	180
ZNF574	99	103	202
ZNF580	92	99	191
ZNF581	92	79	171
ZNF592	77	31	108
ZNF655	62	97	159
ZNF689	77	84	161
ZNF771	76	65	141
ZNF775	80	96	176
ZNF784	92	97	189
ZNF791	85	68	153
ZNF805	82	101	183
