KB528_1	KB528_24	LOG2_FOLD_CHANGE	P_VALUE
WASH7P	43.2552533382055	78.5632929160985	0.860980042009145	0.0701623592315995
LOC729737	37.3609414432878	20.9570986173376	-0.834091811037395	0.249970545513212
LOC100133331	3.1682443262405	3.27534612033384	0.0479637743225538	0.89863781929076
LOC100288069	7.02623375027621	8.44986935384748	0.266177462342597	0.270888221312034
LINC00115	5.41734230185166	4.61411913070821	-0.231529999200958	0.180409543262794
LINC01128	12.8719856679563	4.23879905265127	-1.60250714507747	0.001015494383217
NOC2L	111.123040580243	98.0740184435032	-0.1802150838754	0.406805825156784
KLHL17	30.3099457073915	74.0383797588651	1.28848205600247	0.0185763826399948
PLEKHN1	2.75217958204302	3.3722070101513	0.293118491742318	0.585984744283921
HES4	620.951296753174	1.05394794243882	-9.20253269753262	0.027965497836757
ISG15	675.056323763065	186.543902413499	-1.85549267603189	0.0220494206902209
AGRN	16.1330903635974	8.30559409831905	-0.95786754664864	0.0800815698903988
C1orf159	30.7016195250392	31.8275600257984	0.0519618004291771	0.842327003849772
TNFRSF18	88.5056128952999	7.36869740569322	-3.58628743572536	0.0411452791591544
TNFRSF4	149.071404433645	4.95382641465476	-4.91131641301561	0.0411337449643462
SDF4	230.335738512113	217.632587409815	-0.0818436786807505	0.611602704087493
B3GALT6	30.4492876438517	38.7060840320817	0.346151877910451	0.0121688237884055
FAM132A	9.85807987067363	3.45599549691379	-1.51220533214377	0.102789236812214
UBE2J2	89.9595110001987	93.4319887486602	0.0546407578164978	0.806439125390341
SCNN1D	12.323524226523	17.5059698360292	0.506432099188606	0.0797690962321121
ACAP3	83.6189830970554	85.085950011247	0.0250904249967543	0.931524025422005
PUSL1	43.3352543478444	33.8377900665069	-0.356905822608799	0.0641882101949244
CPSF3L	140.707615432265	153.095277957375	0.121729372513761	0.612337871785941
GLTPD1	27.3979035901887	30.873094047666	0.172284568100867	0.0844205342181337
TAS1R3	0.808885946312948	1.2702359449068	0.651088300143816	0.179846423453163
